symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
WOLF,2000-01-04,12.5,dip_10,-0.107934,-0.070498,0.11672,0.021933,0.094787,0.325588,0.033917,0.29167,0.913996,0.018542,0.895454,0.742788,0.0684,0.674388
IP,2000-01-11,3.77,dip_5,-0.062132,-0.040378,-0.076402,0.011727,-0.088129,-0.128627,-0.019692,-0.108934,-0.221954,-0.030645,-0.191309,-0.200193,0.025113,-0.225307
MSI,2000-01-17,1.06,dip_5,-0.06326,-0.063368,-0.008873,-0.041994,0.033121,0.027522,-0.040379,0.067901,0.046172,-0.059223,0.105394,-0.161025,-0.014644,-0.146381
BAC,2000-01-18,1.64,dip_5,-0.065435,-0.065543,0.000824,-0.041994,0.042818,0.014003,-0.040379,0.054382,-0.051895,-0.059223,0.007328,0.088138,-0.014644,0.102783
RMBS,2000-01-18,5.26,dip_5,-0.099721,-0.099829,-0.074361,-0.041994,-0.032367,-0.041053,-0.040379,-0.000674,0.759876,-0.059223,0.819099,0.883811,-0.014644,0.898455
HON,2000-01-19,5.41,dip_10,-0.103937,-0.096664,-0.125132,-0.031055,-0.094077,-0.099121,-0.010716,-0.088405,-0.158875,-0.065172,-0.093703,0.030931,-0.008639,0.03957
RTX,2000-01-19,2.94,dip_5,-0.054808,-0.047535,-0.069176,-0.031055,-0.038121,-0.107833,-0.010716,-0.097117,-0.11292,-0.065172,-0.047747,0.035605,-0.008639,0.044244
SYY,2000-01-19,6.67,dip_5,-0.079803,-0.07253,-0.041756,-0.031055,-0.010701,-0.042827,-0.010716,-0.03211,-0.055675,-0.065172,0.009498,0.002141,-0.008639,0.01078
POWI,2000-01-20,18.18,dip_10,-0.186633,-0.169297,-0.205209,-0.059281,-0.145928,-0.200718,-0.012821,-0.187898,-0.145936,-0.065637,-0.0803,-0.584643,-0.001863,-0.58278
TDW,2000-01-20,19.8,dip_10,-0.103873,-0.086537,-0.097677,-0.059281,-0.038396,-0.147039,-0.012821,-0.134218,-0.164809,-0.065637,-0.099172,-0.068061,-0.001863,-0.066198
BALL,2000-01-21,8.61,dip_5,-0.064039,-0.03364,-0.073684,-0.005526,-0.068158,-0.131579,0.014436,-0.146014,-0.236842,-0.026954,-0.209888,-0.173684,0.016127,-0.189811
WHR,2000-01-24,2.03,dip_5,-0.067099,-0.049786,0.112791,-0.007136,0.119928,0.013895,0.016726,-0.002832,0.011443,-0.057315,0.068757,0.250102,0.046387,0.203715
BC,2000-01-25,2.7,dip_5,-0.067597,-0.070981,-0.00394,0.001686,-0.005626,-0.033885,0.00326,-0.037144,-0.054374,-0.053164,-0.00121,0.019701,0.042823,-0.023123
AMGN,2000-01-25,4.0,dip_5,-0.074003,-0.077387,-0.00687,0.001686,-0.008556,0.041905,0.00326,0.038646,0.147241,-0.053164,0.200405,-0.107167,0.042823,-0.149991
QCOM,2000-01-25,8.33,dip_10,-0.110092,-0.113475,0.139948,0.001686,0.138262,0.069588,0.00326,0.066328,0.071649,-0.053164,0.124813,-0.219845,0.042823,-0.262669
FFIV,2000-01-25,80.0,dip_10,-0.119231,-0.122614,-0.113537,0.001686,-0.115223,-0.195415,0.00326,-0.198674,-0.168668,-0.053164,-0.115504,-0.614629,0.042823,-0.657452
KO,2000-01-26,6.67,dip_5,-0.096453,-0.084522,-0.071625,0.020991,-0.092616,-0.047521,0.009367,-0.056888,-0.171488,-0.029455,-0.142033,-0.186639,0.043675,-0.230314
VIAV,2000-01-26,16.13,dip_5,-0.085937,-0.074006,0.017683,0.020991,-0.003307,-0.024167,0.009367,-0.033534,0.193045,-0.029455,0.222499,-0.078102,0.043675,-0.121777
