symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
NAS.OL,2015-02-12,14.0,dip_10,-0.132076,-0.15897,0.000853,-0.006649,0.007502,-0.005968,-0.002226,-0.003742,-0.011082,-0.018954,0.007872,0.343137,0.054486,0.288652
LSG.OL,2015-02-24,106.77,dip_5,-0.051695,-0.058836,0.011723,-0.012222,0.023946,-0.00762,-0.018559,0.010939,-0.089683,-0.008399,-0.081284,0.056272,0.052894,0.003378
AKAST.OL,2015-11-02,30.51,dip_5,-0.095101,-0.112522,0.264331,-0.000795,0.265126,0.204883,-0.008172,0.213055,0.234607,0.009971,0.224636,-0.2431,-0.105645,-0.137455
PROT.OL,2016-02-12,90.68,dip_5,-0.057858,-0.104395,-0.003612,0.047188,-0.0508,0.065023,0.061873,0.003151,0.050574,0.083668,-0.033094,0.133022,0.132784,0.000238
NAS.OL,2016-04-21,42.71,dip_5,-0.050361,-0.050577,0.046545,0.018609,0.027936,-0.013258,-0.005464,-0.007794,-0.025388,0.041496,-0.066884,-0.182228,0.047884,-0.230112
PROT.OL,2016-07-08,14.73,dip_5,-0.062266,-0.077251,0.0,-0.000774,0.000774,0.007,-0.005783,0.012783,0.0558,-0.00238,0.05818,0.0804,0.016852,0.063548
DNB.OL,2016-07-12,53.07,dip_5,-0.085999,-0.086306,0.025325,0.006482,0.018843,0.026908,-0.000511,0.027419,0.037109,-0.005591,0.0427,0.209286,0.027169,0.182117
PROT.OL,2017-02-09,14.29,dip_5,-0.064167,-0.065801,0.003717,-0.012985,0.016702,-0.007228,-0.011768,0.00454,-0.032425,0.000324,-0.032748,0.095209,0.038204,0.057004
BRG.OL,2017-05-03,2.07,dip_5,-0.069265,-0.062108,0.029232,0.02985,-0.000619,0.063824,0.037411,0.026414,0.039826,0.022134,0.017693,0.050549,0.059596,-0.009048
NAS.OL,2017-07-13,261.32,dip_10,-0.167057,-0.171993,0.032767,0.005229,0.027538,0.033897,0.025395,0.008501,0.045197,0.026563,0.018634,0.276836,0.10016,0.176676
BRG.OL,2017-07-18,11.73,dip_5,-0.058248,-0.05767,0.015463,0.009208,0.006255,0.010267,0.017625,-0.007357,0.002598,0.005741,-0.003143,-0.056655,0.093147,-0.149803
SCHA.OL,2018-02-08,12.82,dip_5,-0.054944,-0.035733,0.003571,0.026939,-0.023368,-0.040208,0.045959,-0.086167,-0.039277,0.039062,-0.078339,0.045564,0.145897,-0.100333
NANOV.OL,2018-02-27,2.81,dip_5,-0.057239,-0.056684,-0.135714,-0.010144,-0.12557,-0.130714,-0.0107,-0.120015,-0.347143,-0.00628,-0.340862,-0.299143,0.093217,-0.39236
NANOV.OL,2018-05-30,2.66,dip_10,-0.125322,-0.138204,-0.043376,0.016403,-0.059779,0.187439,0.024825,0.162613,0.189401,0.006369,0.183032,0.179588,0.039857,0.139731
EPR.OL,2018-07-13,1.23,dip_10,-0.110526,-0.090158,-0.04668,0.006954,-0.053634,-0.057857,0.020276,-0.078133,-0.059829,0.024198,-0.084027,-0.055227,0.027432,-0.082659
BAKKA.OL,2018-08-21,7.3,dip_5,-0.055265,-0.061864,0.0094,0.010164,-0.000764,0.072788,-0.010699,0.083487,0.08882,0.010533,0.078287,-0.092662,-0.049779,-0.042883
SALM.OL,2018-08-23,1.24,dip_5,-0.062508,-0.063344,0.013051,-9.7e-05,0.013148,-0.000473,-0.01688,0.016407,0.039627,0.029485,0.010142,0.213552,-0.061826,0.275378
BRG.OL,2018-10-23,1.6,dip_5,-0.091884,-0.076282,0.039738,0.020029,0.019709,0.101181,0.025107,0.076074,0.101181,-0.032265,0.133446,0.021864,-0.05617,0.078034
ELK.OL,2018-10-24,34.19,dip_20,-0.209847,-0.218609,0.118572,0.010507,0.108065,0.139746,0.016184,0.123562,0.067151,-0.05143,0.11858,-0.061101,-0.050252,-0.010849
NAS.OL,2019-02-07,54.74,dip_10,-0.156679,-0.137364,-0.095772,0.041352,-0.137124,-0.116115,0.046832,-0.162947,-0.085101,0.033274,-0.118375,-0.407675,0.032543,-0.440218
AKSO.OL,2019-02-08,28.57,dip_5,-0.067004,-0.055903,0.031843,0.036026,-0.004183,0.036585,0.041886,-0.005301,-0.009485,0.031051,-0.040536,-0.089431,0.028279,-0.11771
AUSS.OL,2019-02-26,91.53,dip_5,-0.057224,-0.053633,0.025709,0.002264,0.023445,0.018435,0.002091,0.016343,-0.036744,-0.005361,-0.031384,-0.124153,-0.023869,-0.100284
XXL.OL,2019-04-24,45.45,dip_5,-0.098992,-0.086769,-0.086546,-0.009845,-0.0767,-0.131885,-0.023593,-0.108292,-0.26099,-0.028938,-0.232052,-0.052904,-0.042088,-0.010815
