symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
USIM3.SA,2014-10-29,331.8,dip_5,-0.078846,-0.14896,0.129436,-0.025733,0.155169,0.129436,-0.052284,0.18172,0.123173,0.000648,0.122525,1.496868,-0.141335,1.638203
BBAS3.SA,2014-11-05,1.98,dip_10,-0.118812,-0.109956,-0.016343,-0.027252,0.010909,None,None,None,0.072523,-0.023126,0.095649,-0.116445,-0.083246,-0.0332
CSNA3.SA,2015-05-06,212.0,dip_5,-0.073126,-0.073935,-0.053254,0.001738,-0.054992,-0.126233,-0.048505,-0.077728,-0.262327,-0.073078,-0.18925,-0.477318,-0.120072,-0.357245
GGBR4.SA,2015-05-06,41.67,dip_5,-0.059048,-0.059857,-0.004049,0.001738,-0.005786,-0.060729,-0.048505,-0.012224,-0.131579,-0.073078,-0.058501,-0.396761,-0.120072,-0.276689
TGMA3.SA,2015-05-07,37.5,dip_5,-0.060159,-0.064158,-0.051932,0.00175,-0.053682,-0.009662,-0.048505,0.038843,-0.002415,-0.07582,0.073404,-0.386473,-0.124896,-0.261577
OIBR4.SA,2015-05-07,35.29,dip_5,-0.060956,-0.064954,0.073684,0.00175,0.071934,0.122807,-0.048505,0.171312,0.078947,-0.07582,0.154767,-0.217544,-0.124896,-0.092648
OIBR3.SA,2015-05-07,49.43,dip_5,-0.053831,-0.05783,0.068949,0.00175,0.067199,0.099984,-0.048505,0.148488,0.067223,-0.07582,0.143043,-0.210343,-0.124896,-0.085447
BRAP4.SA,2015-05-13,43.84,dip_5,-0.060403,-0.075953,-0.057143,-0.050156,-0.006987,-0.028571,-0.078398,0.049826,0.028571,-0.068135,0.096706,-0.15,-0.154774,0.004774
RENT3.SA,2015-07-23,2.44,dip_5,-0.065508,-0.054252,-0.011445,0.032876,-0.044321,-0.067239,-0.013585,-0.053654,-0.173104,-0.095463,-0.077642,-0.137339,-0.029929,-0.107411
MDIA3.SA,2015-07-28,33.33,dip_5,-0.075171,-0.081134,0.034483,0.002283,0.0322,-0.034483,-0.037834,0.003351,-0.081897,-0.054983,-0.026913,-0.07266,-0.057206,-0.015454
PSSA3.SA,2015-08-04,3.66,dip_5,-0.054441,-0.053499,-0.081818,-0.040026,-0.041792,-0.118182,-0.067227,-0.050955,-0.118182,-0.070256,-0.047926,None,None,None
GFSA3.SA,2015-08-07,766.67,dip_5,-0.064825,-0.075016,-0.057196,-0.033048,-0.024148,-0.093895,-0.092262,-0.001633,-0.077584,-0.049218,-0.028366,0.122438,-0.043891,0.166328
OIBR3.SA,2015-08-13,272.55,dip_5,-0.079567,-0.069119,-0.141204,-0.037636,-0.103568,-0.18731,-0.007451,-0.179859,-0.158508,-0.00303,-0.155478,0.092213,-0.013143,0.105356
BBAS3.SA,2015-08-13,1.96,dip_5,-0.050272,-0.039824,-0.038627,-0.037636,-0.000991,-0.034335,-0.007451,-0.026883,-0.134478,-0.00303,-0.131448,-0.124464,-0.013143,-0.11132
LIGT3.SA,2015-08-13,3.45,dip_5,-0.064465,-0.054018,-0.103361,-0.037636,-0.065726,-0.082353,-0.007451,-0.074902,-0.147059,-0.00303,-0.144029,0.041176,-0.013143,0.05432
OIBR4.SA,2015-08-13,203.53,dip_5,-0.090659,-0.080212,-0.111782,-0.037636,-0.074147,-0.160121,-0.007451,-0.152669,-0.090634,-0.00303,-0.087605,-0.365559,-0.013143,-0.352415
GOLL4.SA,2015-08-14,85.45,dip_5,-0.081331,-0.080114,-0.201207,-0.061237,-0.13997,-0.162978,-0.041591,-0.121387,-0.104628,0.023235,-0.127863,-0.283702,-0.019674,-0.264028
BRFS3.SA,2015-10-29,10.53,dip_10,-0.125468,-0.130742,-0.068133,0.022891,-0.091024,-0.075336,0.014127,-0.089463,-0.063267,-0.020809,-0.042458,-0.16897,-0.110036,-0.058934
USIM3.SA,2015-10-29,20.61,dip_5,-0.058122,-0.063396,-0.022152,0.022891,-0.045043,-0.109177,0.014127,-0.123304,-0.189873,-0.020809,-0.169065,-0.52057,-0.110036,-0.410533
YDUQ3.SA,2015-11-05,6.38,dip_5,-0.060965,-0.037493,-0.029757,-0.008568,-0.021189,0.077547,0.029097,0.048451,-0.004509,-0.017284,0.012776,-0.254283,-0.151543,-0.10274
GFSA3.SA,2015-11-06,44.12,dip_5,-0.058223,-0.043049,0.01543,0.022534,-0.007105,0.05025,0.014285,0.035965,-0.01543,-0.012463,-0.002967,-0.077252,-0.138477,0.061226
