symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
F&D.BK,2001-07-18,11.76,dip_5,-0.070624,-0.072542,0.019824,-0.014164,0.033987,0.019824,0.004338,0.015485,0.435022,-0.043639,0.478661,0.509912,-0.104504,0.614416
F&D.BK,2002-01-17,4.0,dip_5,-0.066602,-0.069481,0.071354,0.006288,0.065067,0.142708,-0.029114,0.171823,0.356771,-0.022553,0.379324,0.421875,-0.016129,0.438004
L&E.BK,2004-10-28,42.86,dip_5,-0.088632,-0.091519,0.069471,0.035981,0.033491,0.124995,0.049326,0.075669,0.215293,0.044485,0.170808,0.347243,0.051812,0.295431
MTC.BK,2015-05-11,12.5,dip_5,-0.061212,-0.053417,0.112976,0.014574,0.098403,0.08328,0.01298,0.0703,0.112976,0.007856,0.10512,0.08909,-0.001366,0.090456
IVL.BK,2016-08-10,31.91,dip_5,-0.077093,-0.079228,0.068345,0.000959,0.067387,0.016387,-0.004313,0.0207,-0.167066,-0.010544,-0.156523,0.001199,-0.005378,0.006577
KTB.BK,2017-04-19,5.17,dip_5,-0.062064,-0.06834,0.005204,0.013887,-0.008682,0.01487,0.014569,0.000301,-0.040892,0.01262,-0.053512,-0.072119,0.055109,-0.127228
BIG.BK,2017-08-05,60.0,dip_5,-0.051195,-0.050595,-0.136691,-0.003046,-0.133645,-0.118705,-0.007338,-0.111367,0.017986,-0.001569,0.019555,0.028777,0.052058,-0.023281
MINT.BK,2018-02-19,33.33,dip_5,-0.064433,-0.053223,0.012397,0.00594,0.006456,-0.025069,0.010124,-0.035193,-0.056198,-0.019704,-0.036495,-0.046556,0.013512,-0.060069
IVL.BK,2018-02-20,60.0,dip_5,-0.050012,-0.038802,0.033546,0.00594,0.027605,-0.009549,0.010124,-0.019673,0.071743,-0.019704,0.091447,0.182664,0.013512,0.169152
RS.BK,2018-02-21,37.5,dip_5,-0.076519,-0.072815,-0.034119,-0.009985,-0.024133,0.033306,0.013704,0.019602,-0.049553,-0.041863,-0.00769,-0.262388,0.014999,-0.277387
TISCO.BK,2018-04-17,0.91,dip_5,-0.060589,-0.072038,-0.005459,-0.02501,0.019551,0.003033,-0.026592,0.029625,-0.025273,0.005993,-0.031265,-0.138698,0.044153,-0.182851
BH.BK,2018-04-26,3.5,dip_10,-0.113653,-0.124793,-0.015368,-0.002026,-0.013342,-0.015368,0.023596,-0.038964,None,None,None,None,None,None
SPRC.BK,2018-05-10,84.37,dip_5,-0.055112,-0.067554,0.006762,-0.005567,0.01233,-0.005917,-0.002557,-0.00336,-0.045647,0.022228,-0.067874,-0.038884,0.042435,-0.081319
BCH.BK,2018-05-15,12.5,dip_5,-0.078512,-0.075833,0.005979,0.004092,0.001887,0.005979,-0.004794,0.010773,0.0,0.022525,-0.022525,0.073244,0.039678,0.033566
TOP.BK,2018-11-09,2.99,dip_5,-0.061746,-0.03348,-0.043873,-0.012723,-0.03115,-0.075236,-0.015301,-0.059935,-0.141045,-0.026429,-0.114617,-0.056384,0.012519,-0.068903
ORI.BK,2018-11-12,9.09,dip_10,-0.142857,-0.122342,-0.111742,-0.029184,-0.082559,0.015152,0.009263,0.005888,-0.039773,-0.042587,0.002814,-0.056818,0.025495,-0.082313
BJC.BK,2018-11-14,20.0,dip_5,-0.09406,-0.097585,0.014699,-0.03578,0.050479,0.04433,0.009639,0.034691,0.064162,-0.065719,0.129881,-0.049697,0.025691,-0.075388
AEONTS.BK,2019-01-10,2.27,dip_5,-0.053048,-0.056958,-0.098034,0.028853,-0.126886,-0.019593,0.01845,-0.038043,0.025251,0.05839,-0.033139,0.011246,0.1253,-0.114053
CENTEL.BK,2019-05-13,12.96,dip_5,-0.067909,-0.051588,-0.07943,0.010983,-0.090414,-0.099425,-0.018111,-0.081314,-0.039715,0.021811,-0.061526,-0.178855,0.037313,-0.216168
EGCO.BK,2019-08-13,32.51,dip_5,-0.065954,-0.051464,0.055213,0.030141,0.025072,0.064954,0.017605,0.047349,0.140287,0.060553,0.079733,0.163214,0.093442,0.069772
ADVANC.BK,2019-10-31,5.34,dip_5,-0.054662,-0.061241,0.022231,0.009143,0.013088,0.026666,0.018465,0.008201,-0.062202,0.011143,-0.073345,-0.075563,0.080146,-0.155709
AEONTS.BK,2020-01-08,3.39,dip_5,-0.091149,-0.103287,0.026545,0.013091,0.013455,0.011782,0.006495,0.005286,None,None,None,-0.351055,-0.1433,-0.207755
CBG.BK,2020-02-20,2.53,dip_5,-0.070055,-0.05568,-0.135491,-0.111619,-0.023872,-0.085404,-0.107997,0.022593,-0.284141,-0.327515,0.043374,0.183832,-0.110542,0.294374
CPN.BK,2020-02-21,2.5,dip_5,-0.066905,-0.023796,-0.053776,-0.041339,-0.012437,-0.040483,-0.149462,0.108978,-0.3857,-0.24142,-0.14428,-0.088218,-0.078291,-0.009926
ERW.BK,2020-02-24,2.27,dip_5,-0.084291,-0.021842,-0.012552,-0.039708,0.027155,-0.020921,-0.077501,0.056581,-0.472803,-0.206021,-0.266783,-0.125523,-0.037794,-0.087729
