symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
002440.SZ,2014-08-26,37.5,dip_5,-0.067582,-0.058696,0.020385,0.035829,-0.015443,0.055493,0.046262,0.009231,0.0453,0.062573,-0.017273,-0.060023,0.250672,-0.310695
000883.SZ,2014-08-27,12.5,dip_5,-0.065574,-0.060459,0.105263,0.050571,0.054693,0.185185,0.061996,0.123189,-0.28655,0.073728,-0.360277,None,None,None
600352.SS,2014-08-28,27.27,dip_5,-0.076256,-0.079757,0.058161,0.049266,0.008896,0.06379,0.054997,0.008793,0.116323,0.066151,0.050172,0.136961,0.308119,-0.171159
600664.SS,2014-10-16,103.47,dip_5,-0.083234,-0.069548,-0.049287,-0.016617,-0.032669,0.010376,0.033741,-0.023365,0.016861,0.057209,-0.040348,0.125811,0.442217,-0.316406
002029.SZ,2014-10-22,11.11,dip_5,-0.061702,-0.045786,0.053288,0.038506,0.014782,0.121315,0.053592,0.067723,0.044218,0.080217,-0.035999,-0.043084,0.452101,-0.495185
002033.SZ,2015-02-04,82.65,dip_5,-0.078571,-0.057237,0.010853,0.01176,-0.000907,0.024806,0.051595,-0.026788,0.048062,0.075363,-0.027301,0.468217,0.395909,0.072308
600015.SS,2015-04-17,2.27,dip_5,-0.057029,-0.062334,0.02391,0.073586,-0.049676,-0.063291,0.019357,-0.082648,-0.049226,0.054353,-0.103579,-0.002813,-0.053347,0.050534
603001.SS,2015-04-25,12.5,dip_5,-0.090205,-0.108988,0.04927,-0.055169,0.104439,0.157543,-0.022442,0.179985,0.407543,0.032181,0.375361,0.223844,-0.181674,0.405519
300171.SZ,2015-04-25,46.15,dip_5,-0.060736,-0.07952,0.204768,-0.055169,0.259937,0.269105,-0.022442,0.291547,0.139125,0.032181,0.106943,-0.320379,-0.181674,-0.138705
600060.SS,2015-04-25,2.78,dip_5,-0.086697,-0.105481,-0.03114,-0.055169,0.024029,0.193872,-0.022442,0.216314,0.276243,0.032181,0.244062,-0.255148,-0.181674,-0.073474
600718.SS,2015-04-25,33.33,dip_10,-0.109531,-0.128314,-0.022364,-0.055169,0.032805,0.213259,-0.022442,0.235701,0.150958,0.032181,0.118777,-0.390575,-0.181674,-0.208901
600085.SS,2015-04-30,5.88,dip_5,-0.058219,-0.059078,0.055636,-0.032782,0.088419,-0.006545,-0.043963,0.037417,0.358909,0.095986,0.262923,-0.039273,-0.182289,0.143016
600030.SS,2015-04-30,9.37,dip_5,-0.051493,-0.052351,0.006294,-0.032782,0.039077,-0.083006,-0.043963,-0.039043,-0.051141,0.095986,-0.147127,-0.384343,-0.182289,-0.202054
000983.SZ,2015-07-27,27.59,dip_10,-0.11828,-0.018079,0.109756,0.025537,0.084219,0.14939,0.072319,0.077071,-0.182927,-0.20085,0.017923,-0.10061,-0.094542,-0.006068
002739.SZ,2015-07-31,17.39,dip_5,-0.059811,-0.037451,0.11647,0.084327,0.032143,0.041303,0.102339,-0.061036,-0.13129,-0.125943,-0.005346,-0.436412,0.006618,-0.44303
002475.SZ,2015-08-14,14.29,dip_10,-0.109551,-0.119441,-0.167192,-0.196251,0.029059,-0.100946,-0.197233,0.096286,-0.22082,-0.227261,0.006441,None,None,None
