symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
UIS.SW,2000-04-13,1.49,dip_5,-0.081864,-0.053433,0.091907,-0.020182,0.112088,0.097394,-0.024218,0.121612,0.18107,0.020182,0.160888,-0.375857,0.06559,-0.441448
UIS.SW,2001-01-18,0.99,dip_10,-0.101449,-0.105184,-0.008065,-0.003721,-0.004344,0.116935,0.002791,0.114145,0.233871,-0.061395,0.295266,-0.153226,-0.111628,-0.041598
UIS.SW,2001-04-16,0.92,dip_10,-0.146341,-0.141022,-0.02381,0.007487,-0.031296,0.042857,0.010695,0.032162,-0.028571,0.035294,-0.063866,0.028571,-0.073797,0.102368
LOGN.SW,2002-07-23,46.66,dip_10,-0.15279,-0.158292,0.154208,0.056088,0.09812,0.02091,0.025992,-0.005082,-0.063774,0.106703,-0.170477,-0.133298,-0.017784,-0.115515
UIS.SW,2004-01-20,1.91,dip_5,-0.05974,-0.09304,-0.005525,-0.011719,0.006194,-0.060773,-0.009766,-0.051008,0.027624,-0.005859,0.033484,-0.016575,-0.03125,0.014675
UIS.SW,2005-07-20,15.79,dip_5,-0.055879,-0.077062,0.048089,0.0121,0.035989,None,None,None,-0.020962,0.020743,-0.041705,-0.082614,0.039758,-0.122372
UBSG.SW,2008-08-12,85.32,dip_5,-0.094851,-0.082685,0.039671,-0.028325,0.067996,0.088323,-0.024631,0.112954,0.121257,-0.044335,0.165592,-0.237275,-0.2617,0.024424
UBSG.SW,2010-05-04,30.95,dip_5,-0.051613,0.006758,0.033042,0.038147,-0.005105,-0.023324,-0.027248,0.003924,-0.093294,-0.059264,-0.03403,0.120505,0.065395,0.05511
LOGN.SW,2012-10-25,55.56,dip_10,-0.137285,-0.136238,-0.05425,0.015732,-0.069981,-0.077758,-0.002098,-0.07566,-0.083183,0.03828,-0.121463,-0.139241,0.142108,-0.281349
LOGN.SW,2014-04-24,133.33,dip_5,-0.076118,-0.070914,-0.020597,0.013079,-0.033677,-0.085479,0.010463,-0.095942,-0.045314,0.020927,-0.066241,0.119464,0.002242,0.117222
SCR.SW,2014-05-06,12.31,dip_10,-0.145003,-0.147219,0.187838,0.002949,0.184889,0.006081,0.004792,0.001289,0.008108,0.009583,-0.001475,-0.050676,-0.052341,0.001665
ADEN.SW,2015-08-11,2.78,dip_5,-0.059568,-0.043914,0.009544,0.003698,0.005846,-0.023427,-0.038831,0.015404,-0.028633,-0.046598,0.017964,-0.124295,-0.066198,-0.058097
AMS.SW,2015-10-26,6.82,dip_20,-0.216244,-0.199016,0.00606,0.012076,-0.006016,0.05177,-0.016362,0.068132,0.147866,-0.024932,0.172798,-0.146394,-0.090767,-0.055627
RIGN.SW,2015-11-04,22.54,dip_5,-0.056126,-0.052276,-0.082481,-0.030526,-0.051955,-0.058824,-0.017774,-0.041049,-0.157289,-0.017002,-0.140287,-0.391304,-0.114374,-0.27693
ADEN.SW,2015-11-05,2.29,dip_5,-0.094881,-0.088689,-0.02187,-0.03271,0.01084,0.044243,-0.016355,0.060598,0.026144,-0.017913,0.044057,-0.173705,-0.115654,-0.058051
UBSG.SW,2016-02-02,2.86,dip_5,-0.073749,-0.073749,-0.063507,-0.033432,-0.030075,-0.036967,-0.018197,-0.01877,0.066351,0.004655,0.061696,-0.027488,0.033009,-0.060497
RIGN.SW,2016-02-24,2.67,dip_5,-0.074184,-0.086379,0.30641,0.025818,0.280593,0.353846,0.021515,0.332332,None,None,None,0.233974,0.067556,0.166418
SCR.SW,2016-07-27,23.91,dip_10,-0.157355,-0.154938,0.0,0.007671,-0.007671,-0.005413,0.033508,-0.038921,-0.035859,0.015745,-0.051604,0.147497,-0.023819,0.171316
AMS.SW,2016-10-25,179.31,dip_10,-0.114252,-0.1024,-0.005613,-0.003722,-0.001891,0.04116,0.015715,0.025444,0.069224,-0.018197,0.08742,0.250494,0.058726,0.191767
UBSG.SW,2017-01-27,13.64,dip_5,-0.052033,-0.048908,-0.019726,0.002743,-0.022468,-0.015437,0.005486,-0.020923,0.004288,0.021944,-0.017655,None,None,None
ADEN.SW,2017-08-10,3.51,dip_5,-0.068747,-0.051764,0.017437,-0.002419,0.019855,0.008832,0.010021,-0.001189,0.045063,0.027989,0.017074,0.10077,0.009675,0.091095
LOGN.SW,2017-10-24,11.11,dip_5,-0.062441,-0.049248,0.068598,0.001714,0.066884,0.0666,0.005485,0.061115,0.022644,0.027425,-0.004781,0.187146,0.101474,0.085672
NOVN.SW,2017-10-24,3.2,dip_5,-0.054721,-0.041528,0.037268,0.001714,0.035554,0.026863,0.005485,0.021378,0.036133,0.027425,0.008708,0.090049,0.101474,-0.011425
GEBN.SW,2017-10-31,8.94,dip_5,-0.066416,-0.065732,-0.000909,0.003765,-0.004673,-0.033974,-0.008556,-0.025418,-0.043032,0.023614,-0.066646,-0.013133,0.064682,-0.077814
ABBN.SW,2018-02-08,6.43,dip_5,-0.082043,-0.063408,0.03991,0.03764,0.00227,0.028668,0.034927,-0.006259,0.011242,0.006782,0.00446,0.099494,-0.004069,0.103563
KNIN.SW,2018-02-28,0.61,dip_5,-0.066056,-0.033905,-0.015472,0.014384,-0.029855,-0.023959,0.018151,-0.04211,None,None,None,0.014588,-0.030137,0.044725
CLN.SW,2018-04-25,29.1,dip_5,-0.064205,-0.066618,-0.020036,-0.00344,-0.016596,None,None,None,0.023072,-0.004472,0.027544,-0.00425,0.033024,-0.037274
LOGN.SW,2018-10-23,11.36,dip_10,-0.119831,-0.086463,0.068073,0.038475,0.029597,0.064238,0.055376,0.008862,-0.072547,0.021575,-0.094122,0.030681,0.036318,-0.005637
AMS.SW,2018-10-23,71.88,dip_20,-0.352782,-0.319414,0.215586,0.038475,0.17711,0.303085,0.055376,0.247709,-0.151756,0.021575,-0.173331,-0.173118,0.036318,-0.209436
