symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
VOLV-B.ST,2014-07-18,22.31,dip_5,-0.068317,-0.07101,0.007003,0.002441,0.004562,-0.019773,-0.024902,0.005129,0.01277,-0.02124,0.034011,-0.118023,-0.112305,-0.005718
HM-B.ST,2014-09-25,1.27,dip_5,-0.057368,-0.044738,-0.015574,-0.035559,0.019985,-0.050441,-0.072141,0.0217,-0.049378,-0.049885,0.000507,None,None,None
GETI-B.ST,2014-10-16,11.71,dip_10,-0.102769,-0.114737,0.030102,0.026953,0.003149,0.097317,0.044829,0.052488,0.11134,0.039604,0.071736,0.101738,0.018702,0.083036
AZA.ST,2015-01-21,3.54,dip_5,-0.052328,-0.063398,0.017173,0.009079,0.008094,0.081638,0.026435,0.055203,0.136856,0.048331,0.088525,0.428269,0.06996,0.35831
TEL2-B.ST,2015-01-30,10.78,dip_5,-0.057022,-0.051465,0.052778,0.003459,0.049318,0.041453,0.034327,0.007126,0.039316,0.037786,0.00153,0.212821,0.07504,0.137781
MTG-B.ST,2015-02-04,15.95,dip_5,-0.070329,-0.070589,0.098031,0.004943,0.093088,0.179946,0.026275,0.153672,0.186661,0.002341,0.184319,0.215757,0.036941,0.178816
HOLM-B.ST,2015-02-09,181.72,dip_5,-0.068669,-0.074744,0.007772,0.023891,-0.016119,0.02176,0.038593,-0.016833,0.000777,-0.004201,0.004978,-0.097824,0.063796,-0.16162
SKF-B.ST,2015-04-17,23.03,dip_5,-0.07049,-0.058249,0.042473,0.02605,0.016424,-0.030482,0.02175,-0.052232,-0.020031,0.037936,-0.057967,-0.134923,0.020738,-0.155662
DUST.ST,2015-04-22,3.33,dip_5,-0.086331,-0.091599,-0.03937,0.00025,-0.03962,-0.055118,-0.005241,-0.049877,-0.035433,0.02296,-0.058393,-0.03937,-0.006489,-0.032881
SWED-A.ST,2015-04-28,4.55,dip_5,-0.064632,-0.055019,-0.04583,-0.004231,-0.041599,0.007756,0.015431,-0.007675,0.030923,0.000498,0.030425,0.034045,-0.012195,0.04624
HUFV-A.ST,2015-05-05,6.0,dip_5,-0.05899,-0.049336,-0.00912,0.019745,-0.028865,0.014546,0.029243,-0.014696,-0.039945,-0.010997,-0.028947,0.037174,0.002749,0.034425
AXFO.ST,2015-07-15,1.92,dip_5,-0.062877,-0.066856,0.032782,-0.013872,0.046654,0.037071,-0.01734,0.054411,0.024203,-0.020312,0.044516,0.060662,-0.074313,0.134974
SKF-B.ST,2015-07-15,9.09,dip_5,-0.068284,-0.072263,-0.016858,-0.013872,-0.002986,-0.051286,-0.01734,-0.033946,-0.040522,-0.020312,-0.02021,-0.108192,-0.074313,-0.033879
THULE.ST,2015-07-22,7.47,dip_5,-0.0522,-0.04176,-0.012083,-0.003517,-0.008567,0.002289,0.006029,-0.003739,-0.038413,-0.067571,0.029158,0.05622,-0.059784,0.116004
LOOMIS.ST,2015-07-31,1.36,dip_5,-0.08077,-0.087324,-0.045174,0.010268,-0.055442,-0.070271,-0.013524,-0.056747,-0.118791,-0.096168,-0.022622,-0.073213,-0.056098,-0.017115
SECU-B.ST,2015-08-05,1.18,dip_5,-0.071457,-0.076476,-0.013824,-0.014732,0.000908,-0.047599,-0.052684,0.005085,-0.082941,-0.103371,0.020429,0.049166,-0.057678,0.106844
PEAB-B.ST,2015-08-21,0.75,dip_5,-0.094595,-0.047151,0.040587,0.027117,0.01347,0.040587,0.022966,0.01762,0.014664,-0.021583,0.036246,0.133019,0.027393,0.105626
BALD-B.ST,2015-08-21,45.26,dip_5,-0.054333,-0.00689,0.079273,0.027117,0.052156,0.077091,0.022966,0.054125,0.095273,-0.021583,0.116855,0.340364,0.027393,0.31297
CLAS-B.ST,2015-09-09,0.79,dip_5,-0.076973,-0.081031,-0.068551,0.013739,-0.08229,-0.097409,-0.049838,-0.04757,-0.075736,0.016164,-0.0919,0.030506,-0.018319,0.048825
INTRUM.ST,2015-10-21,4.88,dip_5,-0.066752,-0.071004,0.074623,-0.002646,0.07727,-0.01876,-0.003969,-0.014791,0.022929,-0.017465,0.040394,-0.079864,-0.12199,0.042126
TIGO-SDB.ST,2015-10-22,325.0,dip_5,-0.086969,-0.105403,0.02338,-0.01128,0.034661,0.012657,-0.018101,0.030758,0.098476,-0.033316,0.131792,-0.184736,-0.110703,-0.074033
