symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
4162.TWO,2014-08-14,4.17,dip_5,-0.096491,-0.101035,0.118917,0.017724,0.101193,0.196602,0.025471,0.171131,0.155371,0.024294,0.131077,0.167492,0.048153,0.119339
9910.TW,2014-10-14,19.09,dip_5,-0.066069,-0.060851,0.007794,0.033545,-0.025751,-0.001199,0.062621,-0.06382,0.083633,0.09526,-0.011627,0.293465,0.073436,0.220029
3008.TW,2014-10-17,11.87,dip_5,-0.071123,-0.092772,-0.095125,0.030834,-0.125959,0.025525,0.060272,-0.034747,-0.011601,0.080129,-0.091731,0.197219,0.073087,0.124132
2379.TW,2014-10-30,8.18,dip_5,-0.094628,-0.112545,-0.048719,0.008322,-0.057041,-0.005057,0.012812,-0.017869,0.024781,0.026941,-0.00216,-0.034895,0.021373,-0.056269
3552.TWO,2014-11-05,18.24,dip_5,-0.051526,-0.061914,0.023988,0.005111,0.018877,0.035558,0.011945,0.023613,0.195287,0.016996,0.178291,0.169183,0.012837,0.156346
6609.TWO,2014-11-11,7.83,dip_5,-0.063805,-0.063745,-0.03029,0.006156,-0.036446,0.058056,0.018054,0.040003,0.088767,-0.015094,0.103861,0.061001,0.034213,0.026788
9914.TW,2014-11-13,1.22,dip_5,-0.054414,-0.055776,0.022533,0.011941,0.010592,0.050057,0.007448,0.042609,0.042502,-0.030975,0.073476,None,None,None
4735.TWO,2014-11-15,70.59,dip_5,-0.053055,-0.059439,0.123939,0.007636,0.116303,0.195246,0.011395,0.183851,0.140068,0.005991,0.134077,None,None,None
6488.TWO,2015-03-19,11.04,dip_5,-0.06251,-0.066731,-0.038923,-0.022157,-0.016766,None,None,None,-0.048448,-0.003806,-0.044642,None,None,None
2049.TW,2015-03-25,2.53,dip_5,-0.061323,-0.044322,-0.061015,0.005707,-0.066722,-0.046308,0.023235,-0.069544,0.002127,0.026788,-0.024661,-0.113643,0.02737,-0.141013
