symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
CLS.TO,2000-02-10,10.0,dip_5,-0.082353,-0.07171,-0.021368,0.015158,-0.036526,-0.031339,-0.001693,-0.029646,0.051282,0.033298,0.017984,-0.071937,-0.002632,-0.069305
ESI.TO,2000-03-27,14.29,dip_5,-0.064232,-0.05132,0.188425,-0.078717,0.267142,0.083445,-0.056929,0.140374,0.157469,-0.060486,0.217956,0.342456,0.030687,0.31177
BB.TO,2000-04-12,3.84,dip_20,-0.482844,-0.440891,-0.057692,-0.000636,-0.057057,0.007692,0.04263,-0.034938,-0.120192,0.035302,-0.155495,0.442308,0.1793,0.263007
BLDP.TO,2000-05-03,27.78,dip_5,-0.054167,-0.044051,-0.075771,-0.029902,-0.045869,-0.051982,0.014425,-0.066408,0.057269,0.035436,0.021832,0.155507,0.099723,0.055784
BLDP.TO,2000-08-01,6.67,dip_5,-0.08327,-0.079637,0.149167,0.047693,0.101474,0.1625,0.063895,0.098605,0.244583,0.084815,0.159769,0.366667,-0.0703,0.436966
RCI-B.TO,2000-10-20,27.27,dip_5,-0.085271,-0.108865,0.069209,-0.116481,0.18569,0.103107,-0.072453,0.17556,-0.064972,-0.13932,0.074348,0.059322,-0.129094,0.188416
DSG.TO,2000-11-22,199.71,dip_5,-0.052326,-0.04243,-0.087117,-0.011743,-0.075374,0.051534,0.027127,0.024407,-0.146012,-0.017345,-0.128667,-0.288589,-0.088675,-0.199914
CIX.TO,2001-01-10,71.43,dip_5,-0.066038,-0.093266,0.048485,0.010641,0.037844,0.10303,0.042928,0.060102,0.250505,0.017285,0.23322,-0.058586,-0.120335,0.061749
RCI-B.TO,2001-02-13,9.09,dip_5,-0.084584,-0.074762,-0.004471,-0.095461,0.09099,-0.084948,-0.093452,0.008504,-0.120715,-0.122134,0.001419,-0.229508,-0.097604,-0.131904
SLF.TO,2001-02-15,6.38,dip_5,-0.063457,-0.005297,-0.009346,-0.043416,0.03407,0.002336,-0.046025,0.048362,-0.102025,-0.057439,-0.044586,0.041277,-0.019563,0.060841
CU.TO,2001-02-20,12.5,dip_5,-0.052525,-0.005372,0.044776,0.002221,0.042555,0.055437,0.029898,0.025539,0.040512,-0.049015,0.089527,0.102345,0.041497,0.060848
BNS.TO,2001-03-06,2.13,dip_5,-0.067395,-0.092397,-0.046875,-0.059614,0.012739,-0.066406,-0.076646,0.01024,-0.048828,-0.087873,0.039044,0.058594,-0.00518,0.063773
POU.TO,2001-03-21,45.83,dip_5,-0.05668,-0.044974,-0.006867,-0.028817,0.02195,-0.036052,-0.012184,-0.023867,0.139914,0.034452,0.105462,0.166524,0.001305,0.165219
AGF-B.TO,2001-03-28,19.44,dip_5,-0.073969,-0.034427,0.018433,0.017126,0.001307,0.061444,0.052439,0.009005,0.039939,0.067403,-0.027464,0.167435,0.011525,0.15591
MX.TO,2001-04-18,32.0,dip_10,-0.113158,-0.155183,0.034125,-0.023,0.057125,-0.005935,-0.023589,0.017655,0.043027,0.015084,0.027943,-0.232938,-0.055672,-0.177266
DSG.TO,2001-05-23,28.56,dip_10,-0.177778,-0.172001,-0.059122,-0.022152,-0.036969,-0.050676,-0.018606,-0.03207,-0.224324,-0.072734,-0.15159,-0.683108,-0.104687,-0.578421
CLS.TO,2001-07-18,2.5,dip_5,-0.059097,-0.052378,0.06131,-0.005208,0.066518,0.170739,0.014891,0.155848,-0.093089,-0.018267,-0.074823,-0.19952,-0.097142,-0.102378
ATS.TO,2001-08-13,5.88,dip_10,-0.116854,-0.111726,-0.040712,-0.017422,-0.023291,-0.048346,-0.003563,-0.044783,-0.132316,-0.093958,-0.038357,-0.318066,-0.03696,-0.281106
CCA.TO,2001-10-22,48.1,dip_5,-0.072857,-0.071873,-0.145609,-0.011413,-0.134195,-0.09168,0.03495,-0.126629,0.030817,0.061803,-0.030986,0.044684,0.094884,-0.0502
BHC.TO,2001-10-29,2.78,dip_5,-0.057862,-0.032237,0.001335,0.046898,-0.045563,0.006675,0.073109,-0.066434,0.088117,0.078061,0.010056,-0.021896,0.108668,-0.130564
POU.TO,2001-11-15,30.95,dip_5,-0.063979,-0.059326,-0.018727,0.016008,-0.034734,-0.014981,0.015092,-0.030073,-0.029963,0.027354,-0.057316,0.073034,0.02734,0.045694
DSG.TO,2001-11-20,28.57,dip_5,-0.092166,-0.079785,0.008122,0.003724,0.004398,0.233503,0.039463,0.194039,0.146193,0.016928,0.129265,-0.092386,0.013764,-0.106149
CCA.TO,2002-01-14,14.29,dip_5,-0.062937,-0.055406,0.01194,-0.011068,0.023008,0.011194,-0.010047,0.021241,-0.066418,-0.010793,-0.055625,-0.191791,0.015359,-0.20715
BHC.TO,2002-04-25,6.67,dip_5,-0.077481,-0.066616,-0.215005,0.004496,-0.219501,-0.284237,-0.004391,-0.279846,-0.255551,0.004902,-0.260453,-0.499379,-0.163508,-0.335871
MFC.TO,2002-07-30,2.86,dip_5,-0.063616,-0.08248,-0.010727,-0.01797,0.007243,-0.02503,-0.008372,-0.016658,-0.054827,-0.002331,-0.052496,-0.103695,-0.047022,-0.056673
CLS.TO,2002-10-16,5.26,dip_10,-0.191989,-0.200897,0.215385,0.009897,0.205488,0.226781,-0.004144,0.230924,0.406268,0.029101,0.377167,0.441595,0.088003,0.353593
SU.TO,2002-10-23,4.76,dip_5,-0.057143,-0.064327,-0.001515,-0.013903,0.012388,0.009091,0.007496,0.001595,0.04697,0.034244,0.012726,0.157576,0.063201,0.094375
CNQ.TO,2002-11-06,15.38,dip_5,-0.062937,-0.060562,-0.014925,-0.002115,-0.012811,0.022388,0.028726,-0.006338,0.074627,0.030199,0.044428,0.19403,0.016431,0.177599
BHC.TO,2003-04-29,2.63,dip_10,-0.140722,-0.146433,0.066501,0.009793,0.056708,0.117905,0.023732,0.094174,0.203707,0.038035,0.165673,0.127269,0.106041,0.021228
BHC.TO,2003-07-29,10.64,dip_10,-0.124597,-0.113684,0.012781,-0.009146,0.021927,0.090434,0.02322,0.067214,0.084043,0.043303,0.04074,-0.301898,0.071367,-0.373265
AEZS.TO,2003-08-06,24.14,dip_5,-0.057333,-0.056054,-0.052334,0.029734,-0.082068,-0.056577,0.046823,-0.1034,0.128713,0.063465,0.065248,-0.366337,0.095734,-0.462071
LB.TO,2003-12-03,6.52,dip_5,-0.096866,-0.105154,0.007361,-0.004641,0.012002,0.043113,0.016439,0.026674,0.077813,0.051518,0.026295,0.070452,0.097582,-0.02713
CAE.TO,2004-02-11,12.5,dip_5,-0.067164,-0.064136,0.0608,-0.002969,0.063768,-0.0032,0.001467,-0.004667,-0.049839,-0.015244,-0.034596,-0.115756,-0.061582,-0.054174
X.TO,2004-04-27,22.58,dip_5,-0.064516,-0.020262,0.015326,0.027007,-0.011681,-0.007663,-0.005732,-0.001931,0.042146,0.0132,0.028946,-0.08046,0.009678,-0.090138
OVV.TO,2004-04-28,3.88,dip_5,-0.065831,-0.030318,0.048178,0.023785,0.024393,0.026127,-0.006718,0.032844,-0.006592,0.013994,-0.020586,0.08605,0.007592,0.078457
CNQ.TO,2004-08-04,3.03,dip_5,-0.050336,-0.027155,-0.003534,-0.016401,0.012867,0.056537,0.003145,0.053392,0.070671,0.009253,0.061419,0.194346,0.069365,0.124982
RBA.TO,2004-08-05,7.16,dip_5,-0.058411,-0.036135,-0.016129,-0.000501,-0.015628,0.011166,0.019433,-0.008267,-0.013648,0.023567,-0.037215,-0.039702,0.084374,-0.124076
CJR-B.TO,2004-10-26,21.43,dip_5,-0.059524,-0.064302,0.00211,0.005733,-0.003623,-0.00633,0.005767,-0.012097,0.006329,0.026721,-0.020391,0.160947,0.038005,0.122943
