symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
TUI1.DE,2015-05-13,79.79,dip_5,-0.053509,-0.061128,0.026136,0.026365,-0.000228,-0.025284,-0.01263,-0.012654,-0.024432,-0.049728,0.025297,-0.123011,-0.05495,-0.068062
STM.DE,2019-02-04,19.48,dip_10,-0.131573,-0.148327,0.033142,-0.021279,0.054421,0.112634,-0.00517,0.117804,0.069524,0.019322,0.050202,-0.079242,0.071424,-0.150667
TUI1.DE,2019-02-12,20.0,dip_5,-0.064443,-0.0783,0.024716,0.021021,0.003695,-0.004457,0.028665,-0.033122,-0.008104,0.037632,-0.045736,-0.034441,0.102367,-0.136807
HBM.DE,2020-02-28,27.63,dip_5,-0.055294,-0.01409,-0.023661,-0.103969,0.080308,-0.14944,-0.262747,0.113307,-0.122665,-0.162089,0.039424,0.330635,0.053086,0.277549
CTX.DE,2020-07-23,24.39,dip_10,-0.174248,-0.153934,-0.044805,-0.040871,-0.003934,-0.041754,-0.012711,-0.029043,-0.047374,0.017797,-0.065171,-0.054313,-0.021843,-0.03247
ASG.DE,2020-07-29,1.67,dip_5,-0.05683,-0.021331,-0.002114,0.017127,-0.019241,0.028541,0.049602,-0.021061,0.034884,0.052792,-0.017909,-0.090909,-0.025532,-0.065377
TUI1.DE,2020-08-13,14.85,dip_10,-0.140162,-0.128117,-0.021944,-0.010583,-0.01136,0.057471,0.010221,0.047251,0.085684,0.022658,0.063026,0.254963,0.024404,0.23056
CTX.DE,2020-10-22,10.4,dip_5,-0.080906,-0.087923,-0.082005,-0.086137,0.004132,-0.074778,-0.013106,-0.061672,-0.0606,0.038054,-0.098654,-0.037984,0.096889,-0.134874
RRU.DE,2021-06-29,285.42,dip_5,-0.057851,-0.056364,0.035088,0.010409,0.024678,-0.04386,0.016608,-0.060468,0.052632,0.007046,0.045586,0.5,0.002758,0.497242
CTX.DE,2021-07-29,4.2,dip_10,-0.15144,-0.149772,0.034917,0.013964,0.020954,0.050921,0.027859,0.023062,0.058196,0.022061,0.036135,0.012838,0.010384,0.002454
AG1.DE,2021-09-29,65.34,dip_5,-0.051382,-0.052178,-0.072537,-0.000644,-0.071893,-0.063351,0.013239,-0.07659,0.076972,0.028051,0.048921,-0.380108,0.038764,-0.418871
MVIN.DE,2021-09-29,25.33,dip_5,-0.052993,-0.053789,-0.047668,-0.000644,-0.047024,-0.144041,0.013239,-0.15728,-0.306736,0.028051,-0.334787,-0.531606,0.038764,-0.57037
