symbol,event_date,beat_rate,beat_category,pre_stock_ret_10d,pre_bench_ret_10d,pre_abnormal_ret_10d,pre_stock_ret_5d,pre_bench_ret_5d,pre_abnormal_ret_5d,pre_stock_ret_1d,pre_bench_ret_1d,pre_abnormal_ret_1d,post_stock_ret_1d,post_bench_ret_1d,post_abnormal_ret_1d
M&MFIN.NS,2012-02-21,83.61,habitual_beater,0.075396,0.033566,0.04183,0.07362,0.045414,0.028206,0.040822,0.00765,0.033172,-0.04281,-0.019823,-0.022987
M&M.NS,2012-02-21,83.61,habitual_beater,0.073782,0.033566,0.040216,0.081393,0.045414,0.035979,0.01868,0.00765,0.01103,-0.025955,-0.019823,-0.006132
L&TFH.NS,2012-04-30,43.75,mixed,-0.00454,-0.016819,0.012278,-0.011274,0.016899,-0.028173,-0.001139,0.001959,-0.003098,None,None,None
J&KBANK.NS,2012-04-30,44.62,mixed,0.020974,-0.016819,0.037793,0.037228,0.016899,0.020329,0.052174,0.001959,0.050215,-0.028571,0.003421,-0.031993
M&MFIN.NS,2012-05-09,83.87,habitual_beater,-0.016827,-0.063422,0.046595,-0.035281,-0.054591,0.01931,-0.014702,-0.007295,-0.007406,0.002779,0.002625,0.000155
M&M.NS,2012-05-09,83.87,habitual_beater,-0.068261,-0.063422,-0.004839,-0.084154,-0.054591,-0.029564,-0.031581,-0.007295,-0.024285,0.00835,0.002625,0.005726
ARE&M.BO,2012-07-30,26.92,mixed,-0.028433,-0.003109,-0.025324,-0.019437,0.033853,-0.05329,0.01481,0.025586,-0.010777,-0.005385,-0.003119,-0.002266
ARE&M.NS,2012-07-30,26.92,mixed,-0.029079,-0.003109,-0.025971,-0.017267,0.033853,-0.051119,0.008901,0.025586,-0.016686,-0.008822,-0.003119,-0.005704
L&TFH.NS,2012-07-30,44.62,mixed,-0.016483,-0.003109,-0.013375,-0.015401,0.033853,-0.049254,0.018203,0.025586,-0.007384,-0.00447,-0.003119,-0.001351
J&KBANK.NS,2012-07-30,43.94,mixed,-0.029258,-0.003109,-0.026149,-0.022749,0.033853,-0.056602,-0.008744,0.025586,-0.034331,0.003431,-0.003119,0.006549
M&MFIN.NS,2012-08-08,84.13,habitual_beater,0.092567,0.070626,0.021941,0.019729,0.040021,-0.020292,0.00726,0.003008,0.004253,0.019474,-0.009995,0.029469
M&M.NS,2012-08-08,84.13,habitual_beater,0.060304,0.070626,-0.010322,0.033979,0.040021,-0.006041,0.036836,0.003008,0.033828,0.028116,-0.009995,0.038111
ARE&M.BO,2012-10-26,25.93,mixed,0.051859,-0.012267,0.064126,-0.040377,-0.002295,-0.038083,0.017658,-0.010018,0.027676,-0.011453,-0.012419,0.000966
ARE&M.NS,2012-10-26,25.93,mixed,0.055732,-0.012267,0.067999,-0.040565,-0.002295,-0.03827,0.021372,-0.010018,0.03139,-0.014189,-0.012419,-0.001769
L&TFH.NS,2012-10-29,43.94,mixed,0.036364,-0.035056,0.07142,0.00185,-0.022313,0.024163,None,None,None,0.0,0.02422,-0.02422
M&MFIN.NS,2012-11-07,84.38,habitual_beater,-0.002333,-0.010474,0.008141,0.026623,0.01211,0.014513,-0.004339,-0.001379,-0.00296,0.017643,0.005983,0.01166
M&M.NS,2012-11-07,84.38,habitual_beater,0.101841,-0.010474,0.112314,0.039716,0.01211,0.027606,0.005056,-0.001379,0.006435,-0.005969,0.005983,-0.011952
J&KBANK.NS,2012-11-12,44.78,mixed,0.165178,-0.023679,0.188857,0.120044,-0.014253,0.134297,0.044293,-0.006948,0.051241,0.01093,-0.004198,0.015128
J&KBANK.NS,2013-01-23,45.59,mixed,-0.011979,0.032499,-0.044478,-0.041728,0.009446,-0.051174,0.000684,-0.00592,0.006603,-0.038934,-0.005955,-0.03298
ARE&M.BO,2013-02-07,25.0,mixed,0.027648,-0.012837,0.040485,-0.027942,-0.022872,-0.00507,-0.006459,-0.014944,0.008486,-0.01503,-0.010403,-0.004627
ARE&M.NS,2013-02-07,25.0,mixed,0.029016,-0.012837,0.041852,-0.028219,-0.022872,-0.005347,-0.003825,-0.014944,0.011119,-0.017372,-0.010403,-0.006969
L&TFH.NS,2013-02-11,43.28,mixed,-0.065882,-0.026462,-0.03942,-0.004389,-0.02061,0.016221,-0.003139,-0.000876,-0.002263,-0.009446,0.007014,-0.01646
M&MFIN.NS,2013-02-26,84.62,habitual_beater,-0.068902,-0.022797,-0.046105,-0.112997,-0.027911,-0.085086,-0.035498,-0.004466,-0.031032,0.005692,0.012113,-0.006421
M&M.NS,2013-02-26,84.62,habitual_beater,-0.018962,-0.022797,0.003835,-0.037194,-0.027911,-0.009283,-0.032454,-0.004466,-0.027988,0.031216,0.012113,0.019103
