symbol,event_date,beat_rate,beat_category,pre_stock_ret_10d,pre_bench_ret_10d,pre_abnormal_ret_10d,pre_stock_ret_5d,pre_bench_ret_5d,pre_abnormal_ret_5d,pre_stock_ret_1d,pre_bench_ret_1d,pre_abnormal_ret_1d,post_stock_ret_1d,post_bench_ret_1d,post_abnormal_ret_1d
0967.HK,2010-12-30,42.86,mixed,-0.006024,0.001044,-0.007068,-0.023669,-0.00199,-0.021679,-0.006024,0.001308,-0.007332,0.030303,0.00157,0.028733
0967.HK,2011-03-30,37.5,mixed,0.022727,0.033063,-0.010335,0.011236,0.027427,-0.016191,-0.002218,0.016959,-0.019176,-0.031111,0.003245,-0.034355
0967.HK,2011-06-29,33.33,mixed,-0.032258,-0.012647,-0.019611,0.031746,0.009204,0.022542,0.031746,-2.7e-05,0.031773,0.046154,0.015272,0.030882
0967.HK,2011-09-29,40.0,mixed,-0.257703,-0.082845,-0.174858,-0.131147,-0.017839,-0.113308,0.0,-0.023244,0.023244,0.0,-0.043784,0.043784
0967.HK,2011-12-30,36.36,mixed,-0.097923,0.004356,-0.102279,-0.105883,0.000974,-0.106857,0.0,0.001982,-0.001982,0.039474,0.024032,0.015442
0967.HK,2012-03-30,33.33,mixed,0.021622,-0.035757,0.057379,0.02439,-0.005478,0.029868,0.008,-0.002611,0.010611,0.0,-0.001621,0.001621
0967.HK,2012-06-29,38.46,mixed,0.020468,0.010789,0.009679,0.011594,0.023497,-0.011903,0.0,0.021876,-0.021876,0.028653,0.015126,0.013527
0967.HK,2012-09-29,35.71,mixed,-0.080556,0.011142,-0.091697,-0.059659,0.009354,-0.069013,0.00303,0.002298,0.000732,0.009063,0.000942,0.008122
0967.HK,2012-12-30,33.33,mixed,0.084548,0.009416,0.075132,0.030471,-0.000126,0.030597,0.005405,-0.000427,0.005832,0.008065,0.028912,-0.020848
0967.HK,2013-03-30,37.5,mixed,-0.055118,-0.007335,-0.047783,-0.088608,0.011418,-0.100026,0.0,0.003058,-0.003058,0.0,-0.001356,0.001356
0967.HK,2013-06-29,35.29,mixed,-0.017812,-0.026724,0.008913,0.118841,0.04263,0.076211,0.063361,-0.006953,0.070314,0.015544,-0.024752,0.040296
0967.HK,2013-09-29,33.33,mixed,0.011905,-0.002418,0.014323,0.004728,-0.021893,0.026621,0.0,-0.01496,0.01496,0.002353,0.005451,-0.003099
0967.HK,2013-12-30,36.84,mixed,-0.015766,0.001152,-0.016918,-0.017978,0.015559,-0.033536,0.0,7e-05,-7e-05,0.004577,0.002647,0.00193
0386.HK,2015-03-23,50.0,mixed,-0.022663,0.015399,-0.038061,-0.011461,0.022755,-0.034216,-0.022663,0.004893,-0.027556,-0.005797,-0.003875,-0.001922
0700.HK,2015-08-12,50.0,mixed,-0.065746,-0.028572,-0.037174,-0.05259,-0.0244,-0.02819,-0.041841,-0.023765,-0.018076,0.068189,0.004298,0.063892
3888.HK,2015-08-18,0.0,mixed,-0.061579,-0.038152,-0.023427,-0.082819,-0.041768,-0.041051,-0.040366,-0.014263,-0.026103,-0.056646,-0.013083,-0.043563
0861.HK,2015-08-25,0.0,mixed,-0.184444,-0.126264,-0.05818,-0.134434,-0.088179,-0.046255,0.002732,0.007218,-0.004486,0.002725,-0.015163,0.017888
0386.HK,2015-08-26,40.0,mixed,-0.142857,-0.118566,-0.024291,-0.113846,-0.090102,-0.023745,-0.017065,-0.015163,-0.001902,0.017361,0.035965,-0.018604
0857.HK,2015-08-27,0.0,mixed,-0.118644,-0.090773,-0.027871,-0.037037,-0.040379,0.003342,0.04,0.035965,0.004035,-0.008242,-0.010356,0.002114
