symbol,event_date,beat_rate,beat_category,pre_stock_ret_10d,pre_bench_ret_10d,pre_abnormal_ret_10d,pre_stock_ret_5d,pre_bench_ret_5d,pre_abnormal_ret_5d,pre_stock_ret_1d,pre_bench_ret_1d,pre_abnormal_ret_1d,post_stock_ret_1d,post_bench_ret_1d,post_abnormal_ret_1d
114090.KS,2013-11-04,50.0,mixed,0.003846,-0.013561,0.017407,-0.007605,-0.011215,0.00361,0.010323,-0.006987,0.01731,-0.015326,-0.00555,-0.009775
114090.KS,2014-02-12,60.0,mixed,0.012376,0.013348,-0.000972,-0.04662,0.023539,-0.070159,-0.014458,0.001956,-0.016414,-0.031785,-0.004587,-0.027198
114090.KS,2014-11-12,50.0,mixed,-0.026316,0.00311,-0.029426,-0.008929,0.018556,-0.027485,0.03877,0.002175,0.036595,0.027027,-0.003436,0.030463
005930.KS,2015-01-29,50.0,mixed,0.01949,0.019267,0.000223,-0.013062,0.015722,-0.028785,-0.013062,-0.005383,-0.007679,0.003677,-0.000902,0.004579
114090.KS,2015-02-11,42.86,mixed,-0.064039,-0.008096,-0.055944,-0.014267,-0.008707,-0.00556,0.031207,0.005083,0.026124,-0.011842,-0.002092,-0.00975
005930.KS,2015-04-29,60.0,mixed,-0.042186,0.010694,-0.052879,-0.052019,-0.000588,-0.051431,0.013909,-0.002347,0.016256,0.018051,-0.007215,0.025266
042660.KS,2015-07-29,0.0,mixed,-0.137143,-0.017024,-0.120118,-0.089264,-0.01313,-0.076134,-0.010485,-0.000726,-0.009759,-0.059603,-0.009123,-0.050479
005930.KS,2015-07-30,50.0,mixed,-0.052262,-0.032981,-0.019281,-0.015397,-0.022295,0.006898,-0.038005,-0.009123,-0.028881,-0.024692,0.005513,-0.030204
181710.KS,2015-08-06,50.0,mixed,-0.092913,-0.025074,-0.067839,0.023091,-0.002843,0.025934,0.010526,-0.008114,0.018641,-0.001736,-0.00152,-0.000216
161390.KS,2015-08-17,0.0,mixed,-0.066503,-0.030362,-0.03614,-0.014304,-0.020749,0.006444,0.005305,-0.007532,0.012837,0.009235,-0.006228,0.015463
001800.KS,2015-08-17,25.0,mixed,-0.110052,-0.030362,-0.07969,-0.091954,-0.020749,-0.071205,0.038423,-0.007532,0.045955,-0.107108,-0.006228,-0.10088
005490.KS,2015-10-20,0.0,mixed,0.07485,0.030891,0.043959,-0.0271,0.010059,-0.037159,-0.016438,0.004477,-0.020916,0.058496,0.001775,0.056721
055550.KS,2015-10-21,50.0,mixed,0.06821,0.026288,0.041922,0.049043,0.016636,0.032407,0.015047,0.001775,0.013271,0.0,-0.00978,0.00978
028050.KS,2015-10-22,0.0,mixed,-0.102253,0.008555,-0.110808,-0.198142,-0.005051,-0.193091,-0.188088,-0.00978,-0.178308,-0.198842,0.008601,-0.207443
000660.KS,2015-10-22,75.0,mixed,-0.143432,0.008555,-0.151987,-0.130612,-0.005051,-0.125561,-0.05052,-0.00978,-0.04074,0.004695,0.008601,-0.003906
105560.KS,2015-10-22,50.0,mixed,0.072993,0.008555,0.064438,0.05,-0.005051,0.055051,0.001363,-0.00978,0.011143,0.002721,0.008601,-0.00588
004020.KS,2015-10-22,25.0,mixed,0.059387,0.008555,0.050832,-0.019503,-0.005051,-0.014452,-0.0125,-0.00978,-0.00272,0.0,0.008601,-0.008601
034220.KS,2015-10-22,75.0,mixed,0.028384,0.008555,0.019829,-0.014644,-0.005051,-0.009593,0.004264,-0.00978,0.014044,-0.061571,0.008601,-0.070172
005380.KS,2015-10-22,0.0,mixed,0.009346,0.008555,0.000791,-0.003077,-0.005051,0.001974,-0.006135,-0.00978,0.003645,-0.024691,0.008601,-0.033292
033780.KS,2015-10-22,75.0,mixed,0.027523,0.008555,0.018968,0.009009,-0.005051,0.01406,-0.004445,-0.00978,0.005335,0.044643,0.008601,0.036042
086790.KS,2015-10-23,50.0,mixed,0.065421,0.010334,0.055087,0.019678,0.004994,0.014684,0.017857,0.008601,0.009256,0.001754,0.003764,-0.00201
096770.KS,2015-10-23,50.0,mixed,0.035088,0.010334,0.024754,0.058296,0.004994,0.053302,0.087558,0.008601,0.078957,-0.025424,0.003764,-0.029188
011210.KS,2015-10-23,25.0,mixed,-0.042146,0.010334,-0.05248,-0.031008,0.004994,-0.036002,-0.011858,0.008601,-0.020459,0.072,0.003764,0.068236
012330.KS,2015-10-23,0.0,mixed,0.004228,0.010334,-0.006106,0.014957,0.004994,0.009963,0.010638,0.008601,0.002037,0.016842,0.003764,0.013078
029780.KS,2015-10-23,100.0,mixed,0.078103,0.010334,0.067769,0.048847,0.004994,0.043853,0.034806,0.008601,0.026205,0.001294,0.003764,-0.00247
000270.KS,2015-10-23,75.0,mixed,0.019047,0.010334,0.008713,0.01518,0.004994,0.010186,-0.018349,0.008601,-0.02695,0.020561,0.003764,0.016797
012630.KS,2015-10-26,25.0,mixed,-0.109817,0.013083,-0.1229,-0.128665,0.008772,-0.137437,-0.059754,0.003764,-0.063518,-0.092523,-0.001675,-0.090849
010140.KS,2015-10-26,0.0,mixed,-0.07931,0.013083,-0.092394,-0.066434,0.008772,-0.075206,-0.01476,0.003764,-0.018524,0.026217,-0.001675,0.027892
011070.KS,2015-10-27,0.0,mixed,0.102353,0.012679,0.089674,0.083237,0.002594,0.080643,-0.034021,-0.001675,-0.032346,0.009605,-0.001047,0.010652
042660.KS,2015-10-27,0.0,mixed,0.064179,0.012679,0.0515,0.024425,0.002594,0.021831,0.024425,-0.001675,0.0261,-0.019635,-0.001047,-0.018589
051900.KS,2015-10-27,75.0,mixed,0.053899,0.012679,0.04122,0.00989,0.002594,0.007296,-0.002172,-0.001675,-0.000497,0.002176,-0.001047,0.003223
012450.KS,2015-10-27,25.0,mixed,0.1088,0.012679,0.096121,0.105263,0.002594,0.102669,0.105263,-0.001675,0.106938,0.025974,-0.001047,0.02702
086280.KS,2015-10-28,0.0,mixed,-0.126882,0.016402,-0.143283,-0.091723,-0.00023,-0.091493,-0.130621,-0.001047,-0.129574,-0.009852,-0.004088,-0.005764
032640.KS,2015-10-28,50.0,mixed,-0.025751,0.016402,-0.042153,-0.004386,-0.00023,-0.004156,-0.017316,-0.001047,-0.016269,-0.061674,-0.004088,-0.057586
000210.KS,2015-10-28,50.0,mixed,-0.07095,0.016402,-0.087352,-0.074667,-0.00023,-0.074437,-0.041436,-0.001047,-0.04039,0.080692,-0.004088,0.08478
