symbol,event_date,beat_rate,beat_category,pre_stock_ret_10d,pre_bench_ret_10d,pre_abnormal_ret_10d,pre_stock_ret_5d,pre_bench_ret_5d,pre_abnormal_ret_5d,pre_stock_ret_1d,pre_bench_ret_1d,pre_abnormal_ret_1d,post_stock_ret_1d,post_bench_ret_1d,post_abnormal_ret_1d
GAZ.L,2009-09-29,75.0,mixed,0.0,-0.015799,0.015799,0.0,-0.025492,0.025492,0.0,0.002982,-0.002982,0.0,-0.000595,0.000595
GAZ.L,2009-12-30,80.0,mixed,-0.055459,0.011885,-0.067343,0.023045,0.017644,0.005401,-0.015631,0.006757,-0.022387,0.011817,-0.006711,0.018528
GAZ.L,2010-03-30,83.33,mixed,0.042989,0.002259,0.040731,-0.034585,0.002259,-0.036844,-0.032426,0.002259,-0.034685,0.00963,0.00507,0.00456
GAZ.L,2010-06-29,71.43,mixed,-0.028205,-0.05559,0.027385,-0.07335,-0.038969,-0.03438,-0.050601,-0.047945,-0.002656,-0.002639,-0.018967,0.016328
GAZ.L,2010-09-29,62.5,mixed,-0.022131,0.014892,-0.037023,-0.014012,0.009325,-0.023337,0.002638,-0.004868,0.007506,0.002632,-0.008152,0.010784
GAZ.L,2010-12-30,66.67,mixed,-0.003799,0.00885,-0.012648,0.0,-0.001546,0.001546,0.0,-0.004111,0.004111,-0.00858,0.01032,-0.0189
GAZ.L,2011-03-30,70.0,mixed,0.0,0.075742,-0.075742,0.0,0.014993,-0.014993,0.0,0.008942,-0.008942,0.0,-0.006401,0.006401
GAZ.L,2011-06-29,63.64,mixed,0.026786,0.01925,0.007536,0.053113,0.015136,0.037977,0.016799,0.015649,0.00115,0.021739,0.014911,0.006829
GAZ.L,2011-09-29,66.67,mixed,-0.127352,-0.047411,-0.07994,-0.011475,0.04483,-0.056305,0.014582,0.011574,0.003008,-0.032615,-0.031465,-0.00115
GAZ.L,2011-12-30,61.54,mixed,0.093532,0.031833,0.061699,0.027997,0.007503,0.020494,0.003844,0.002667,0.001178,0.018723,0.029787,-0.011064
