symbol,event_date,beat_rate,beat_category,pre_stock_ret_10d,pre_bench_ret_10d,pre_abnormal_ret_10d,pre_stock_ret_5d,pre_bench_ret_5d,pre_abnormal_ret_5d,pre_stock_ret_1d,pre_bench_ret_1d,pre_abnormal_ret_1d,post_stock_ret_1d,post_bench_ret_1d,post_abnormal_ret_1d
AKAST.OL,2015-02-10,75.0,mixed,0.03676,0.033535,0.003225,-0.091595,0.000652,-0.092248,-0.002211,-0.007028,0.004817,-0.033241,-0.018929,-0.014312
AKAST.OL,2015-04-28,60.0,mixed,-0.166469,-0.008845,-0.157624,-0.08577,-0.008437,-0.077333,-0.057602,-0.008901,-0.048701,-0.013504,-0.01812,0.004616
AKAST.OL,2015-07-16,50.0,mixed,-0.028941,0.02373,-0.052672,0.038274,0.034906,0.003368,-0.007782,0.005331,-0.013113,0.025882,-0.001897,0.027779
AUSS.OL,2015-08-13,25.0,mixed,0.083333,-0.031433,0.114766,0.011368,-0.019539,0.030907,0.036403,0.004799,0.031605,0.004215,-0.013756,0.017971
LSG.OL,2015-08-13,25.0,mixed,0.01078,-0.031433,0.042213,-0.027654,-0.019539,-0.008115,-0.003543,0.004799,-0.008341,0.003555,-0.013756,0.017311
OLT.OL,2015-08-20,25.0,mixed,0.017429,-0.060929,0.078358,0.0069,-0.042215,0.049114,0.0,-0.016879,0.016879,-0.017131,-0.016119,-0.001012
KOG.OL,2015-08-21,75.0,mixed,-0.076211,-0.078643,0.002432,-0.055648,-0.044509,-0.011139,-0.037982,-0.016119,-0.021863,-0.055392,-0.053387,-0.002005
AFG.OL,2015-08-21,75.0,mixed,0.033943,-0.078643,0.112586,0.054243,-0.044509,0.098752,0.054243,-0.016119,0.070362,-0.018782,-0.053387,0.034606
SALM.OL,2015-08-25,75.0,mixed,-0.056194,-0.087577,0.031383,-0.080256,-0.069433,-0.010823,0.020292,0.027307,-0.007015,-0.023866,0.007915,-0.031781
BAKKA.OL,2015-08-25,50.0,mixed,-0.064957,-0.087577,0.022621,-0.024621,-0.069433,0.044812,0.112439,0.027307,0.085132,0.035778,0.007915,0.027862
ATEA.OL,2015-10-21,0.0,mixed,-0.028223,-0.018171,-0.010052,-0.009653,0.008251,-0.017904,-0.003173,0.001125,-0.004298,-0.003183,0.003067,-0.00625
