symbol,event_date,beat_rate,beat_category,pre_stock_ret_10d,pre_bench_ret_10d,pre_abnormal_ret_10d,pre_stock_ret_5d,pre_bench_ret_5d,pre_abnormal_ret_5d,pre_stock_ret_1d,pre_bench_ret_1d,pre_abnormal_ret_1d,post_stock_ret_1d,post_bench_ret_1d,post_abnormal_ret_1d
EZTC3.SA,2015-05-07,75.0,mixed,0.016701,0.005497,0.011204,0.07033,0.006881,0.063449,-0.026,0.004117,-0.030117,0.069815,0.020046,0.04977
CPFE3.SA,2015-05-09,75.0,mixed,0.008204,-0.012184,0.020388,-0.008961,0.006437,-0.015397,-0.006289,-0.022331,0.016042,0.019891,0.004111,0.01578
TRPL4.SA,2015-07-31,50.0,mixed,0.011742,-0.089545,0.101286,0.068182,0.006869,0.061313,0.034,0.006293,0.027707,0.0,-0.02274,0.02274
YDUQ3.SA,2015-08-06,0.0,mixed,-0.207223,-0.068677,-0.138546,-0.139925,-0.045767,-0.094159,0.0,-0.019977,0.019977,-0.016269,-0.015588,-0.000681
GFSA3.SA,2015-08-07,50.0,mixed,0.062297,-0.060103,0.1224,0.003918,-0.066515,0.070433,-0.02288,-0.015588,-0.007292,-0.042928,0.035932,-0.07886
CCRO3.SA,2015-08-11,50.0,mixed,0.020121,-0.053745,0.073866,-0.014577,-0.036109,0.021532,0.026316,-0.027043,0.053359,-0.016765,-0.007855,-0.00891
MOTV3.SA,2015-08-11,50.0,mixed,0.020668,-0.053745,0.074413,-0.015337,-0.036109,0.020772,0.025559,-0.027043,0.052602,-0.017134,-0.007855,-0.009279
COGN3.SA,2015-08-12,100.0,mixed,-0.053531,-0.07908,0.025549,-0.00479,-0.035253,0.030462,0.037453,-0.007855,0.045308,0.087846,-0.023143,0.110988
EZTC3.SA,2015-08-13,80.0,mixed,-0.037313,-0.08238,0.045066,-0.015267,-0.038369,0.023102,0.007812,-0.023143,0.030955,0.007752,0.004988,0.002764
CPLE6.SA,2015-08-13,25.0,mixed,-0.06383,-0.08238,0.01855,-0.047619,-0.038369,-0.00925,0.0,-0.023143,0.023143,0.0,0.004988,-0.004988
HBOR3.SA,2015-08-13,0.0,mixed,-0.01906,-0.08238,0.06332,-0.014049,-0.038369,0.024321,-0.010256,-0.023143,0.012886,0.024611,0.004988,0.019624
B3SA3.SA,2015-08-14,50.0,mixed,0.022222,-0.08357,0.105792,0.04943,-0.01827,0.0677,0.0,0.004988,-0.004988,-0.021739,-0.004963,-0.016776
CPFE3.SA,2015-08-14,60.0,mixed,-0.117925,-0.08357,-0.034354,-0.047862,-0.01827,-0.029591,-0.042008,0.004988,-0.046996,-0.004278,-0.004963,0.000685
AMER3.SA,2015-08-14,25.0,mixed,-0.151668,-0.08357,-0.068098,-0.099114,-0.01827,-0.080844,-0.01229,0.004988,-0.017278,0.011787,-0.004963,0.01675
MRVE3.SA,2015-08-14,25.0,mixed,-0.115285,-0.08357,-0.031714,-0.042076,-0.01827,-0.023805,0.002937,0.004988,-0.00205,0.029282,-0.004963,0.034245
SBSP3.SA,2015-08-14,25.0,mixed,-0.098396,-0.08357,-0.014826,-0.054281,-0.01827,-0.036011,0.018107,0.004988,0.013119,-0.026677,-0.004963,-0.021715
CMIG4.SA,2015-08-17,50.0,mixed,-0.037037,-0.066899,0.029862,0.037037,-0.057025,0.094062,0.013928,-0.004963,0.01889,0.016484,0.007481,0.009002
BRAP4.SA,2015-09-01,50.0,mixed,0.027778,-0.099629,0.127406,0.159148,-0.002742,0.161889,-0.026316,-0.045902,0.019586,0.054054,0.008935,0.045119
NTCO3.SA,2015-10-22,25.0,mixed,-0.022013,-0.051634,0.029621,-0.034161,-0.01158,-0.022581,-0.033161,0.034212,-0.067373,-0.006431,-0.002757,-0.003674
LREN3.SA,2015-10-22,75.0,mixed,0.015962,-0.051634,0.067596,0.042389,-0.01158,0.05397,0.025592,0.034212,-0.00862,-0.058226,-0.002757,-0.055469
NATU3.SA,2015-10-22,25.0,mixed,-0.022013,-0.051634,0.029621,-0.034161,-0.01158,-0.022581,-0.033161,0.034212,-0.067373,-0.006431,-0.002757,-0.003674
RENT3.SA,2015-10-22,25.0,mixed,-0.057453,-0.051634,-0.005819,-0.01461,-0.01158,-0.00303,0.006633,0.034212,-0.027579,0.044481,-0.002757,0.047238
MOTV3.SA,2015-10-27,40.0,mixed,-0.034146,-0.010453,-0.023693,-0.035714,-0.001406,-0.034308,-0.014925,-0.005602,-0.009323,0.003367,-0.008451,0.011818
AMAR3.SA,2015-10-27,0.0,mixed,-0.01013,-0.010453,0.000323,0.024335,-0.001406,0.025742,0.016345,-0.005602,0.021947,-0.01462,-0.008451,-0.006169
CCRO3.SA,2015-10-27,40.0,mixed,-0.034973,-0.010453,-0.02452,-0.036026,-0.001406,-0.03462,-0.015608,-0.005602,-0.010005,0.003398,-0.008451,0.011848
TOTS3.SA,2015-10-28,25.0,mixed,0.025735,-0.028966,0.054701,-0.011806,0.003564,-0.01537,-0.054237,-0.008451,-0.045787,0.005974,-0.007812,0.013786
WEGE3.SA,2015-10-28,50.0,mixed,-0.052373,-0.028966,-0.023408,-0.023609,0.003564,-0.027173,-0.020305,-0.008451,-0.011854,-0.048359,-0.007812,-0.040547
ODPV3.SA,2015-10-28,25.0,mixed,0.012853,-0.028966,0.041819,0.031414,0.003564,0.02785,0.012853,-0.008451,0.021304,-0.015228,-0.007812,-0.007416
MULT3.SA,2015-10-28,50.0,mixed,-0.004711,-0.028966,0.024254,0.007151,0.003564,0.003588,-0.021991,-0.008451,-0.01354,-0.046154,-0.007812,-0.038341
GGBR4.SA,2015-10-29,50.0,mixed,-0.147799,-0.048365,-0.099434,-0.096667,-0.037216,-0.059451,-0.010949,-0.007812,-0.003136,0.0,0.003579,-0.003579
SANB11.SA,2015-10-29,100.0,mixed,-0.026786,-0.048365,0.021579,-0.038589,-0.037216,-0.001373,-0.049073,-0.007812,-0.041261,0.011468,0.003579,0.007889
DXCO3.SA,2015-10-29,0.0,mixed,-0.046099,-0.048365,0.002266,-0.115132,-0.037216,-0.077916,-0.021818,-0.007812,-0.014006,0.018587,0.003579,0.015008
FLRY3.SA,2015-10-29,75.0,mixed,-0.007194,-0.048365,0.041171,-0.038328,-0.037216,-0.001112,-0.014286,-0.007812,-0.006473,0.025362,0.003579,0.021783
BRFS3.SA,2015-10-29,75.0,mixed,0.007449,-0.048365,0.055815,-0.04618,-0.037216,-0.008964,-0.033027,-0.007812,-0.025214,-0.095599,0.003579,-0.099178
PCAR3.SA,2015-10-29,25.0,mixed,0.0,-0.048365,0.048365,0.0,-0.037216,0.037216,0.0,-0.007812,0.007812,0.0,0.003579,-0.003579
USIM5.SA,2015-10-29,0.0,mixed,-0.161538,-0.048365,-0.113173,-0.084034,-0.037216,-0.046818,-0.035398,-0.007812,-0.027586,-0.013761,0.003579,-0.017341
BBDC4.SA,2015-10-29,100.0,mixed,-0.063328,-0.048365,-0.014963,-0.036364,-0.037216,0.000852,-0.061947,-0.007812,-0.054134,-0.001572,0.003579,-0.005151
ABEV3.SA,2015-10-30,0.0,mixed,-0.010438,-0.036426,0.025988,-0.033967,-0.031099,-0.002869,0.004947,0.003579,0.001368,None,None,None
ENBR3.SA,2015-10-30,75.0,mixed,-0.034247,-0.036426,0.002179,-0.036721,-0.031099,-0.005622,0.0,0.003579,-0.003579,None,None,None
ITUB4.SA,2015-11-03,50.0,mixed,0.044721,0.068214,-0.023493,0.06053,0.069718,-0.009189,None,None,None,0.002378,-0.026333,0.028711
BRPR3.SA,2015-11-03,25.0,mixed,0.14048,0.068214,0.072266,0.036955,0.069718,-0.032763,None,None,None,-0.003226,-0.026333,0.023107
EQTL3.SA,2015-11-03,100.0,mixed,0.001799,0.068214,-0.066415,-0.00713,0.069718,-0.076848,None,None,None,0.028725,-0.026333,0.055058
VLID3.SA,2015-11-03,50.0,mixed,-0.03375,0.068214,-0.101964,-0.045335,0.069718,-0.115054,None,None,None,-0.005495,-0.026333,0.020839
