symbol,event_date,beat_rate,beat_category,pre_stock_ret_10d,pre_bench_ret_10d,pre_abnormal_ret_10d,pre_stock_ret_5d,pre_bench_ret_5d,pre_abnormal_ret_5d,pre_stock_ret_1d,pre_bench_ret_1d,pre_abnormal_ret_1d,post_stock_ret_1d,post_bench_ret_1d,post_abnormal_ret_1d
F&D.BK,2000-01-26,93.75,habitual_beater,0.020238,0.020887,-0.000649,0.020238,-0.035182,0.05542,0.041312,-0.008453,0.049765,0.0,0.012127,-0.012127
F&D.BK,2000-04-17,94.12,habitual_beater,0.0,-0.015116,0.015116,0.0,-0.025885,0.025885,0.0,-0.052045,0.052045,0.0,-0.019421,0.019421
F&D.BK,2000-07-19,94.44,habitual_beater,-0.08384,-0.02574,-0.0581,-0.08384,-0.028988,-0.054852,0.0,0.00367,-0.00367,0.0,-0.021269,0.021269
F&D.BK,2000-10-18,94.74,habitual_beater,0.0,-0.0135,0.0135,0.0,0.029087,-0.029087,0.0,0.03166,-0.03166,0.0,0.029868,-0.029868
F&D.BK,2001-01-18,95.0,habitual_beater,0.020656,0.12739,-0.106734,0.0,0.065072,-0.065072,0.0,-0.002286,0.002286,0.0,0.008273,-0.008273
F&D.BK,2001-04-19,90.48,habitual_beater,0.0,0.056911,-0.056911,0.0,0.023311,-0.023311,0.0,0.002489,-0.002489,0.0,-0.018418,0.018418
F&D.BK,2001-07-18,90.91,habitual_beater,-0.187785,-0.039234,-0.148551,-0.071875,0.00806,-0.079935,-0.088025,-0.000159,-0.087866,0.01908,0.002729,0.016351
F&D.BK,2001-10-17,91.3,habitual_beater,-0.101573,0.042522,-0.144095,-0.036543,0.003871,-0.040414,0.158918,0.01556,0.143358,0.0,-0.005837,0.005837
F&D.BK,2002-01-17,87.5,habitual_beater,0.239062,0.022849,0.216213,-0.017103,-0.000376,-0.016727,-0.050073,-0.00122,-0.048853,-0.0174,-0.005201,-0.012199
F&D.BK,2002-04-17,88.0,habitual_beater,0.194105,0.053692,0.140413,0.24989,0.053578,0.196312,0.081205,0.0,0.081205,0.0,-0.008318,0.008318
F&D.BK,2002-07-17,88.46,habitual_beater,-0.125165,-0.0021,-0.123065,-0.125165,-0.021466,-0.1037,-0.034533,0.004509,-0.039042,0.0,0.009104,-0.009104
F&D.BK,2002-10-16,88.89,habitual_beater,0.094199,-0.007841,0.10204,0.008832,-0.016461,0.025293,0.008832,0.013738,-0.004906,0.0,0.001142,-0.001142
F&D.BK,2003-01-21,89.29,habitual_beater,0.0,0.028453,-0.028453,0.0,0.006911,-0.006911,0.0,0.012007,-0.012007,0.0,-0.007289,0.007289
F&D.BK,2003-04-16,89.66,habitual_beater,-0.008885,0.068174,-0.077059,0.017792,0.028524,-0.010732,0.036229,0.008295,0.027933,0.017929,-0.004941,0.02287
F&D.BK,2003-07-16,90.0,habitual_beater,0.0,0.053294,-0.053294,0.021626,0.042838,-0.021212,0.029301,0.018191,0.01111,0.0,-0.016117,0.016117
F&D.BK,2003-10-16,90.32,habitual_beater,-0.075735,0.029258,-0.104993,0.006143,0.017398,-0.011255,-0.006386,0.013036,-0.019422,0.056555,0.00855,0.048005
F&D.BK,2004-01-22,90.62,habitual_beater,0.03129,-0.017297,0.048587,0.03129,-0.009409,0.040698,0.0,-0.008543,0.008543,0.0,-0.007538,0.007538
