symbol,event_date,beat_rate,beat_category,pre_stock_ret_10d,pre_bench_ret_10d,pre_abnormal_ret_10d,pre_stock_ret_5d,pre_bench_ret_5d,pre_abnormal_ret_5d,pre_stock_ret_1d,pre_bench_ret_1d,pre_abnormal_ret_1d,post_stock_ret_1d,post_bench_ret_1d,post_abnormal_ret_1d
UIS.SW,2000-01-18,81.25,habitual_beater,-0.006211,0.018808,-0.025019,0.023454,-0.002062,0.025516,-0.006211,-0.013614,0.007403,-0.010417,-0.009183,-0.001233
UIS.SW,2000-04-13,82.35,habitual_beater,-0.077778,0.026887,-0.104665,0.024691,0.014071,0.01062,0.04534,0.004066,0.041274,-0.121687,-0.011462,-0.110224
UIS.SW,2000-07-18,83.33,habitual_beater,-0.206827,0.008622,-0.215449,-0.122222,-0.003923,-0.118299,-0.131868,-0.000886,-0.130982,-0.081013,0.004724,-0.085736
UIS.SW,2000-10-12,78.95,habitual_beater,-0.063158,-0.030036,-0.033122,-0.063158,-0.034041,-0.029117,0.047059,0.00394,0.043119,0.011236,-0.008602,0.019838
UIS.SW,2001-01-18,80.0,habitual_beater,-0.030418,-0.02225,-0.008168,-0.037736,0.007477,-0.045213,-0.076087,-0.004578,-0.071509,-0.027451,-0.009299,-0.018152
UIS.SW,2001-04-16,80.95,habitual_beater,-0.128631,0.011049,-0.13968,-0.106383,0.041999,-0.148382,-0.146341,0.0,-0.146341,0.009524,0.012626,-0.003102
UIS.SW,2001-07-16,81.82,habitual_beater,-0.064961,-0.052146,-0.012815,-0.004193,-0.007258,0.003065,-0.042339,-0.00098,-0.041359,-0.090526,-0.004687,-0.08584
UIS.SW,2001-10-15,78.26,habitual_beater,0.090909,0.012653,0.078256,0.094891,0.006971,0.087919,0.020408,-0.007451,0.027859,-0.04,-0.000234,-0.039766
UIS.SW,2002-01-17,79.17,habitual_beater,-0.055046,-0.009544,-0.045502,-0.037383,-0.006867,-0.030516,None,None,None,0.029126,-0.004082,0.033208
UIS.SW,2002-07-18,76.92,habitual_beater,0.012987,-0.09855,0.111537,0.063636,-0.048208,0.111844,-0.008475,-0.005321,-0.003153,-0.008547,-0.055999,0.047452
UIS.SW,2002-10-14,74.07,mixed,0.0,-0.012356,0.012356,0.010204,0.034491,-0.024287,0.058824,-0.009561,0.068384,0.212121,0.057664,0.154457
UIS.SW,2003-01-21,75.0,mixed,-0.090909,-0.048373,-0.042536,None,None,None,0.029412,-0.006218,0.03563,-0.003571,-0.028039,0.024468
UIS.SW,2003-04-14,72.41,mixed,0.095041,0.099814,-0.004773,-0.036364,0.000601,-0.036965,None,None,None,0.067925,0.024903,0.043021
UIS.SW,2004-07-15,70.59,mixed,-0.226087,-0.026272,-0.199815,-0.152381,-0.018069,-0.134312,None,None,None,-0.026217,-0.003049,-0.023169
UIS.SW,2005-01-25,72.22,mixed,-0.107692,0.009277,-0.116969,-0.072,0.004652,-0.076652,-0.033333,0.002713,-0.036046,0.0,0.000399,-0.000399
UIS.SW,2005-04-14,70.27,mixed,0.065089,0.016999,0.04809,0.006711,0.001129,0.005583,0.034483,0.003027,0.031456,-0.111111,-0.001907,-0.109204
UIS.SW,2005-07-20,68.42,mixed,0.053593,0.03197,0.021623,None,None,None,0.006985,0.004412,0.002573,-0.062428,-0.002872,-0.059556
UIS.SW,2006-01-26,70.0,mixed,0.042131,-0.006245,0.048377,0.06053,-0.002857,0.063386,0.004779,0.008682,-0.003903,-0.030916,0.003871,-0.034787
UIS.SW,2006-04-18,68.29,mixed,-0.097207,-0.007715,-0.089492,None,None,None,-0.059371,-0.005732,-0.053639,-0.009901,0.011242,-0.021143
UIS.SW,2006-10-25,65.12,mixed,0.094164,0.005152,0.089013,0.064516,0.007227,0.057289,-0.029412,0.002286,-0.031697,-0.014545,-0.001002,-0.013543
UIS.SW,2007-01-24,63.64,mixed,-0.004951,0.032895,-0.037845,-0.042857,0.005327,-0.048184,0.050157,0.005228,0.044929,0.00995,-0.002076,0.012026
UIS.SW,2007-04-25,64.44,mixed,-0.049774,0.032092,-0.081866,-0.036697,0.016253,-0.05295,None,None,None,0.009524,0.005515,0.004009
UIS.SW,2008-01-29,62.5,mixed,0.143223,-0.033798,0.17702,0.204852,0.028913,0.175939,0.152062,0.016184,0.135878,0.067114,-0.004231,0.071345
UBSG.SW,2008-02-14,25.0,mixed,-0.154855,-0.021955,-0.1329,-0.092811,0.011051,-0.103862,-0.083397,-0.004578,-0.07882,-0.038155,-0.019861,-0.018294
UIS.SW,2008-04-30,61.22,mixed,0.043578,0.038382,0.005196,-0.071429,0.02792,-0.099349,-0.06953,0.008979,-0.078509,-0.006593,0.01817,-0.024763
UBSG.SW,2008-05-06,20.0,mixed,-0.020096,0.020122,-0.040218,-0.030683,-0.000848,-0.029835,-0.044719,-0.014964,-0.029755,-0.017833,0.01266,-0.030493
UIS.SW,2008-07-23,60.0,mixed,0.073418,0.019765,0.053653,0.228986,0.072112,0.156873,0.0,0.019645,-0.019645,-0.148585,-0.000186,-0.148399
UBSG.SW,2008-08-12,16.67,mixed,0.107692,0.047771,0.059922,0.073826,0.015445,0.058381,-0.02439,-0.004891,-0.019499,-0.072222,-0.014837,-0.057385
UIS.SW,2008-10-30,58.82,mixed,-0.127778,0.021651,-0.149428,-0.076471,-0.008719,-0.067751,0.082759,-0.006501,0.08926,0.063694,0.05321,0.010484
UBSG.SW,2008-11-04,28.57,mixed,0.081967,0.034678,0.047289,0.311715,0.155536,0.15618,0.03894,0.026645,0.012295,-0.020734,-0.034817,0.014084
UBSG.SW,2009-02-10,25.0,mixed,-0.056522,-0.03818,-0.018342,0.029656,-0.013976,0.043632,0.057247,-0.002677,0.059924,0.025346,-0.004066,0.029412
