symbol,event_date,beat_rate,beat_category,pre_stock_ret_10d,pre_bench_ret_10d,pre_abnormal_ret_10d,pre_stock_ret_5d,pre_bench_ret_5d,pre_abnormal_ret_5d,pre_stock_ret_1d,pre_bench_ret_1d,pre_abnormal_ret_1d,post_stock_ret_1d,post_bench_ret_1d,post_abnormal_ret_1d
EKTA-B.ST,2014-11-27,0.0,mixed,-0.06871,0.030359,-0.099069,-0.074201,0.029675,-0.103876,-0.037794,0.005588,-0.043382,0.069533,-0.003151,0.072684
TELIA.ST,2015-01-29,25.0,mixed,0.009473,0.077555,-0.068082,-0.012602,0.030576,-0.043178,-0.016248,0.005023,-0.021271,-0.019895,0.00206,-0.021955
ALFA.ST,2015-02-03,75.0,mixed,0.128095,0.068265,0.05983,0.063812,0.039162,0.02465,0.014225,0.011086,0.003139,-0.026783,-0.008851,-0.017932
VOLV-B.ST,2015-02-05,50.0,mixed,-0.001105,0.040907,-0.042012,-0.007319,0.010025,-0.017344,-0.030384,0.004316,-0.034701,-0.009217,0.008461,-0.017678
HEXA-B.ST,2015-02-06,0.0,mixed,0.109275,0.04111,0.068165,0.106227,0.016477,0.08975,0.070922,0.008461,0.062461,0.006623,-0.005096,0.011718
HUSQ-B.ST,2015-02-06,75.0,mixed,0.137692,0.04111,0.096582,0.069414,0.016477,0.052937,0.02235,0.008461,0.013889,0.048005,-0.005096,0.053101
AXFO.ST,2015-02-10,50.0,mixed,-0.023591,0.045246,-0.068836,-0.025595,0.005854,-0.031449,-0.045981,0.007128,-0.053109,-0.008301,-0.006061,-0.00224
TREL-B.ST,2015-02-13,50.0,mixed,0.118173,0.043479,0.074694,0.088407,0.026564,0.061843,0.022618,0.01089,0.011729,0.013739,0.00137,0.012369
EKTA-B.ST,2015-03-04,0.0,mixed,-0.053595,0.007476,-0.061071,-0.075658,-0.008478,-0.06718,-0.050257,0.001582,-0.051839,0.040538,0.003044,0.037495
TELIA.ST,2015-04-21,40.0,mixed,-0.040831,-0.001593,-0.039238,-0.00873,-0.003916,-0.004815,-0.01731,0.009798,-0.027107,0.00367,0.006801,-0.003131
HUSQ-B.ST,2015-04-21,80.0,mixed,0.025017,-0.001593,0.02661,0.013696,-0.003916,0.017611,0.061777,0.009798,0.051979,-0.000872,0.006801,-0.007673
AXFO.ST,2015-04-22,40.0,mixed,0.04909,0.011552,0.037537,0.053106,-0.002545,0.055651,0.025249,0.006801,0.018448,0.023689,-0.009657,0.033347
VOLV-B.ST,2015-04-22,40.0,mixed,0.164688,0.011552,0.153135,0.144597,-0.002545,0.147142,0.150238,0.006801,0.143437,0.019651,-0.009657,0.029309
TREL-B.ST,2015-04-23,40.0,mixed,-0.018177,-0.003634,-0.014543,-0.029197,-0.000684,-0.028513,-0.017047,-0.009657,-0.007389,0.012732,0.005172,0.007561
ALFA.ST,2015-04-23,80.0,mixed,-0.030409,-0.003634,-0.026775,-0.047183,-0.000684,-0.0465,-0.052602,-0.009657,-0.042944,0.01358,0.005172,0.008409
HEXA-B.ST,2015-05-06,20.0,mixed,-0.091308,-0.065232,-0.026076,-0.073025,-0.05677,-0.016255,-0.019701,-0.007088,-0.012613,0.095659,0.002194,0.093466
EKTA-B.ST,2015-06-02,0.0,mixed,-0.096202,0.003304,-0.099506,-0.106642,0.000101,-0.106743,-0.095447,-0.006629,-0.088817,0.000924,0.001854,-0.00093
AXFO.ST,2015-07-15,50.0,mixed,0.046843,0.0168,0.030044,0.009237,0.053317,-0.04408,-0.058953,-0.008834,-0.050119,-0.00417,0.021319,-0.025488
ALFA.ST,2015-07-16,83.33,mixed,0.111328,0.047382,0.063946,0.131011,0.055839,0.075172,0.124866,0.021319,0.103547,-0.013245,-0.000399,-0.012845
TELIA.ST,2015-07-17,50.0,mixed,0.071158,0.052693,0.018465,0.055576,0.028245,0.027331,0.026478,-0.000399,0.026877,0.008481,0.010993,-0.002512
HUSQ-B.ST,2015-07-17,83.33,mixed,0.010428,0.052693,-0.042265,-0.004495,0.028245,-0.03274,-0.021254,-0.000399,-0.020855,0.01075,0.010993,-0.000242
VOLV-B.ST,2015-07-17,33.33,mixed,-0.024005,0.052693,-0.076698,-0.045813,0.028245,-0.074058,-0.063279,-0.000399,-0.06288,0.032345,0.010993,0.021352
TREL-B.ST,2015-07-21,50.0,mixed,0.058293,0.079346,-0.021053,0.007647,0.01248,-0.004833,-0.011829,-0.010299,-0.001531,-0.00446,-0.009256,0.004796
HEXA-B.ST,2015-08-07,16.67,mixed,-0.042909,-0.000321,-0.042588,0.00076,-0.00208,0.002841,-0.014232,-0.005724,-0.008508,0.053191,0.015045,0.038146
HOLM-B.ST,2015-08-13,50.0,mixed,-0.02504,-0.005831,-0.019209,-0.042709,-0.016907,-0.025802,-0.014295,0.012135,-0.02643,0.028119,-0.004594,0.032713
BEIA-B.ST,2015-08-18,25.0,mixed,0.0,-0.017588,0.017588,0.0,-0.019317,0.019317,-0.00756,-0.005827,-0.001734,-0.033193,-0.01896,-0.014233
HUFV-A.ST,2015-08-20,25.0,mixed,-0.006901,-0.053761,0.04686,-0.019776,-0.037488,0.017712,-0.016426,-0.012306,-0.00412,-0.020287,-0.025437,0.00515
FAG.ST,2015-08-20,25.0,mixed,-0.006762,-0.053761,0.046999,-0.013434,-0.037488,0.024054,-0.01011,-0.012306,0.002197,0.02695,-0.025437,0.052388
NEWA-B.ST,2015-08-20,50.0,mixed,-0.056592,-0.053761,-0.002831,-0.061114,-0.037488,-0.023627,-0.067262,-0.012306,-0.054955,-0.026165,-0.025437,-0.000727
BALD-B.ST,2015-08-21,25.0,mixed,-0.029351,-0.072522,0.04317,-0.064474,-0.057643,-0.006831,-0.022008,-0.025437,0.003429,-0.033052,-0.044991,0.011939
PEAB-B.ST,2015-08-21,25.0,mixed,-0.079412,-0.072522,-0.00689,-0.086333,-0.057643,-0.02869,-0.049075,-0.025437,-0.023638,-0.047868,-0.044991,-0.002877
MEKO.ST,2015-08-26,50.0,mixed,-0.038587,-0.074182,0.035595,-0.023065,-0.061352,0.038287,-0.0047,-0.016957,0.012257,0.016526,0.03063,-0.014103
SYSR.ST,2015-08-27,50.0,mixed,-0.05988,-0.057265,-0.002615,-0.040855,-0.020548,-0.020308,-0.07477,0.03063,-0.105399,0.006369,0.004555,0.001814
EKTA-B.ST,2015-09-01,0.0,mixed,-0.008807,-0.071779,0.062972,0.060792,-0.00909,0.069882,0.079099,-0.02079,0.099889,0.024878,0.001121,0.023757
CLAS-B.ST,2015-09-09,75.0,mixed,-0.009755,0.033569,-0.043324,0.00337,0.024215,-0.020846,-0.028811,0.012271,-0.041082,-0.049591,-0.008493,-0.041098
HM-B.ST,2015-09-24,100.0,mixed,-0.065856,-0.075266,0.00941,-0.061138,-0.070358,0.00922,-0.039988,-0.027874,-0.012114,0.025515,0.026485,-0.00097
GETI-B.ST,2015-10-15,50.0,mixed,0.105478,0.035185,0.070293,0.068855,-0.00725,0.076105,0.068326,0.007707,0.060619,0.029492,-0.001042,0.030534
CAST.ST,2015-10-15,25.0,mixed,0.053552,0.035185,0.018367,-0.011234,-0.00725,-0.003984,-0.009771,0.007707,-0.017478,-0.004933,-0.001042,-0.003891
SKF-B.ST,2015-10-16,100.0,mixed,-0.069698,0.027956,-0.097654,-0.114384,-0.021153,-0.093232,-0.072727,-0.001042,-0.071685,-0.018145,0.00389,-0.022035
ASSA-B.ST,2015-10-20,50.0,mixed,0.0,0.006533,-0.006533,0.017286,0.004495,0.012791,0.042887,0.005944,0.036943,0.016915,-0.009941,0.026856
FABG.ST,2015-10-20,75.0,mixed,0.024849,0.006533,0.018315,0.041596,0.004495,0.037101,0.025705,0.005944,0.019761,0.011817,-0.009941,0.021758
ATCO-A.ST,2015-10-20,25.0,mixed,0.002039,0.006533,-0.004495,-0.00127,0.004495,-0.005765,0.029859,0.005944,0.023914,0.008138,-0.009941,0.018079
TELIA.ST,2015-10-20,42.86,mixed,-0.016589,0.006533,-0.023122,-0.030201,0.004495,-0.034696,0.009607,0.005944,0.003663,-0.001298,-0.009941,0.008643
SWED-A.ST,2015-10-20,50.0,mixed,0.018754,0.006533,0.012221,0.008781,0.004495,0.004286,-0.0005,0.005944,-0.006444,-0.005103,-0.009941,0.004838
JM.ST,2015-10-21,25.0,mixed,-0.038143,5.9e-05,-0.038201,-0.03023,0.006475,-0.036705,-0.038143,-0.009941,-0.028202,0.05662,0.022295,0.034325
TEL2-B.ST,2015-10-21,75.0,mixed,0.029644,5.9e-05,0.029585,0.079178,0.006475,0.072703,0.049976,-0.009941,0.059916,0.029487,0.022295,0.007192
SHB-A.ST,2015-10-21,75.0,mixed,-0.045251,5.9e-05,-0.04531,-0.040509,0.006475,-0.046984,-0.070376,-0.009941,-0.060435,-0.003397,0.022295,-0.025692
AXFO.ST,2015-10-21,57.14,mixed,0.143807,5.9e-05,0.143749,0.059888,0.006475,0.053413,0.017469,-0.009941,0.02741,-0.01399,0.022295,-0.036284
SEB-A.ST,2015-10-21,50.0,mixed,-0.049652,5.9e-05,-0.049711,-0.033405,0.006475,-0.039881,-0.043368,-0.009941,-0.033427,0.045944,0.022295,0.02365
INTRUM.ST,2015-10-21,75.0,mixed,0.017059,5.9e-05,0.017001,0.025084,0.006475,0.018609,-0.032403,-0.009941,-0.022462,-0.035499,0.022295,-0.057794
WIHL.ST,2015-10-21,100.0,mixed,0.05349,5.9e-05,0.053432,0.026502,0.006475,0.020027,0.015734,-0.009941,0.025675,0.025818,0.022295,0.003523
HUSQ-B.ST,2015-10-21,71.43,mixed,-0.073699,5.9e-05,-0.073758,-0.055501,0.006475,-0.061976,-0.049432,-0.009941,-0.039491,0.030161,0.022295,0.007867
BILL.ST,2015-10-21,50.0,mixed,0.090519,5.9e-05,0.090461,0.083617,0.006475,0.077142,0.056736,-0.009941,0.066677,0.033697,0.022295,0.011402
MTG-B.ST,2015-10-22,100.0,mixed,0.075306,0.013642,0.061665,0.061366,0.021044,0.040321,0.034541,0.022295,0.012246,0.054153,0.014904,0.039249
TIGO-SDB.ST,2015-10-22,25.0,mixed,-0.129751,0.013642,-0.143393,-0.120459,0.021044,-0.141503,-0.111848,0.022295,-0.134142,0.028012,0.014904,0.013108
TREL-B.ST,2015-10-22,57.14,mixed,0.067615,0.013642,0.053974,0.060514,0.021044,0.039469,0.06841,0.022295,0.046116,0.0169,0.014904,0.001996
SSAB-A.ST,2015-10-22,75.0,mixed,-0.091009,0.013642,-0.104651,-0.120598,0.021044,-0.141642,-0.071026,0.022295,-0.093321,0.024879,0.014904,0.009974
