symbol,event_date,beat_rate,beat_category,pre_stock_ret_10d,pre_bench_ret_10d,pre_abnormal_ret_10d,pre_stock_ret_5d,pre_bench_ret_5d,pre_abnormal_ret_5d,pre_stock_ret_1d,pre_bench_ret_1d,pre_abnormal_ret_1d,post_stock_ret_1d,post_bench_ret_1d,post_abnormal_ret_1d
1301.TW,2015-07-10,0.0,mixed,-0.053038,-0.011337,-0.041702,-0.038587,0.000861,-0.039448,0.0,0.012598,-0.012598,0.002948,0.011008,-0.00806
2492.TW,2015-07-30,25.0,mixed,-0.04584,-0.007004,-0.038836,0.04461,0.003,0.04161,0.095517,0.000226,0.095291,0.038256,-0.001467,0.039723
4966.TWO,2015-07-31,50.0,mixed,-0.225954,-0.009293,-0.216661,-0.133761,0.012067,-0.145829,-0.098492,-0.001467,-0.097025,-0.03766,-0.003391,-0.03427
3041.TW,2015-07-31,25.0,mixed,-0.158128,-0.009293,-0.148835,-0.081183,0.012067,-0.09325,0.01575,-0.001467,0.017217,0.004096,-0.003391,0.007487
6244.TWO,2015-08-03,0.0,mixed,-0.080584,-0.01315,-0.067434,-0.039761,0.014496,-0.054258,-0.063802,-0.003391,-0.060412,-0.099724,-0.001985,-0.097739
4745.TWO,2015-08-03,50.0,mixed,-0.105208,-0.01315,-0.092058,-0.058938,0.014496,-0.073434,-0.043515,-0.003391,-0.040125,-0.098966,-0.001985,-0.096981
2227.TW,2015-08-05,25.0,mixed,0.026631,-0.006191,0.032822,0.031765,-0.00333,0.035095,0.011462,0.003295,0.008166,-0.034064,-0.008154,-0.025909
2548.TW,2015-08-05,50.0,mixed,-0.090198,-0.006191,-0.084007,-0.046484,-0.00333,-0.043154,0.009512,0.003295,0.006217,0.050389,-0.008154,0.058544
2393.TW,2015-08-07,50.0,mixed,-0.081942,-0.000229,-0.081713,0.011986,-0.01215,0.024136,-0.040974,-0.001941,-0.039032,0.028342,0.012585,0.015757
8422.TW,2015-08-07,25.0,mixed,-0.013453,-0.000229,-0.013224,0.02924,-0.01215,0.041389,0.022067,-0.001941,0.024009,-0.047727,0.012585,-0.060312
8299.TWO,2015-08-07,50.0,mixed,0.022406,-0.000229,0.022635,0.002149,-0.01215,0.014299,0.011045,-0.001941,0.012986,0.054822,0.012585,0.042237
2707.TW,2015-08-07,25.0,mixed,-0.021365,-0.000229,-0.021137,0.026971,-0.01215,0.039121,0.017793,-0.001941,0.019734,-0.00435,0.012585,-0.016935
1565.TWO,2015-08-07,0.0,mixed,-0.091963,-0.000229,-0.091734,-0.038947,-0.01215,-0.026798,-0.003787,-0.001941,-0.001846,0.006348,0.012585,-0.006237
5534.TW,2015-08-10,25.0,mixed,-0.044487,0.018235,-0.062723,-0.014366,0.003686,-0.018051,0.014374,0.012585,0.001789,-0.003644,-0.008983,0.005339
3484.TWO,2015-08-11,50.0,mixed,-0.039326,-0.003126,-0.0362,0.104521,-0.003352,0.107874,-0.021841,-0.008983,-0.012858,0.0,0.001197,-0.001197
2207.TW,2015-08-11,75.0,mixed,0.015642,-0.003126,0.018767,-0.012849,-0.003352,-0.009497,-0.039756,-0.008983,-0.030774,-0.014209,0.001197,-0.015406
8086.TWO,2015-08-11,100.0,mixed,-0.174944,-0.003126,-0.171819,0.063873,-0.003352,0.067225,-0.060158,-0.008983,-0.051176,0.053367,0.001197,0.05217
8046.TW,2015-08-11,100.0,mixed,-0.184158,-0.003126,-0.181033,-0.155738,-0.003352,-0.152386,-0.069977,-0.008983,-0.060995,-0.01699,0.001197,-0.018187
8936.TWO,2015-08-12,25.0,mixed,-0.04554,-0.008748,-0.036792,0.029639,-0.005436,0.035075,-0.018576,0.001197,-0.019773,-0.004338,-0.001253,-0.003085
1216.TW,2015-08-12,75.0,mixed,0.071552,-0.008748,0.0803,0.010887,-0.005436,0.016324,0.025967,0.001197,0.02477,0.00727,-0.001253,0.008522
2301.TW,2015-08-12,50.0,mixed,-0.067788,-0.008748,-0.05904,-0.069743,-0.005436,-0.064307,0.006239,0.001197,0.005042,-0.009583,-0.001253,-0.00833
4153.TWO,2015-08-12,50.0,mixed,0.031353,-0.008748,0.040102,0.101391,-0.005436,0.106828,-0.019521,0.001197,-0.020719,0.21687,-0.001253,0.218123
2912.TW,2015-08-12,0.0,mixed,0.082305,-0.008748,0.091054,-0.026149,-0.005436,-0.020713,-0.002249,0.001197,-0.003446,-0.015647,-0.001253,-0.014394
1707.TW,2015-08-12,75.0,mixed,-0.160885,-0.008748,-0.152136,-0.052692,-0.005436,-0.047255,-0.029708,0.001197,-0.030905,0.013923,-0.001253,0.015176
4137.TW,2015-08-12,50.0,mixed,0.04561,-0.008748,0.054358,0.034843,-0.005436,0.040279,0.024366,0.001197,0.023169,-0.037623,-0.001253,-0.03637
