symbol,event_date,beat_rate,beat_category,pre_stock_ret_10d,pre_bench_ret_10d,pre_abnormal_ret_10d,pre_stock_ret_5d,pre_bench_ret_5d,pre_abnormal_ret_5d,pre_stock_ret_1d,pre_bench_ret_1d,pre_abnormal_ret_1d,post_stock_ret_1d,post_bench_ret_1d,post_abnormal_ret_1d
CTX.DE,2008-01-23,86.05,habitual_beater,-0.155844,-0.172626,0.016782,-0.107296,-0.138172,0.030876,0.0,-0.048787,0.048787,0.0,0.059302,-0.059302
CTX.DE,2008-04-23,86.36,habitual_beater,0.037433,0.010961,0.026472,0.0,0.013754,-0.013754,0.0,0.009918,-0.009918,0.0,0.003869,-0.003869
CTX.DE,2008-07-23,86.67,habitual_beater,0.0,0.023429,-0.023429,0.0,0.061852,-0.061852,0.0,0.014481,-0.014481,0.0,-0.014594,0.014594
CTX.DE,2008-10-22,86.96,habitual_beater,0.126809,-0.08827,0.215079,0.0,-0.059766,0.059766,0.0,-0.044591,0.044591,0.0,-0.011238,0.011238
CTX.DE,2009-01-28,87.23,habitual_beater,0.0,0.021792,-0.021792,0.0,0.060446,-0.060446,0.0,0.045173,-0.045173,0.0,-0.020052,0.020052
CTX.DE,2009-04-29,87.5,habitual_beater,0.0,0.034017,-0.034017,0.0,0.023973,-0.023973,0.0,0.021083,-0.021083,0.0,0.013793,-0.013793
CTX.DE,2009-07-22,87.76,habitual_beater,0.0,0.120042,-0.120042,0.0,0.039185,-0.039185,0.0,0.005416,-0.005416,0.0,0.024547,-0.024547
CTX.DE,2009-10-21,88.0,habitual_beater,0.0,0.034169,-0.034169,0.0,-0.003527,0.003527,0.0,0.003737,-0.003737,0.0,-0.012096,0.012096
CTX.DE,2010-01-27,88.24,habitual_beater,-0.001689,-0.053653,0.051964,-0.012861,-0.035603,0.022741,0.002715,-0.004539,0.007253,0.0,-0.018229,0.018229
CTX.DE,2010-04-21,88.46,habitual_beater,0.001284,0.001281,3e-06,-0.012109,-0.007648,-0.004461,0.0,-0.005404,0.005404,0.0,-0.009897,0.009897
CTX.DE,2010-07-28,86.79,habitual_beater,-0.004249,-0.004963,0.000714,0.0,0.031477,-0.031477,0.0,-0.00457,0.00457,0.0,-0.00716,0.00716
CTX.DE,2010-10-21,85.19,habitual_beater,0.0,0.053338,-0.053338,0.0,0.024126,-0.024126,0.0,0.013251,-0.013251,0.0,-0.000782,0.000782
CTX.DE,2011-01-26,85.45,habitual_beater,-0.09191,0.008286,-0.100196,-0.0436,0.006296,-0.049896,0.0,0.009681,-0.009681,0.0,0.003961,-0.003961
CTX.DE,2011-04-27,85.71,habitual_beater,-0.078819,0.027772,-0.10659,-0.078819,0.053808,-0.132627,0.0,0.006585,-0.006585,0.062156,0.00949,0.052666
GIB.DE,2011-06-29,0.0,mixed,-0.031792,0.025166,-0.056958,0.006006,0.002192,0.003815,0.010863,0.017253,-0.00639,0.02209,0.011256,0.010834
CTX.DE,2011-07-27,85.96,habitual_beater,0.0,-0.00209,0.00209,0.0,0.004337,-0.004337,0.0,-0.013167,0.013167,0.0,-0.008634,0.008634
GIB.DE,2011-09-29,16.67,mixed,-0.076364,0.023844,-0.100208,-0.063882,0.092051,-0.155933,-0.016139,0.010964,-0.027103,0.009186,-0.024392,0.033578
CTX.DE,2011-10-27,86.21,habitual_beater,0.0,0.071515,-0.071515,0.0,0.099083,-0.099083,0.0,0.053485,-0.053485,0.0,0.001318,-0.001318
GIB.DE,2011-12-30,14.29,mixed,0.056714,0.029269,0.027445,0.032484,0.007889,0.024595,0.01186,0.008475,0.003385,None,None,None
CTX.DE,2012-01-25,86.44,habitual_beater,0.0,0.043806,-0.043806,0.0,0.010588,-0.010588,0.0,0.00041,-0.00041,0.0,0.018375,-0.018375
GIB.DE,2012-03-30,25.0,mixed,0.022343,-0.029477,0.05182,0.037037,-0.006974,0.044011,0.018458,0.010426,0.008032,0.001066,0.015809,-0.014743
CTX.DE,2012-04-25,86.67,habitual_beater,0.0,0.00446,-0.00446,0.0,-0.004089,0.004089,0.0,0.017311,-0.017311,0.0,0.00528,-0.00528
GIB.DE,2012-06-29,33.33,mixed,-0.002407,0.029998,-0.032405,0.016683,0.024433,-0.00775,0.031359,0.043313,-0.011954,0.023166,0.012437,0.010729
CTX.DE,2012-07-25,86.89,habitual_beater,0.0,-0.007334,0.007334,0.0,-0.041574,0.041574,0.0,0.002521,-0.002521,0.0,0.027541,-0.027541
GIB.DE,2012-09-29,40.0,mixed,0.005372,-0.010395,0.015766,-0.006195,-0.011659,0.005464,0.013538,0.015324,-0.001786,0.01024,-0.002848,0.013089
CTX.DE,2012-10-24,87.1,habitual_beater,0.0,-0.001718,0.001718,0.0,-0.027277,0.027277,0.0,0.002671,-0.002671,0.0,0.001026,-0.001026
GIB.DE,2012-12-30,36.36,mixed,-0.021626,0.021536,-0.043162,-0.039324,0.014381,-0.053705,-0.005698,0.021858,-0.027556,-0.006549,-0.002872,-0.003677
CTX.DE,2013-01-30,87.3,habitual_beater,0.0,0.015626,-0.015626,0.0,0.013463,-0.013463,0.0,-0.004747,0.004747,0.0,-0.004514,0.004514
GIB.DE,2013-03-30,41.67,mixed,-0.058683,-0.012307,-0.046376,-0.004643,0.004111,-0.008754,-0.005063,0.019058,-0.024121,-0.007209,-0.008701,0.001492
CTX.DE,2013-04-24,87.5,habitual_beater,0.0,-0.006606,0.006606,0.0,0.03412,-0.03412,0.0,0.013165,-0.013165,0.0,0.009515,-0.009515
GIB.DE,2013-06-29,46.15,mixed,0.033723,-0.028215,0.061938,0.034188,0.03789,-0.003702,-0.023779,0.003103,-0.026882,0.013484,-0.009162,0.022646
CTX.DE,2013-07-24,86.15,habitual_beater,0.0,0.038757,-0.038757,0.0,0.015069,-0.015069,0.0,0.007803,-0.007803,0.0,-0.009563,0.009563
GIB.DE,2013-09-29,50.0,mixed,0.00902,-0.002159,0.011179,-0.018314,-0.004735,-0.013578,0.002728,-0.007748,0.010476,-0.00583,0.011023,-0.016853
CTX.DE,2013-10-23,86.36,habitual_beater,0.0,0.047339,-0.047339,0.0,0.00835,-0.00835,0.0,-0.003085,0.003085,0.0,0.006813,-0.006813
GIB.DE,2013-12-30,53.33,mixed,-0.044578,0.052335,-0.096913,0.0353,0.040342,-0.005042,0.030037,-0.003882,0.033919,-0.000897,-0.015925,0.015028
CTX.DE,2014-01-29,86.57,habitual_beater,0.0,-0.040794,0.040794,0.0,-0.039442,0.039442,0.0,-0.00746,0.00746,0.0,0.003936,-0.003936
CTX.DE,2014-04-23,86.76,habitual_beater,0.0,0.003506,-0.003506,0.0,0.021953,-0.021953,0.0,-0.005823,0.005823,0.0,0.00047,-0.00047
GIB.DE,2014-06-29,56.25,mixed,0.001375,-0.005151,0.006525,0.007956,-0.008855,0.016811,0.004481,0.001824,0.002657,0.009609,0.007052,0.002557
CTX.DE,2014-07-23,86.96,habitual_beater,0.0,-0.005571,0.005571,0.0,-0.010722,0.010722,0.0,0.001975,-0.001975,0.0,0.004152,-0.004152
CTX.DE,2014-10-22,87.14,habitual_beater,0.0,-0.006135,0.006135,0.0,0.042953,-0.042953,0.0,0.005984,-0.005984,0.0,0.011987,-0.011987
CTX.DE,2015-01-28,87.32,habitual_beater,0.0,0.091055,-0.091055,0.0,0.039978,-0.039978,0.0,0.007752,-0.007752,0.0,0.002511,-0.002511
CTX.DE,2015-04-22,87.5,habitual_beater,0.0,-0.013999,0.013999,0.0,-0.029757,0.029757,0.0,-0.006048,0.006048,0.0,-0.012116,0.012116
GIB.DE,2015-06-29,58.82,mixed,0.0,0.008942,-0.008942,0.0,-0.032922,0.032922,0.0,-0.035609,0.035609,0.0,-0.012472,0.012472
CTX.DE,2015-07-28,86.3,habitual_beater,0.0,-0.029781,0.029781,0.0,-0.03713,0.03713,0.0,0.010628,-0.010628,0.0,0.003395,-0.003395
CTX.DE,2015-10-21,86.49,habitual_beater,0.0,0.026849,-0.026849,0.0,0.032498,-0.032498,0.0,0.00891,-0.00891,0.0,0.024797,-0.024797
CTX.DE,2016-01-27,86.67,habitual_beater,0.0,-0.008045,0.008045,0.0,0.052087,-0.052087,0.0,0.005912,-0.005912,0.0,-0.024414,0.024414
CTX.DE,2016-04-20,86.84,habitual_beater,0.0,0.082787,-0.082787,0.0,0.039416,-0.039416,0.0,0.006928,-0.006928,0.0,0.001386,-0.001386
