rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,holdings
2000-01-01,2000-04-01,0.0,0.042551,0,CASH (0 passed)
2000-04-01,2000-07-01,0.0,-0.023904,0,CASH (0 passed)
2000-07-01,2000-10-01,0.0,-0.020853,0,CASH (0 passed)
2000-10-01,2001-01-01,0.0,-0.101791,0,CASH (0 passed)
2001-01-01,2001-04-01,0.0,-0.111017,0,CASH (0 passed)
2001-04-01,2001-07-01,0.0,0.090001,0,CASH (0 passed)
2001-07-01,2001-10-01,0.0,-0.156858,0,CASH (0 passed)
2001-10-01,2002-01-01,0.0,0.111773,0,CASH (0 passed)
2002-01-01,2002-04-01,0.0,-0.005489,0,CASH (0 passed)
2002-04-01,2002-07-01,0.0,-0.150087,0,CASH (0 passed)
2002-07-01,2002-10-01,0.0,-0.112607,0,CASH (0 passed)
2002-10-01,2003-01-01,0.0,0.067642,0,CASH (0 passed)
2003-01-01,2003-04-01,0.0,-0.051488,0,CASH (0 passed)
2003-04-01,2003-07-01,0.0,0.149454,0,CASH (0 passed)
2003-07-01,2003-10-01,0.0,0.040018,0,CASH (0 passed)
2003-10-01,2004-01-01,0.0,0.094648,0,CASH (0 passed)
2004-01-01,2004-04-01,0.0,0.026532,0,CASH (0 passed)
2004-04-01,2004-07-01,0.0,-0.003674,0,CASH (0 passed)
2004-07-01,2004-10-01,0.0,0.010403,0,CASH (0 passed)
2004-10-01,2005-01-01,0.0,0.066727,0,CASH (0 passed)
2005-01-01,2005-04-01,0.0,-0.020037,0,CASH (0 passed)
2005-04-01,2005-07-01,0.0,0.021942,0,CASH (0 passed)
2005-07-01,2005-10-01,0.0,0.030133,0,CASH (0 passed)
2005-10-01,2006-01-01,0.0,0.038844,0,CASH (0 passed)
2006-01-01,2006-04-01,0.0,0.028044,0,CASH (0 passed)
2006-04-01,2006-07-01,0.0,-0.010534,0,CASH (0 passed)
2006-07-01,2006-10-01,0.0,0.045837,0,CASH (0 passed)
2006-10-01,2007-01-01,0.0,0.06826,0,CASH (0 passed)
2007-01-01,2007-04-01,0.0,0.00953,0,CASH (0 passed)
2007-04-01,2007-07-01,0.0,0.072337,0,CASH (0 passed)
2007-07-01,2007-10-01,0.0,0.021405,0,CASH (0 passed)
2007-10-01,2008-01-01,0.0,-0.055792,0,CASH (0 passed)
2008-01-01,2008-04-01,0.0,-0.052652,0,CASH (0 passed)
2008-04-01,2008-07-01,0.0,-0.055578,0,CASH (0 passed)
2008-07-01,2008-10-01,0.0,-0.090743,0,CASH (0 passed)
2008-10-01,2009-01-01,0.0,-0.192512,0,CASH (0 passed)
2009-01-01,2009-04-01,0.0,-0.121837,0,CASH (0 passed)
2009-04-01,2009-07-01,0.0,0.14557,0,CASH (0 passed)
