rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,top_holdings
2000-01-01,2000-07-01,0.0,0.01763,0,CASH (0 passed)
2000-07-01,2001-01-01,0.0,-0.120522,0,CASH (0 passed)
2001-01-01,2001-07-01,0.0,-0.031007,0,CASH (0 passed)
2001-07-01,2002-01-01,0.0,-0.062618,0,CASH (0 passed)
2002-01-01,2002-07-01,0.0,-0.154752,0,CASH (0 passed)
2002-07-01,2003-01-01,0.0,-0.052582,0,CASH (1 passed)
2003-01-01,2003-07-01,0.0,0.090271,0,CASH (2 passed)
2003-07-01,2004-01-01,0.0,0.138454,0,CASH (1 passed)
2004-01-01,2004-07-01,0.0,0.022761,0,CASH (1 passed)
2004-07-01,2005-01-01,0.0,0.077825,0,CASH (2 passed)
2005-01-01,2005-07-01,0.0,0.001466,0,CASH (1 passed)
2005-07-01,2006-01-01,0.0,0.070148,0,CASH (0 passed)
2006-01-01,2006-07-01,0.0,0.017214,0,CASH (2 passed)
2006-07-01,2007-01-01,0.0,0.117225,0,CASH (3 passed)
2007-01-01,2007-07-01,0.0,0.082556,0,CASH (2 passed)
2007-07-01,2008-01-01,0.0,-0.035582,0,CASH (2 passed)
2008-01-01,2008-07-01,0.0,-0.105304,0,CASH (3 passed)
2008-07-01,2009-01-01,0.0,-0.265786,0,CASH (2 passed)
2009-01-01,2009-07-01,0.0,0.005997,0,CASH (0 passed)
2009-07-01,2010-01-01,0.0,0.239895,0,CASH (0 passed)
2010-01-01,2010-07-01,0.0,-0.085249,0,CASH (0 passed)
2010-07-01,2011-01-01,0.0,0.249583,0,CASH (2 passed)
2011-01-01,2011-07-01,0.0,0.063911,0,CASH (7 passed)
2011-07-01,2012-01-01,0.0,-0.03693,0,CASH (8 passed)
2012-01-01,2012-07-01,0.0,0.080897,0,CASH (7 passed)
2012-07-01,2013-01-01,0.0,0.083272,0,CASH (5 passed)
2013-01-01,2013-07-01,0.0,0.115605,0,CASH (4 passed)
2013-07-01,2014-01-01,0.0,0.145321,0,CASH (3 passed)
2014-01-01,2014-07-01,0.0,0.087064,0,CASH (3 passed)
2014-07-01,2015-01-01,0.0,0.05325,0,CASH (5 passed)
2015-01-01,2015-07-01,0.0,0.019522,0,CASH (3 passed)
2015-07-01,2016-01-01,0.0,-0.020352,0,CASH (3 passed)
2016-01-01,2016-07-01,0.0,0.055068,0,CASH (6 passed)
2016-07-01,2017-01-01,0.0,0.084808,0,CASH (6 passed)
2017-01-01,2017-07-01,0.0,0.085285,0,CASH (6 passed)
2017-07-01,2018-01-01,0.0,0.120842,0,CASH (4 passed)
2018-01-01,2018-07-01,0.0,0.020092,0,CASH (5 passed)
2018-07-01,2019-01-01,0.0,-0.070172,0,CASH (7 passed)
2019-01-01,2019-07-01,0.0,0.192768,0,CASH (4 passed)
2019-07-01,2020-01-01,0.0,0.109303,0,CASH (2 passed)
2020-01-01,2020-07-01,0.0,-0.034329,0,CASH (4 passed)
2020-07-01,2021-01-01,0.0,0.197482,0,CASH (4 passed)
2021-01-01,2021-07-01,0.0,0.17482,0,CASH (2 passed)
2021-07-01,2022-01-01,0.0,0.117299,0,CASH (7 passed)
2022-01-01,2022-07-01,-0.167186,-0.196002,9,FMG.AX,MIN.AX,DPM.AX,BHP.AX,BSL.AX,RIO.AX,GOR.AX,CIA.AX,RMS.AX,SFR.AX
2022-07-01,2023-01-01,0.224712,0.007602,8,FMG.AX,RIO.AX,MIN.AX,CSC.AX,BHP.AX,CRN.AX,BSL.AX,ILU.AX,RMS.AX,SFR.AX
2023-01-01,2023-07-01,0.0,0.174152,0,CASH (9 passed)
2023-07-01,2024-01-01,0.0,0.073117,0,CASH (7 passed)
2024-01-01,2024-07-01,0.0,0.161108,0,CASH (7 passed)
2024-07-01,2025-01-01,0.0,0.078974,0,CASH (9 passed)
