rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,holdings
2000-01-01,2000-04-01,0.0,0.042551,0,CASH (3 passed)
2000-04-01,2000-07-01,0.0,-0.023904,0,CASH (3 passed)
2000-07-01,2000-10-01,0.0,-0.020853,0,CASH (3 passed)
2000-10-01,2001-01-01,0.0,-0.101791,0,CASH (3 passed)
2001-01-01,2001-04-01,0.0,-0.111017,0,CASH (3 passed)
2001-04-01,2001-07-01,0.0,0.090001,0,CASH (3 passed)
2001-07-01,2001-10-01,0.0,-0.156858,0,CASH (3 passed)
2001-10-01,2002-01-01,0.0,0.111773,0,CASH (3 passed)
2002-01-01,2002-04-01,0.0,-0.005489,0,CASH (3 passed)
2002-04-01,2002-07-01,0.0,-0.150087,0,CASH (4 passed)
2002-07-01,2002-10-01,0.039893,-0.112607,3,TATACOMM.BO,AKZOINDIA.BO,BASF.BO,MTNL.BO,ABB.BO
2002-10-01,2003-01-01,0.081446,0.067642,3,TATACOMM.BO,AKZOINDIA.BO,BASF.BO,MTNL.BO,ABB.BO
2003-01-01,2003-04-01,-0.009767,-0.051488,3,TATACOMM.BO,AKZOINDIA.BO,BASF.BO,MTNL.BO,ABB.BO
2003-04-01,2003-07-01,0.326358,0.149454,3,TATACOMM.BO,AKZOINDIA.BO,ABB.BO,BASF.BO,MTNL.BO
2003-07-01,2003-10-01,0.257,0.040018,4,TATACOMM.BO,AKZOINDIA.BO,BASF.BO,ABB.BO,LT.BO
2003-10-01,2004-01-01,0.380326,0.094648,4,TATACOMM.BO,AKZOINDIA.BO,BASF.BO,ABB.BO,LT.BO
2004-01-01,2004-04-01,0.033386,0.026532,5,TATACOMM.BO,AKZOINDIA.BO,BASF.BO,ABB.BO,LT.BO
2004-04-01,2004-07-01,0.0,-0.003674,0,CASH (4 passed)
2004-07-01,2004-10-01,0.292883,0.010403,25,ADANIENT.BO,SHRIRAMFIN.BO,SCI.BO,PFC.BO,HINDPETRO.BO,FEDERALBNK.BO,BAJAJ-AUTO.BO,ALEMBICLTD.BO,AKZOINDIA.BO,ANDHRAPAP.BO,IOC.BO,TNPL.BO,WELCORP.BO,HEUBACHIND.BO,BBOX.BO,HINDOILEXP.BO,BPCL.BO,VOLTAS.BO,BASF.BO,CONCOR.BO,ZEEL.BO,BLUEDART.BO,APOLLOTYRE.BO,HINDALCO.BO,BEL.BO,ONGC.BO,HEROMOTOCO.BO,PGHH.BO,ITC.BO
2004-10-01,2005-01-01,0.298876,0.066727,26,ADANIENT.BO,SHRIRAMFIN.BO,SCI.BO,MASTEK.BO,PFC.BO,HINDPETRO.BO,FEDERALBNK.BO,BAJAJ-AUTO.BO,ALEMBICLTD.BO,AKZOINDIA.BO,ANDHRAPAP.BO,IOC.BO,TNPL.BO,WELCORP.BO,HEUBACHIND.BO,BBOX.BO,HINDOILEXP.BO,BPCL.BO,VOLTAS.BO,BASF.BO,HCLTECH.BO,HCL-INSYS.BO,CONCOR.BO,ZEEL.BO,BLUEDART.BO,APOLLOTYRE.BO,HINDALCO.BO,BEL.BO,ONGC.BO,HEROMOTOCO.BO
2005-01-01,2005-04-01,0.007609,-0.020037,26,ADANIENT.BO,SHRIRAMFIN.BO,SCI.BO,MASTEK.BO,PFC.BO,HINDPETRO.BO,FEDERALBNK.BO,BAJAJ-AUTO.BO,ALEMBICLTD.BO,AKZOINDIA.BO,ANDHRAPAP.BO,IOC.BO,TNPL.BO,WELCORP.BO,HEUBACHIND.BO,BBOX.BO,HINDOILEXP.BO,BPCL.BO,VOLTAS.BO,BASF.BO,HCLTECH.BO,HCL-INSYS.BO,CONCOR.BO,ZEEL.BO,BLUEDART.BO,APOLLOTYRE.BO,HINDALCO.BO,SIEMENS.BO,BEL.BO,ONGC.BO
2005-04-01,2005-07-01,0.116887,0.021942,26,ADANIENT.BO,SHRIRAMFIN.BO,SCI.BO,MASTEK.BO,TIMKEN.BO,PFC.BO,HINDPETRO.BO,FEDERALBNK.BO,BAJAJ-AUTO.BO,SEAMECLTD.BO,ALEMBICLTD.BO,AKZOINDIA.BO,ANDHRAPAP.BO,IOC.BO,TNPL.BO,WELCORP.BO,HEUBACHIND.BO,BBOX.BO,HINDOILEXP.BO,BPCL.BO,VOLTAS.BO,BASF.BO,HCLTECH.BO,HCL-INSYS.BO,CONCOR.BO,EPL.BO,ESABINDIA.BO,ZEEL.BO,BLUEDART.BO,FOSECOIND.BO
2005-07-01,2005-10-01,0.346636,0.030133,27,NOCIL.BO,GESHIP.BO,CGPOWER.BO,SCI.BO,KIRLOSIND.BO,SAIL.BO,POLYPLEX.BO,TATACHEM.BO,GNFC.BO,CUB.BO,MASTEK.BO,ADORWELD.BO,HINDPETRO.BO,NAVA.BO,TIMKEN.BO,PASUPTAC.BO,INFOMEDIA.BO,ANDHRAPAP.BO,RELIANCE.BO,SHRIRAMFIN.BO,BEML.BO,VEDL.BO,EIDPARRY.BO,TATAINVEST.BO,SEAMECLTD.BO,ALEMBICLTD.BO,GUJALKALI.BO,BAJAJ-AUTO.BO,BPCL.BO,MOTHERSON.BO
2005-10-01,2006-01-01,0.056062,0.038844,27,NOCIL.BO,GESHIP.BO,CGPOWER.BO,SCI.BO,KIRLOSIND.BO,MASTEK.BO,SAIL.BO,POLYPLEX.BO,TATACHEM.BO,GNFC.BO,CUB.BO,ADORWELD.BO,HINDPETRO.BO,NAVA.BO,TIMKEN.BO,PASUPTAC.BO,INFOMEDIA.BO,ANDHRAPAP.BO,RELIANCE.BO,SHRIRAMFIN.BO,BEML.BO,VEDL.BO,EIDPARRY.BO,TATAINVEST.BO,SEAMECLTD.BO,ALEMBICLTD.BO,GUJALKALI.BO,BAJAJ-AUTO.BO,BPCL.BO,MOTHERSON.BO
2006-01-01,2006-04-01,0.206682,0.028044,26,NOCIL.BO,GESHIP.BO,CGPOWER.BO,SCI.BO,KIRLOSIND.BO,MASTEK.BO,SAIL.BO,POLYPLEX.BO,TATACHEM.BO,GNFC.BO,CUB.BO,ADORWELD.BO,HINDPETRO.BO,NAVA.BO,TIMKEN.BO,PASUPTAC.BO,INFOMEDIA.BO,ANDHRAPAP.BO,RELIANCE.BO,SHRIRAMFIN.BO,BEML.BO,VEDL.BO,EIDPARRY.BO,TATAINVEST.BO,SEAMECLTD.BO,ALEMBICLTD.BO,GUJALKALI.BO,BAJAJ-AUTO.BO,BPCL.BO,MOTHERSON.BO
2006-04-01,2006-07-01,-0.169744,-0.010534,26,NOCIL.BO,GESHIP.BO,CGPOWER.BO,SCI.BO,KIRLOSIND.BO,MASTEK.BO,SAIL.BO,POLYPLEX.BO,TATACHEM.BO,GNFC.BO,CUB.BO,ADORWELD.BO,HINDPETRO.BO,NAVA.BO,TIMKEN.BO,PASUPTAC.BO,INFOMEDIA.BO,ANDHRAPAP.BO,RELIANCE.BO,SHRIRAMFIN.BO,BEML.BO,VEDL.BO,EIDPARRY.BO,TATAINVEST.BO,ALEMBICLTD.BO,GUJALKALI.BO,BAJAJ-AUTO.BO,BPCL.BO,MOTHERSON.BO,INDUSINDBK.BO
2006-07-01,2006-10-01,0.166948,0.045837,27,GFLLIMITED.BO,CGPOWER.BO,KOTHARIPRO.BO,KIRLOSIND.BO,IITL.BO,NAGREEKEXP.BO,PRAKASH.BO,MASTEK.BO,GESHIP.BO,KSL.BO,SCI.BO,EICHERMOT.BO,GSFC.BO,FACT.BO,HARRMALAYA.BO,GAEL.BO,POLYPLEX.BO,CUB.BO,TIMKEN.BO,JSWSTEEL.BO,GUJALKALI.BO,TATACHEM.BO,GNFC.BO,ALEMBICLTD.BO,NOCIL.BO,RANEHOLDIN.BO,FEDERALBNK.BO,MANALIPETC.BO,GANDHITUBE.BO,DCW.BO
2006-10-01,2007-01-01,0.051347,0.06826,27,GFLLIMITED.BO,CGPOWER.BO,KOTHARIPRO.BO,KIRLOSIND.BO,IITL.BO,NAGREEKEXP.BO,PRAKASH.BO,GESHIP.BO,KSL.BO,SCI.BO,EICHERMOT.BO,GSFC.BO,FACT.BO,HARRMALAYA.BO,GAEL.BO,MASTEK.BO,POLYPLEX.BO,CUB.BO,TIMKEN.BO,JSWSTEEL.BO,GUJALKALI.BO,TATACHEM.BO,GNFC.BO,ALEMBICLTD.BO,NOCIL.BO,RANEHOLDIN.BO,FEDERALBNK.BO,MANALIPETC.BO,GANDHITUBE.BO,DCW.BO
2007-01-01,2007-04-01,-0.118701,0.00953,28,GFLLIMITED.BO,CGPOWER.BO,KOTHARIPRO.BO,KIRLOSIND.BO,IITL.BO,NAGREEKEXP.BO,PRAKASH.BO,GESHIP.BO,KSL.BO,SCI.BO,EICHERMOT.BO,GSFC.BO,TRIVENI.BO,FACT.BO,DHAMPURSUG.BO,HARRMALAYA.BO,GAEL.BO,MASTEK.BO,POLYPLEX.BO,CUB.BO,TIMKEN.BO,JSWSTEEL.BO,GUJALKALI.BO,TATACHEM.BO,GNFC.BO,ALEMBICLTD.BO,NOCIL.BO,RANEHOLDIN.BO,FEDERALBNK.BO,MANALIPETC.BO
