rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,holdings
2000-01-01,2000-04-01,-0.14365,0.042551,10,1109.HK,1171.HK,1044.HK,1098.HK,0551.HK,0921.HK,0062.HK,0363.HK,1038.HK,1114.HK,0945.HK
2000-04-01,2000-07-01,0.102473,-0.023904,13,1109.HK,0001.HK,1171.HK,1052.HK,1098.HK,2356.HK,1045.HK,1114.HK,0551.HK,1044.HK,0857.HK,0921.HK,0062.HK,0945.HK,1038.HK,0696.HK,0966.HK
2000-07-01,2000-10-01,0.085134,-0.020853,17,1109.HK,0001.HK,1171.HK,1052.HK,1098.HK,0243.HK,2356.HK,1045.HK,1114.HK,0900.HK,0551.HK,1044.HK,0857.HK,0345.HK,0921.HK,0062.HK,0945.HK,1038.HK,0696.HK,0966.HK,0179.HK
2000-10-01,2001-01-01,-0.079519,-0.101791,18,1109.HK,0001.HK,1171.HK,1052.HK,1098.HK,0243.HK,2356.HK,1045.HK,1114.HK,0900.HK,0551.HK,1044.HK,0857.HK,0345.HK,0921.HK,0062.HK,0945.HK,1038.HK,0696.HK,0966.HK,0179.HK
2001-01-01,2001-04-01,0.040498,-0.111017,19,1109.HK,0001.HK,1171.HK,1052.HK,1098.HK,0243.HK,2356.HK,1045.HK,1114.HK,0900.HK,0551.HK,1044.HK,0857.HK,0345.HK,0921.HK,0062.HK,4336.HK,0945.HK,1038.HK,0696.HK,0966.HK,0179.HK
2001-04-01,2001-07-01,0.175034,0.090001,25,0099.HK,1109.HK,0522.HK,0747.HK,1171.HK,0857.HK,1098.HK,2600.HK,0243.HK,0135.HK,6030.HK,0900.HK,0551.HK,0001.HK,0386.HK,1044.HK,1114.HK,0345.HK,0902.HK,1038.HK,0553.HK,0165.HK,4336.HK,0293.HK,1070.HK,0383.HK,0696.HK,2356.HK,0418.HK,0179.HK
2001-07-01,2001-10-01,-0.291491,-0.156858,25,0099.HK,1109.HK,0243.HK,0522.HK,0747.HK,1171.HK,0857.HK,1098.HK,2600.HK,0135.HK,0900.HK,6030.HK,0551.HK,0001.HK,0386.HK,1044.HK,1114.HK,0902.HK,0345.HK,1038.HK,0553.HK,0018.HK,0165.HK,4336.HK,0293.HK,1070.HK,0383.HK,0696.HK,2356.HK,0418.HK
2001-10-01,2002-01-01,0.268295,0.111773,25,0097.HK,0099.HK,1109.HK,0243.HK,0522.HK,0747.HK,1171.HK,0857.HK,1098.HK,2600.HK,0135.HK,0900.HK,6030.HK,0551.HK,0001.HK,0386.HK,1044.HK,1114.HK,0902.HK,0345.HK,1038.HK,0553.HK,0018.HK,0165.HK,4336.HK,0293.HK,1070.HK,0383.HK,0696.HK,2356.HK
2002-01-01,2002-04-01,0.092744,-0.005489,26,0097.HK,0099.HK,1109.HK,0243.HK,0522.HK,0747.HK,1171.HK,0857.HK,1098.HK,2600.HK,0135.HK,0900.HK,6030.HK,0551.HK,0001.HK,0386.HK,1044.HK,1114.HK,0902.HK,0345.HK,1038.HK,0553.HK,0018.HK,0165.HK,0293.HK,1070.HK,0383.HK,0696.HK,2356.HK,0418.HK
2002-04-01,2002-07-01,0.012542,-0.150087,26,0097.HK,0034.HK,0243.HK,1109.HK,1171.HK,0715.HK,0900.HK,0857.HK,1114.HK,0551.HK,0135.HK,0604.HK,1052.HK,0386.HK,1199.HK,2600.HK,0393.HK,1065.HK,0062.HK,0902.HK,0345.HK,1044.HK,0392.HK,0018.HK,0747.HK,0002.HK,0888.HK,6030.HK,0769.HK,0553.HK
2002-07-01,2002-10-01,-0.161532,-0.112607,27,0097.HK,0034.HK,1109.HK,1171.HK,0715.HK,0857.HK,1114.HK,0551.HK,0900.HK,0135.HK,0604.HK,1052.HK,0386.HK,1199.HK,2600.HK,0393.HK,1065.HK,0018.HK,0062.HK,0902.HK,0450.HK,1044.HK,0392.HK,0332.HK,0747.HK,0002.HK,0888.HK,6030.HK,0321.HK,0341.HK
2002-10-01,2003-01-01,0.058036,0.067642,28,0034.HK,1109.HK,1171.HK,0715.HK,0857.HK,1114.HK,0551.HK,0900.HK,0135.HK,0604.HK,1052.HK,0386.HK,1199.HK,2600.HK,0393.HK,1065.HK,0018.HK,0062.HK,0902.HK,0450.HK,1044.HK,0392.HK,0332.HK,0747.HK,0002.HK,0888.HK,6030.HK,0321.HK,0341.HK,0769.HK
2003-01-01,2003-04-01,0.044666,-0.051488,28,0034.HK,1109.HK,1171.HK,0715.HK,0857.HK,0551.HK,1114.HK,0900.HK,0135.HK,0604.HK,1052.HK,0386.HK,1199.HK,2600.HK,0393.HK,1065.HK,0018.HK,0062.HK,0902.HK,0420.HK,0450.HK,1044.HK,0392.HK,0332.HK,0747.HK,0002.HK,0888.HK,6030.HK,0321.HK,0341.HK
2003-04-01,2003-07-01,0.220471,0.149454,29,0991.HK,1109.HK,1171.HK,0050.HK,0551.HK,0728.HK,0857.HK,0900.HK,0641.HK,1211.HK,0135.HK,1065.HK,0186.HK,0018.HK,2342.HK,0420.HK,0293.HK,1114.HK,0450.HK,0291.HK,0332.HK,0809.HK,1044.HK,1070.HK,0002.HK,0321.HK,2688.HK,1666.HK,0341.HK,0696.HK
2003-07-01,2003-10-01,0.223816,0.040018,29,0991.HK,1109.HK,1171.HK,0050.HK,0551.HK,0728.HK,0857.HK,0332.HK,0641.HK,1211.HK,0135.HK,1065.HK,0186.HK,2342.HK,0420.HK,0293.HK,1114.HK,0057.HK,0900.HK,0341.HK,0018.HK,0291.HK,0809.HK,1044.HK,1070.HK,0002.HK,0450.HK,2688.HK,1666.HK,0696.HK
2003-10-01,2004-01-01,0.240435,0.094648,30,0991.HK,1109.HK,1171.HK,0050.HK,0551.HK,0728.HK,0857.HK,0332.HK,0641.HK,1211.HK,0135.HK,1065.HK,0186.HK,2342.HK,0420.HK,0293.HK,1114.HK,0057.HK,0900.HK,0341.HK,0018.HK,0291.HK,0809.HK,1044.HK,1070.HK,0002.HK,0450.HK,2688.HK,1666.HK,0696.HK
2004-01-01,2004-04-01,0.05746,0.026532,30,0991.HK,1109.HK,1171.HK,0050.HK,0728.HK,0857.HK,1137.HK,0332.HK,0641.HK,1211.HK,0135.HK,1065.HK,0186.HK,2342.HK,0293.HK,1114.HK,0057.HK,0900.HK,0341.HK,0018.HK,0291.HK,0809.HK,1044.HK,1070.HK,0002.HK,0450.HK,2688.HK,1666.HK,0696.HK,1199.HK
2004-04-01,2004-07-01,-0.106559,-0.003674,28,1109.HK,0373.HK,0316.HK,1053.HK,1137.HK,0323.HK,0332.HK,1093.HK,0438.HK,1211.HK,0548.HK,0270.HK,0057.HK,0900.HK,1223.HK,0186.HK,0341.HK,0018.HK,2356.HK,0728.HK,0152.HK,1200.HK,0450.HK,2338.HK,1193.HK,1065.HK,0002.HK,0345.HK,2698.HK,0291.HK
2004-07-01,2004-10-01,0.098384,0.010403,29,1109.HK,0373.HK,0316.HK,1053.HK,1137.HK,0323.HK,0025.HK,1093.HK,0601.HK,0438.HK,1211.HK,0548.HK,0270.HK,0592.HK,1223.HK,0186.HK,2356.HK,0728.HK,0152.HK,1200.HK,0746.HK,2338.HK,0518.HK,1193.HK,0332.HK,1065.HK,0002.HK,2698.HK,0291.HK,0857.HK
2004-10-01,2005-01-01,0.072254,0.066727,29,1109.HK,0373.HK,0316.HK,1053.HK,1137.HK,0323.HK,0025.HK,1093.HK,0601.HK,0438.HK,1211.HK,0548.HK,0270.HK,0333.HK,0659.HK,0592.HK,1223.HK,0186.HK,2356.HK,0728.HK,0152.HK,0315.HK,1200.HK,0746.HK,2338.HK,0518.HK,1193.HK,0332.HK,1065.HK,0002.HK
2005-01-01,2005-04-01,0.038848,-0.020037,30,1109.HK,0373.HK,0316.HK,1053.HK,0323.HK,0025.HK,1093.HK,0601.HK,0438.HK,1211.HK,0548.HK,0270.HK,0333.HK,0659.HK,0592.HK,1223.HK,0186.HK,2356.HK,0728.HK,0152.HK,0315.HK,1200.HK,0746.HK,2338.HK,0518.HK,1193.HK,0332.HK,1065.HK,0002.HK,2698.HK
2005-04-01,2005-07-01,-0.048737,0.021942,27,0754.HK,0353.HK,0373.HK,0610.HK,0617.HK,2866.HK,0289.HK,0045.HK,0316.HK,0581.HK,0322.HK,1053.HK,0078.HK,2313.HK,0258.HK,0323.HK,2383.HK,1207.HK,0438.HK,0732.HK,0186.HK,0489.HK,0697.HK,1171.HK,0025.HK,1211.HK,0601.HK,1005.HK,0517.HK,0135.HK
2005-07-01,2005-10-01,0.083657,0.030133,27,0754.HK,0353.HK,0373.HK,0610.HK,0163.HK,0617.HK,2866.HK,0498.HK,0289.HK,0045.HK,0316.HK,0581.HK,1036.HK,0322.HK,1053.HK,0078.HK,2313.HK,0258.HK,0323.HK,2383.HK,0983.HK,1207.HK,0438.HK,0732.HK,0186.HK,0480.HK,0489.HK,0697.HK,1171.HK,1211.HK
2005-10-01,2006-01-01,-0.004911,0.038844,29,0754.HK,0097.HK,0353.HK,0373.HK,0610.HK,0163.HK,0010.HK,0617.HK,2866.HK,0498.HK,0289.HK,0045.HK,0316.HK,0581.HK,1036.HK,0322.HK,1053.HK,0078.HK,2313.HK,0258.HK,0323.HK,2383.HK,0659.HK,0101.HK,0983.HK,1207.HK,0438.HK,0732.HK,0012.HK,0186.HK
2006-01-01,2006-04-01,0.227007,0.028044,30,0754.HK,0097.HK,0353.HK,0373.HK,0610.HK,0163.HK,0010.HK,0617.HK,2866.HK,0498.HK,0289.HK,0045.HK,0316.HK,0581.HK,1036.HK,0322.HK,1053.HK,0078.HK,2313.HK,0258.HK,0323.HK,2383.HK,0659.HK,0101.HK,0983.HK,1207.HK,0438.HK,0732.HK,0012.HK,0186.HK
2006-04-01,2006-07-01,0.021247,-0.010534,28,0778.HK,0097.HK,0173.HK,0041.HK,0251.HK,0373.HK,0123.HK,1177.HK,0163.HK,0010.HK,0135.HK,0369.HK,0127.HK,0498.HK,0617.HK,0880.HK,0289.HK,0517.HK,2866.HK,0316.HK,0027.HK,0034.HK,1036.HK,0045.HK,0004.HK,0014.HK,3339.HK,0604.HK,0355.HK,1193.HK
2006-07-01,2006-10-01,0.067777,0.045837,28,0778.HK,0097.HK,0173.HK,0041.HK,0251.HK,0373.HK,0123.HK,1177.HK,0010.HK,0135.HK,0369.HK,0127.HK,0617.HK,0880.HK,0289.HK,0517.HK,2866.HK,0316.HK,0163.HK,1036.HK,0027.HK,0034.HK,0498.HK,0045.HK,0004.HK,0014.HK,3339.HK,0604.HK,0355.HK,1193.HK
2006-10-01,2007-01-01,0.09694,0.06826,28,0778.HK,0173.HK,0097.HK,0041.HK,0251.HK,0373.HK,0123.HK,1177.HK,0135.HK,0369.HK,0127.HK,0617.HK,0880.HK,0289.HK,0517.HK,2866.HK,0316.HK,0163.HK,1059.HK,1036.HK,0027.HK,0034.HK,0498.HK,0045.HK,0004.HK,0014.HK,3339.HK,0053.HK,0604.HK,0355.HK
