rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,top_holdings
2000-01-01,2000-07-01,0.0,0.01763,0,CASH (1 passed)
2000-07-01,2001-01-01,0.0,-0.120522,0,CASH (7 passed)
2001-01-01,2001-07-01,0.0,-0.031007,0,CASH (7 passed)
2001-07-01,2002-01-01,0.0,-0.062618,0,CASH (2 passed)
2002-01-01,2002-07-01,0.0,-0.154752,0,CASH (2 passed)
2002-07-01,2003-01-01,0.0,-0.052582,0,CASH (2 passed)
2003-01-01,2003-07-01,0.0,0.090271,0,CASH (2 passed)
2003-07-01,2004-01-01,0.0,0.138454,0,CASH (3 passed)
2004-01-01,2004-07-01,0.0,0.022761,0,CASH (3 passed)
2004-07-01,2005-01-01,0.0,0.077825,0,CASH (7 passed)
2005-01-01,2005-07-01,0.0,0.001466,0,CASH (7 passed)
2005-07-01,2006-01-01,0.0,0.070148,0,CASH (4 passed)
2006-01-01,2006-07-01,0.0,0.017214,0,CASH (4 passed)
2006-07-01,2007-01-01,0.0,0.117225,0,CASH (6 passed)
2007-01-01,2007-07-01,0.0,0.082556,0,CASH (6 passed)
2007-07-01,2008-01-01,0.0,-0.035582,0,CASH (5 passed)
2008-01-01,2008-07-01,0.0,-0.105304,0,CASH (5 passed)
2008-07-01,2009-01-01,0.0,-0.265786,0,CASH (4 passed)
2009-01-01,2009-07-01,0.0,0.005997,0,CASH (4 passed)
2009-07-01,2010-01-01,0.0,0.239895,0,CASH (9 passed)
2010-01-01,2010-07-01,0.0,-0.085249,0,CASH (9 passed)
2010-07-01,2011-01-01,0.0,0.249583,0,CASH (9 passed)
2011-01-01,2011-07-01,0.0,0.063911,0,CASH (9 passed)
2011-07-01,2012-01-01,-0.170625,-0.03693,8,002626.SZ,000780.SZ,300351.SZ,000550.SZ,200550.SZ,002621.SZ,002003.SZ,000999.SZ,000900.SZ,002726.SZ
2012-01-01,2012-07-01,0.127855,0.080897,12,002626.SZ,000780.SZ,300351.SZ,000550.SZ,200550.SZ,002621.SZ,002003.SZ,000999.SZ,000900.SZ,002726.SZ
2012-07-01,2013-01-01,-0.086307,0.083272,11,000603.SZ,002458.SZ,002675.SZ,000537.SZ,002728.SZ,002851.SZ,000858.SZ,000915.SZ,002357.SZ,300333.SZ
2013-01-01,2013-07-01,-0.037387,0.115605,12,000603.SZ,002458.SZ,002675.SZ,000537.SZ,002728.SZ,002851.SZ,000858.SZ,000915.SZ,002357.SZ,300333.SZ
2013-07-01,2014-01-01,0.160505,0.145321,11,000915.SZ,002759.SZ,002725.SZ,200771.SZ,300559.SZ,000568.SZ,300462.SZ,002653.SZ,000895.SZ,000537.SZ
2014-01-01,2014-07-01,-0.083859,0.087064,12,000915.SZ,002759.SZ,002725.SZ,200771.SZ,300559.SZ,000568.SZ,300462.SZ,002653.SZ,000895.SZ,000537.SZ
2014-07-01,2015-01-01,0.315202,0.05325,11,002829.SZ,300429.SZ,002773.SZ,000400.SZ,002701.SZ,002285.SZ,000726.SZ,200726.SZ,002718.SZ,002861.SZ
2015-01-01,2015-07-01,0.646551,0.019522,12,002829.SZ,300429.SZ,002773.SZ,000400.SZ,002701.SZ,002285.SZ,000726.SZ,200726.SZ,002718.SZ,002861.SZ
2015-07-01,2016-01-01,0.592075,-0.020352,10,002008.SZ,002191.SZ,002908.SZ,300482.SZ,000915.SZ,002158.SZ,002120.SZ,002875.SZ,003016.SZ,300501.SZ
2016-01-01,2016-07-01,-0.072335,0.055068,10,002008.SZ,002191.SZ,002908.SZ,300482.SZ,000915.SZ,002158.SZ,002120.SZ,002875.SZ,003016.SZ,300501.SZ
2016-07-01,2017-01-01,0.651547,0.084808,6,300535.SZ,300636.SZ,000895.SZ,300778.SZ,002304.SZ,002372.SZ,300596.SZ,002250.SZ,300803.SZ,300570.SZ
2017-01-01,2017-07-01,0.021438,0.085285,12,300535.SZ,300636.SZ,000895.SZ,300778.SZ,002304.SZ,002372.SZ,300596.SZ,002250.SZ,300803.SZ,300570.SZ
2017-07-01,2018-01-01,0.154246,0.120842,13,300707.SZ,002050.SZ,000568.SZ,300498.SZ,002960.SZ,002242.SZ,300633.SZ,002285.SZ,002952.SZ,300642.SZ
2018-01-01,2018-07-01,-0.02537,0.020092,20,300707.SZ,002050.SZ,000568.SZ,300498.SZ,002960.SZ,002242.SZ,300633.SZ,002285.SZ,002952.SZ,300642.SZ
2018-07-01,2019-01-01,-0.224509,-0.070172,11,002626.SZ,000786.SZ,002128.SZ,300740.SZ,002372.SZ,300753.SZ,000910.SZ,300755.SZ,300831.SZ,002935.SZ
2019-01-01,2019-07-01,0.225789,0.192768,13,002626.SZ,000786.SZ,002128.SZ,300740.SZ,002372.SZ,300753.SZ,000910.SZ,300755.SZ,300831.SZ,002935.SZ
2019-07-01,2020-01-01,0.193518,0.109303,24,002304.SZ,003023.SZ,000636.SZ,000708.SZ,002955.SZ,300821.SZ,300761.SZ,300121.SZ,002815.SZ,002001.SZ
2020-01-01,2020-07-01,0.117197,-0.034329,27,002304.SZ,003023.SZ,000636.SZ,000708.SZ,002955.SZ,300821.SZ,300761.SZ,300121.SZ,002815.SZ,002001.SZ
2020-07-01,2021-01-01,0.01783,0.197482,24,300498.SZ,002810.SZ,000029.SZ,002234.SZ,003021.SZ,002982.SZ,300632.SZ,002983.SZ,002818.SZ,300697.SZ
2021-01-01,2021-07-01,-0.085439,0.17482,28,300498.SZ,002810.SZ,000029.SZ,002234.SZ,003021.SZ,002982.SZ,300632.SZ,002983.SZ,002818.SZ,300697.SZ
2021-07-01,2022-01-01,0.122499,0.117299,28,300981.SZ,002030.SZ,000955.SZ,002838.SZ,002950.SZ,300246.SZ,300888.SZ,002022.SZ,002626.SZ,002247.SZ
2022-01-01,2022-07-01,-0.169385,-0.196002,29,300981.SZ,002030.SZ,000955.SZ,002838.SZ,002950.SZ,300246.SZ,300888.SZ,002022.SZ,002626.SZ,002247.SZ
2022-07-01,2023-01-01,-0.053174,0.007602,17,002737.SZ,000822.SZ,000731.SZ,000923.SZ,300463.SZ,002258.SZ,002636.SZ,000915.SZ,300196.SZ,002430.SZ
2023-01-01,2023-07-01,-0.025727,0.174152,17,002737.SZ,000822.SZ,000731.SZ,000923.SZ,300463.SZ,002258.SZ,002636.SZ,000915.SZ,300196.SZ,002430.SZ
2023-07-01,2024-01-01,-0.118821,0.073117,26,000792.SZ,002011.SZ,300586.SZ,002756.SZ,300363.SZ,000663.SZ,002597.SZ,000014.SZ,003019.SZ,300801.SZ
2024-01-01,2024-07-01,-0.031433,0.161108,26,000792.SZ,002011.SZ,300586.SZ,002756.SZ,300363.SZ,000663.SZ,002597.SZ,000014.SZ,003019.SZ,300801.SZ
2024-07-01,2025-01-01,0.140329,0.078974,28,002270.SZ,000786.SZ,300795.SZ,002517.SZ,002027.SZ,000858.SZ,300882.SZ,002749.SZ,002959.SZ,002154.SZ
