strategy,exchange,new_cagr,blog_cagr,cagr_delta,new_sharpe,blog_sharpe,sharpe_delta,new_maxdd,blog_maxdd,excess_cagr,osc_rows_removed,osc_symbols,flag,status,error
52-week-high,us,12.37,12.55,-0.18,0.534,0.543,-0.009,38.84,38.4,4.36,0,0,,ok,
52-week-low,us,,,,,,,,,,,,,parse_fail,
altman-z,us,,,,,,,,,,,,,parse_fail,
analyst-revision,us,,,,,,,,,,,,,parse_fail,
asset-growth,us,12.93,12.78,0.15,0.687,0.697,-0.01,29.4,28.25,5.08,0,0,,ok,
asset-light,us,,,,,,,,,,,,,parse_fail,
beat-streaks,us,,,,,,,,,,,,,parse_fail,
capex-efficiency,us,10.57,,,0.474,,,25.8,25.79,2.72,0,0,,ok,
cash-conversion,us,,,,,,,,,,,,,parse_fail,
cyclical-timing,us,8.93,,,0.334,,,34.67,,0.01,0,0,,ok,
dcf-discount,us,7.68,8.59,-0.91,0.193,0.229,-0.036,61.66,55.75,0.35,0,0,FLAG,ok,
dcf-threshold,us,10.83,11.25,-0.42,0.503,0.528,-0.025,39.26,40.13,3.19,0,0,WARN,ok,
defensive-quality,us,10.84,,,0.712,,,18.01,,2.99,0,0,,ok,
deleveraging,us,8.55,4.07,4.48,0.297,0.091,0.206,53.11,54.65,0.53,0,0,FLAG,ok,
dividend-coverage,us,11.73,,,0.42,,,44.24,,3.88,0,0,,ok,
dividend-growth,us,8.0,,,0.436,,,35.82,,0.15,0,0,,ok,
dividend-sustainability,us,10.61,,,0.46,,,33.86,,2.76,0,0,,ok,
dogs-of-dow,us,10.22,10.2,0.02,0.693,0.698,-0.005,19.69,19.5,2.58,0,0,,ok,
earnings-consistency,us,11.58,11.61,-0.03,0.574,0.578,-0.004,24.38,24.4,3.73,0,0,,ok,
earnings-surprise,us,,,,,,,,,,,,,parse_fail,
earnings-yield,us,8.3,8.38,-0.08,0.3,0.301,-0.001,52.48,52.3,0.28,0,0,,ok,
equity-growth,us,6.54,5.68,0.86,0.223,0.179,0.044,39.16,39.9,-1.31,0,0,FLAG,ok,
etf-concentration,us,1.82,,,,,,41.37,,-8.77,0,0,,ok,
etf-crowding,us,5.92,,,0.201,,,33.94,,-4.67,0,0,,ok,
etf-rebalancing,us,7.43,,,0.231,,,35.02,,-3.16,0,0,,ok,
etf-underowned,us,0.85,,,,,,32.03,,-9.74,0,0,,ok,
ev-ebitda,us,10.43,12.51,-2.08,0.401,,,35.92,,2.78,0,0,FLAG,ok,
ev-ebitda-relative,us,12.44,12.51,-0.07,0.481,,,33.27,,4.8,0,0,,ok,
event-index-recon,us,,,,,,,,,,,,,parse_fail,
fcf-compounders,us,12.5,,,0.646,,,30.92,,4.65,0,0,,ok,
fcf-conversion,us,9.77,,,0.386,,,40.66,,1.92,0,0,,ok,
fcf-growth,us,6.76,6.29,0.47,0.253,0.234,0.019,31.8,32.01,-1.09,0,0,WARN,ok,
fcf-yield,us,10.89,10.7,0.19,0.385,0.375,0.01,49.97,50.1,3.04,0,0,,ok,
gap-up-scalp,us,,,,,,,,,,,,,parse_fail,
garp,us,,,,,,,,,,,,,parse_fail,
graham-net-net,us,,,,,,,,,,,,,parse_fail,
graham-number,us,,,,,,,,,,,,,parse_fail,
graham-timing,us,,,,,,,,,,,,,parse_fail,
high-yield,us,,,,,,,,,,,,,parse_fail,
