symbol,event_date,t0_date,entry_date,category,description,ar_1,stock_ret_1,spy_ret_1,ar_5,stock_ret_5,spy_ret_5,ar_21,stock_ret_21,spy_ret_21,ar_63,stock_ret_63,spy_ret_63,ar_126,stock_ret_126,spy_ret_126,ar_252,stock_ret_252,spy_ret_252
MSI,2011-01-04,2011-01-04,2011-01-05,parent,Motorola Solutions / Motorola Mobility,0.0,0.0,0.0,-3.4858,-3.6492,-0.1634,-5.0858,-2.6248,2.4609,6.0433,10.8835,4.8402,7.7574,13.7004,5.943,15.4292,17.5736,2.1444
TRIP,2011-12-21,2011-12-21,2011-12-22,child,Expedia / TripAdvisor,0.0,0.0,0.0,0.4994,1.1822,0.6828,20.1697,25.1121,4.9424,23.6661,35.6298,11.9637,78.048,85.6094,7.5614,56.086,72.2381,16.152
EXPE,2011-12-21,2011-12-21,2011-12-22,parent,Expedia / TripAdvisor,0.0,0.0,0.0,-0.0453,0.6374,0.6828,2.7816,7.724,4.9424,5.4716,17.4353,11.9637,57.9429,65.5043,7.5614,91.9469,108.099,16.152
PSX,2012-05-01,2012-05-01,2012-05-02,child,ConocoPhillips / Phillips 66,0.0,0.0,0.0,-3.2971,-5.9783,-2.6812,0.1285,-6.1759,-6.3043,19.4326,18.083,-1.3496,47.1599,48.9625,1.8025,79.7686,97.332,17.5634
COP,2012-05-01,2012-05-01,2012-05-02,parent,ConocoPhillips / Phillips 66,0.0,0.0,0.0,2.1528,-0.5283,-2.6812,3.0757,-3.2286,-6.3043,3.5216,2.172,-1.3496,8.0302,9.8327,1.8025,1.3389,18.9023,17.5634
MPLX,2012-10-31,2012-10-31,2012-11-01,child,Marathon Petroleum / MPLX LP,0.0,0.0,0.0,4.1494,1.9743,-2.1751,8.5703,8.0948,-0.4755,27.3189,33.9585,6.6397,28.551,42.843,14.292,16.1797,41.9546,25.7749
MPC,2012-10-31,2012-10-31,2012-11-01,parent,Marathon Petroleum / MPLX LP,0.0,0.0,0.0,4.7838,2.6087,-2.1751,11.3451,10.8696,-0.4755,35.2625,41.9022,6.6397,31.7406,46.0326,14.292,9.6599,35.4348,25.7749
ABBV,2013-01-02,2013-01-02,2013-01-03,child,Abbott Labs / AbbVie,0.0,0.0,0.0,-2.7843,-2.6557,0.1285,4.2362,8.0155,3.7792,13.4295,20.8595,7.4299,12.1041,23.8532,11.7491,27.1818,55.239,28.0572
ABT,2013-01-02,2013-01-02,2013-01-03,parent,Abbott Labs / AbbVie,0.0,0.0,0.0,0.7568,0.8853,0.1285,-1.5468,2.2325,3.7792,3.1936,10.6236,7.4299,-8.0154,3.7336,11.7491,-11.2751,16.7821,28.0572
ZTS,2013-02-01,2013-02-01,2013-02-04,child,Pfizer / Zoetis,0.0,0.0,0.0,5.0125,6.5241,1.5116,7.3434,10.5169,3.1735,-1.1205,7.2727,8.3932,-15.2908,0.1426,15.4334,-20.1075,-1.2834,18.8241
PFE,2013-02-01,2013-02-01,2013-02-04,parent,Pfizer / Zoetis,0.0,0.0,0.0,-2.5733,-1.0617,1.5116,0.1443,3.3179,3.1735,-1.8238,6.5693,8.3932,-5.4799,9.9536,15.4334,-3.2966,15.5275,18.8241
SYF,2014-07-31,2014-07-31,2014-08-01,child,GE Capital / Synchrony Financial,0.0,0.0,0.0,0.4901,-0.2723,-0.7624,7.8801,12.146,4.2659,14.0328,17.4292,3.3963,29.5356,34.2048,4.6692,37.8949,49.4009,11.506
GE,2014-07-31,2014-07-31,2014-08-01,parent,GE Capital / Synchrony Financial,0.0,0.0,0.0,1.3513,0.5888,-0.7624,-1.7831,2.4828,4.2659,-1.3159,2.0805,3.3963,-8.7418,-4.0726,4.6692,-4.8524,6.6536,11.506
CDK,2014-10-01,2014-10-01,2014-10-02,child,ADP / CDK Global,0.0,0.0,0.0,-9.3463,-8.1848,1.1615,5.1843,7.7558,2.5714,28.1923,34.5215,6.3292,43.558,50.8251,7.2671,57.6103,58.4488,0.8385
ADP,2014-10-01,2014-10-01,2014-10-02,parent,ADP / CDK Global,0.0,0.0,0.0,1.9728,3.1343,1.1615,6.3237,8.8951,2.5714,9.3248,15.654,6.3292,12.6068,19.8739,7.2671,13.4147,14.2532,0.8385
PYPL,2015-07-20,2015-07-20,2015-07-21,child,eBay / PayPal,0.0,0.0,0.0,-5.1714,-7.514,-2.3426,-2.6271,-3.4641,-0.837,-9.3575,-12.863,-3.5054,-7.9649,-18.161,-10.1961,-4.2578,0.0509,4.3087
EBAY,2015-07-20,2015-07-20,2015-07-21,parent,eBay / PayPal,0.0,0.0,0.0,0.2216,-2.121,-2.3426,-2.0695,-2.9065,-0.837,-10.6737,-14.1791,-3.5054,0.2982,-9.8979,-10.1961,-11.6536,-7.3449,4.3087
HPE,2015-11-02,2015-11-02,2015-11-03,child,HP Inc / HP Enterprise,0.0,0.0,0.0,0.2829,-1.1024,-1.3853,5.2667,4.0945,-1.1722,2.1856,-6.6142,-8.7998,13.409,11.6535,-1.7555,53.5887,55.748,2.1593
HPQ,2015-11-02,2015-11-02,2015-11-03,parent,HP Inc / HP Enterprise,0.0,0.0,0.0,-1.533,-2.9183,-1.3853,-15.1702,-16.3424,-1.1722,-23.0096,-31.8093,-8.7998,-15.3652,-17.1206,-1.7555,2.3154,4.4747,2.1593
YUMC,2016-11-01,2016-11-01,2016-11-02,child,Yum Brands / Yum China,0.0,0.0,0.0,-2.0823,0.0,2.0823,1.5559,6.2397,4.6838,-2.0863,7.1488,9.235,14.7452,29.7521,15.0069,24.7886,50.0413,25.2527
YUM,2016-11-01,2016-11-01,2016-11-02,parent,Yum Brands / Yum China,0.0,0.0,0.0,1.7828,3.8651,2.0823,0.3251,5.0089,4.6838,1.2757,10.5107,9.235,1.617,16.6239,15.0069,0.896,26.1487,25.2527
CNDT,2017-01-03,2017-01-03,2017-01-04,child,Xerox / Conduent,0.0,0.0,0.0,-1.9879,-2.0438,-0.0559,5.3889,5.9124,0.5235,14.5967,18.9781,4.3814,9.0156,17.1533,8.1376,-3.0754,18.6131,21.6885
XRX,2017-01-03,2017-01-03,2017-01-04,parent,Xerox / Conduent,0.0,0.0,0.0,-1.6446,-1.7005,-0.0559,-0.2493,0.2743,0.5235,-2.6809,1.7005,4.3814,-6.9308,1.2068,8.1376,-15.6545,6.034,21.6885
BHF,2017-08-07,2017-08-07,2017-08-08,child,MetLife / Brighthouse Financial,0.0,0.0,0.0,1.0992,0.8084,-0.2908,-6.3947,-6.5378,-0.1431,-3.4274,1.6169,5.0443,-6.6415,3.304,9.9455,-41.1899,-23.5325,17.6574
MET,2017-08-07,2017-08-07,2017-08-08,parent,MetLife / Brighthouse Financial,0.0,0.0,0.0,-2.1304,-2.4211,-0.2908,-1.5163,-1.6594,-0.1431,7.7957,12.84,5.0443,-13.7268,-3.7813,9.9455,-19.9425,-2.2851,17.6574
NVT,2018-04-30,2018-04-30,2018-05-01,child,Pentair / nVent Electric,0.0,0.0,0.0,10.778,11.5126,0.7346,14.7254,17.6045,2.8791,12.3545,18.4822,6.1276,5.6194,6.6598,1.0404,13.5493,25.8131,12.2638
