symbol,event_date,split_ratio,category,window,stock_ret_pct,bench_ret_pct,car_pct
AVTA,2000-01-05,2.0,2-for-1,-5,6.4136,4.8728,1.5408
AVTA,2000-01-05,2.0,2-for-1,1,0.0,0.0,0.0
AVTA,2000-01-05,2.0,2-for-1,5,20.3366,3.8607,16.4759
AVTA,2000-01-05,2.0,2-for-1,21,68.4432,3.516,64.9272
AVTA,2000-01-05,2.0,2-for-1,63,17.9523,8.5832,9.3691
AVTA,2000-01-05,2.0,2-for-1,126,26.3675,6.3312,20.0363
AVTA,2000-01-05,2.0,2-for-1,252,-79.9439,-2.0338,-77.9101
SIFY,2000-01-10,4.0,4-for-1,-5,-0.2491,-0.5519,0.3029
SIFY,2000-01-10,4.0,4-for-1,1,0.0,0.0,0.0
SIFY,2000-01-10,4.0,4-for-1,5,-4.9181,0.8981,-5.8162
SIFY,2000-01-10,4.0,4-for-1,21,28.4159,-2.2344,30.6503
SIFY,2000-01-10,4.0,4-for-1,63,16.3936,4.655,11.7386
SIFY,2000-01-10,4.0,4-for-1,126,-54.7811,3.023,-57.8041
SIFY,2000-01-10,4.0,4-for-1,252,-90.8471,-9.2004,-81.6466
STCN,2000-01-12,2.0,2-for-1,-5,15.0407,-2.1463,17.1869
STCN,2000-01-12,2.0,2-for-1,1,0.0,0.0,0.0
STCN,2000-01-12,2.0,2-for-1,5,-7.081,-0.1747,-6.9063
STCN,2000-01-12,2.0,2-for-1,21,-13.632,-4.3554,-9.2766
STCN,2000-01-12,2.0,2-for-1,63,-45.7129,1.1462,-46.8591
STCN,2000-01-12,2.0,2-for-1,126,-64.7881,3.8096,-68.5977
STCN,2000-01-12,2.0,2-for-1,252,-96.0019,-7.8376,-88.1643
COST,2000-01-14,2.0,2-for-1,-5,-5.135,-0.8292,-4.3058
COST,2000-01-14,2.0,2-for-1,1,0.0,0.0,0.0
COST,2000-01-14,2.0,2-for-1,5,-8.2865,-3.7451,-4.5414
COST,2000-01-14,2.0,2-for-1,21,-3.6236,-3.2458,-0.3778
COST,2000-01-14,2.0,2-for-1,63,-0.7022,-6.4915,5.7893
