symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
DRREDDY.NS,2021-10-01,2,-1,upgrade_small,0.017525,-0.004806,0.022331,-0.021515,0.002403,-0.023918,-0.031153,0.005898,-0.037051,-0.009856,-0.007864,-0.001992
CIPLA.NS,2021-10-01,2,-2,upgrade_small,-0.029105,-0.004806,-0.0243,-0.070073,0.002403,-0.072476,-0.07803,0.005898,-0.083927,-0.042695,-0.007864,-0.034831
COLPAL.NS,2021-10-01,-2,2,downgrade_cluster,-0.003053,-0.004806,0.001752,-9.2e-05,0.002403,-0.002495,-0.083893,0.005898,-0.089791,-0.1114,-0.007864,-0.103536
CONCOR.NS,2021-10-01,2,0,upgrade_small,0.005107,-0.004806,0.009912,-0.026225,0.002403,-0.028628,-0.051817,0.005898,-0.057715,-0.119857,-0.007864,-0.111993
QUESS.NS,2021-10-01,2,0,upgrade_small,0.026572,-0.004806,0.031377,0.005947,0.002403,0.003544,-0.039204,0.005898,-0.045101,-0.069415,-0.007864,-0.061551
ITC.NS,2021-10-01,2,-1,upgrade_small,0.005277,-0.004806,0.010083,-0.015519,0.002403,-0.017922,-0.036158,0.005898,-0.042056,-0.073519,-0.007864,-0.065655
NCC.NS,2021-10-01,2,0,upgrade_small,0.013377,-0.004806,0.018182,0.016364,0.002403,0.013961,-0.125195,0.005898,-0.131093,-0.141039,-0.007864,-0.133175
PIIND.NS,2022-05-01,18,1,upgrade_large,-0.031018,0.00115,-0.032167,-0.10658,-0.057484,-0.049095,-0.046786,-0.055875,0.009089,0.062081,-0.013796,0.075878
PRAJIND.NS,2022-05-01,2,1,upgrade_small,-0.047107,0.00115,-0.048257,-0.088407,-0.057484,-0.030922,-0.160674,-0.055875,-0.104799,-0.01596,-0.013796,-0.002163
SUNTV.NS,2022-05-01,19,1,upgrade_large,-0.043428,0.00115,-0.044577,-0.071893,-0.057484,-0.014409,-0.080305,-0.055875,-0.02443,-0.02223,-0.013796,-0.008433
RALLIS.NS,2022-05-01,9,3,upgrade_large,-0.014103,0.00115,-0.015252,-0.061174,-0.057484,-0.003689,-0.112406,-0.055875,-0.056531,-0.032598,-0.013796,-0.018802
DCBBANK.NS,2022-05-01,9,2,upgrade_large,-0.00807,0.00115,-0.009219,0.010022,-0.057484,0.067507,0.048679,-0.055875,0.104554,0.074971,-0.013796,0.088767
SUBROS.NS,2022-05-01,2,0,upgrade_small,0.000906,0.00115,-0.000244,-0.039458,-0.057484,0.018027,-0.091625,-0.055875,-0.03575,-0.014008,-0.013796,-0.000212
CEATLTD.NS,2022-05-01,15,0,upgrade_large,-0.034259,0.00115,-0.035409,-0.019907,-0.057484,0.037577,-0.099345,-0.055875,-0.04347,0.184365,-0.013796,0.198161
SYNGENE.NS,2022-05-01,2,2,upgrade_small,-0.015883,0.00115,-0.017033,-0.088607,-0.057484,-0.031123,-0.118116,-0.055875,-0.062241,-0.089241,-0.013796,-0.075444
TCS.NS,2022-05-01,12,12,upgrade_large,-0.017686,0.00115,-0.018835,-0.027466,-0.057484,0.030018,-0.04647,-0.055875,0.009405,-0.062017,-0.013796,-0.048221
APLLTD.NS,2022-05-01,9,1,upgrade_large,-0.067052,0.00115,-0.068202,-0.077548,-0.057484,-0.020063,-0.081548,-0.055875,-0.025673,-0.110156,-0.013796,-0.09636
VGUARD.NS,2022-05-01,8,4,upgrade_large,-0.013407,0.00115,-0.014556,-0.02317,-0.057484,0.034315,0.11959,-0.055875,0.175465,0.155244,-0.013796,0.16904
BRIGADE.NS,2022-05-01,6,0,upgrade_large,-0.020062,0.00115,-0.021212,-0.08016,-0.057484,-0.022675,0.003059,-0.055875,0.058934,0.060541,-0.013796,0.074337
TECHM.NS,2022-05-01,25,7,upgrade_large,-0.014945,0.00115,-0.016095,0.024327,-0.057484,0.081812,-0.068715,-0.055875,-0.01284,-0.136525,-0.013796,-0.122729
BSE.NS,2022-05-01,5,0,upgrade_large,1.825268,0.00115,1.824118,-0.126658,-0.057484,-0.069173,-0.161576,-0.055875,-0.105701,-0.190886,-0.013796,-0.17709
TITAN.NS,2022-05-01,18,4,upgrade_large,-0.040477,0.00115,-0.041626,-0.085207,-0.057484,-0.027722,-0.079172,-0.055875,-0.023297,-0.000668,-0.013796,0.013128
DRREDDY.NS,2022-05-01,10,14,upgrade_large,-0.005555,0.00115,-0.006704,-0.052881,-0.057484,0.004603,0.047314,-0.055875,0.103189,-0.002541,-0.013796,0.011256
INFY.NS,2022-05-01,21,9,upgrade_large,-0.003538,0.00115,-0.004687,0.019048,-0.057484,0.076532,-0.030358,-0.055875,0.025517,0.012296,-0.013796,0.026092
ESCORTS.NS,2022-05-01,5,0,upgrade_large,0.000298,0.00115,-0.000852,-0.012305,-0.057484,0.04518,0.011411,-0.055875,0.067286,0.040787,-0.013796,0.054583
ACC.NS,2022-05-01,15,8,upgrade_large,-0.016113,0.00115,-0.017263,-0.048696,-0.057484,0.008788,-0.064481,-0.055875,-0.008607,-0.050934,-0.013796,-0.037138
FORTIS.NS,2022-05-01,13,0,upgrade_large,-0.017035,0.00115,-0.018185,-0.068902,-0.057484,-0.011418,-0.077058,-0.055875,-0.021183,0.018026,-0.013796,0.031822
