symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
0857.HK,2019-05-01,2,0,upgrade_small,-0.048544,0.013596,-0.06214,-0.087379,-0.01594,-0.071439,-0.148867,-0.065166,-0.083701,-0.171521,-0.040788,-0.130733
0019.HK,2022-05-01,1,3,downgrade_cluster,0.0,0.01606,-0.01606,-0.02105,-0.038009,0.016959,0.078071,0.035332,0.042739,-0.035705,-0.011242,-0.024463
2388.HK,2022-05-01,12,2,upgrade_large,0.0,0.01606,-0.01606,-0.023493,-0.038009,0.014516,0.011355,0.035332,-0.023977,-0.071652,-0.011242,-0.06041
0405.HK,2022-05-01,9,1,upgrade_large,0.0,0.01606,-0.01606,-0.016327,-0.038009,0.021682,-0.008163,0.035332,-0.043495,-0.044898,-0.011242,-0.033656
3669.HK,2022-05-01,12,0,upgrade_large,0.0,0.01606,-0.01606,-0.1,-0.038009,-0.061991,0.172222,0.035332,0.13689,-0.040741,-0.011242,-0.029499
6068.HK,2022-05-01,13,0,upgrade_large,0.0,0.01606,-0.01606,0.070195,-0.038009,0.108203,-0.319303,0.035332,-0.354634,-0.245621,-0.011242,-0.234379
6886.HK,2022-05-01,15,0,upgrade_large,0.0,0.01606,-0.01606,-0.042705,-0.038009,-0.004696,0.043891,0.035332,0.008559,0.010676,-0.011242,0.021918
0551.HK,2022-05-01,5,1,upgrade_large,0.0,0.01606,-0.01606,-0.075061,-0.038009,-0.037052,0.002421,0.035332,-0.032911,-0.118644,-0.011242,-0.107402
0636.HK,2022-05-01,13,0,upgrade_large,0.0,0.01606,-0.01606,-0.057747,-0.038009,-0.019739,-0.008576,0.035332,-0.043908,-0.154946,-0.011242,-0.143704
3600.HK,2022-05-01,2,0,upgrade_small,0.0,0.01606,-0.01606,-0.132,-0.038009,-0.093991,0.104,0.035332,0.068668,-0.196,-0.011242,-0.184758
2282.HK,2022-05-01,8,0,upgrade_large,-0.018648,0.01606,-0.034708,-0.11655,-0.038009,-0.078542,-0.16317,0.035332,-0.198502,-0.132867,-0.011242,-0.121625
2199.HK,2022-05-01,5,0,upgrade_large,0.0,0.01606,-0.01606,-0.067416,-0.038009,-0.029407,-0.121348,0.035332,-0.15668,-0.008989,-0.011242,0.002253
1299.HK,2022-05-01,17,2,upgrade_large,-0.00702,0.01606,-0.023079,-0.057279,-0.038009,-0.019271,0.046188,0.035332,0.010856,-0.028218,-0.011242,-0.016976
0817.HK,2022-05-01,14,1,upgrade_large,0.0,0.01606,-0.01606,-0.109649,-0.038009,-0.071641,-0.20614,0.035332,-0.241472,-0.355263,-0.011242,-0.344021
0371.HK,2022-05-01,23,0,upgrade_large,0.0,0.01606,-0.01606,-0.066667,-0.038009,-0.028658,-0.004762,0.035332,-0.040094,-0.12381,-0.011242,-0.112568
0883.HK,2022-05-01,19,1,upgrade_large,-0.031788,0.01606,-0.047848,-0.051656,-0.038009,-0.013647,0.063576,0.035332,0.028244,-0.059603,-0.011242,-0.048361
0327.HK,2022-05-01,5,1,upgrade_large,-0.04,0.01606,-0.05606,-0.064762,-0.038009,-0.026753,-0.087619,0.035332,-0.122951,0.024762,-0.011242,0.036004
0392.HK,2022-05-01,12,2,upgrade_large,0.0,0.01606,-0.01606,-0.04637,-0.038009,-0.008361,0.02623,0.035332,-0.009102,-0.065574,-0.011242,-0.054332
0546.HK,2022-05-01,5,0,upgrade_large,0.0,0.01606,-0.01606,-0.028571,-0.038009,0.009437,-0.057143,0.035332,-0.092475,0.125,-0.011242,0.136242
