symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
8331.T,2021-10-01,2,0,upgrade_small,0.013949,-0.027791,0.04174,0.036265,-0.029643,0.065909,0.009766,-0.007256,0.017023,None,None,None
6301.T,2021-10-01,2,-1,upgrade_small,-0.001319,-0.027791,0.026471,-0.00283,-0.029643,0.026813,0.158213,-0.007256,0.16547,None,None,None
7205.T,2021-10-01,2,0,upgrade_small,0.021782,-0.027791,0.049573,0.086139,-0.029643,0.115782,0.109901,-0.007256,0.117157,None,None,None
8354.T,2021-10-01,2,0,upgrade_small,0.009485,-0.027791,0.037276,0.0674,-0.029643,0.097044,0.052423,-0.007256,0.05968,None,None,None
9983.T,2021-10-01,5,-3,upgrade_large,-0.009491,-0.027791,0.0183,-0.082764,-0.029643,-0.05312,-0.00405,-0.007256,0.003207,None,None,None
5713.T,2021-10-01,2,0,upgrade_small,-0.014578,-0.027791,0.013212,0.011816,-0.029643,0.041459,0.128206,-0.007256,0.135462,None,None,None
6305.T,2021-10-01,2,0,upgrade_small,0.017714,-0.027791,0.045505,0.016102,-0.029643,0.045745,0.207729,-0.007256,0.214986,None,None,None
6752.T,2021-10-01,2,1,upgrade_small,-0.044199,-0.027791,-0.016409,-0.052744,-0.029643,-0.0231,0.02675,-0.007256,0.034006,None,None,None
6857.T,2021-10-01,2,-1,upgrade_small,-0.042685,-0.027791,-0.014894,-0.07622,-0.029643,-0.046577,0.005082,-0.007256,0.012339,None,None,None
3941.T,2021-10-01,2,-1,upgrade_small,0.001163,-0.027791,0.028954,0.024647,-0.029643,0.05429,0.025823,-0.007256,0.033079,None,None,None
6103.T,2021-10-01,2,0,upgrade_small,-0.011299,-0.027791,0.016492,-0.007534,-0.029643,0.022109,0.065914,-0.007256,0.073171,None,None,None
6273.T,2021-10-01,2,0,upgrade_small,-0.025747,-0.027791,0.002044,-0.075474,-0.029643,-0.045831,0.03222,-0.007256,0.039477,None,None,None
1963.T,2021-10-01,2,0,upgrade_small,0.026133,-0.027791,0.053923,0.071359,-0.029643,0.101002,0.103518,-0.007256,0.110774,None,None,None
6481.T,2021-10-01,2,0,upgrade_small,-0.007465,-0.027791,0.020326,0.012023,-0.029643,0.041666,0.039798,-0.007256,0.047055,None,None,None
1878.T,2021-10-01,-2,2,downgrade_cluster,0.002382,-0.027791,0.030172,0.040477,-0.029643,0.07012,0.13651,-0.007256,0.143766,None,None,None
1878.T,2022-07-01,4,2,upgrade_medium,0.017244,-0.006367,0.023611,0.04914,-0.000995,0.050134,0.064655,0.051731,0.012924,0.192323,-0.079188,0.271511
8331.T,2022-07-01,6,0,upgrade_large,0.019174,-0.006367,0.025541,0.030135,-0.000995,0.03113,-0.001366,0.051731,-0.053097,0.085314,-0.079188,0.164502
1969.T,2022-07-01,2,0,upgrade_small,0.005029,-0.006367,0.011396,0.038329,-0.000995,0.039324,0.037072,0.051731,-0.014659,0.087593,-0.079188,0.166782
