symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
010140.KS,2022-05-01,13,8,upgrade_large,-0.019901,0.003181,-0.023082,-0.05141,-0.042628,-0.008782,None,None,None,-0.031509,-0.111023,0.079514
006360.KS,2022-05-01,14,4,upgrade_large,-0.009456,0.003181,-0.012637,-0.047281,-0.042628,-0.004654,None,None,None,-0.288416,-0.111023,-0.177393
024110.KS,2022-05-01,16,2,upgrade_large,0.008888,0.003181,0.005707,0.004444,-0.042628,0.047072,None,None,None,-0.173334,-0.111023,-0.062311
180640.KS,2022-05-01,10,0,upgrade_large,-0.006969,0.003181,-0.01015,-0.034843,-0.042628,0.007785,None,None,None,0.062718,-0.111023,0.17374
031430.KS,2022-05-01,5,0,upgrade_large,0.007837,0.003181,0.004656,0.0,-0.042628,0.042628,None,None,None,-0.064263,-0.111023,0.046759
192820.KS,2022-05-01,20,0,upgrade_large,-0.031727,0.003181,-0.034909,-0.081081,-0.042628,-0.038453,None,None,None,-0.215041,-0.111023,-0.104018
007700.KS,2022-05-01,3,0,upgrade_medium,-0.00956,0.003181,-0.012741,-0.076482,-0.042628,-0.033854,None,None,None,-0.250478,-0.111023,-0.139455
204320.KS,2022-05-01,27,1,upgrade_large,-0.003677,0.003181,-0.006858,-0.036765,-0.042628,0.005863,None,None,None,0.051471,-0.111023,0.162493
032640.KS,2022-05-01,21,0,upgrade_large,0.003598,0.003181,0.000416,-0.007194,-0.042628,0.035433,None,None,None,-0.087025,-0.111023,0.023998
034220.KS,2022-05-01,19,7,upgrade_large,0.035928,0.003181,0.032747,0.01497,-0.042628,0.057598,None,None,None,-0.08982,-0.111023,0.021202
034310.KS,2022-05-01,2,0,upgrade_small,-0.00885,0.003181,-0.012031,-0.014749,-0.042628,0.027878,None,None,None,-0.197641,-0.111023,-0.086618
210980.KS,2022-05-01,9,0,upgrade_large,-0.001751,0.003181,-0.004932,-0.022767,-0.042628,0.019861,None,None,None,-0.076641,-0.111023,0.034382
042700.KS,2022-05-01,2,0,upgrade_small,0.003333,0.003181,0.000152,-0.07,-0.042628,-0.027372,None,None,None,-0.12,-0.111023,-0.008977
128940.KS,2022-05-01,10,1,upgrade_large,-0.024194,0.003181,-0.027375,-0.064516,-0.042628,-0.021888,None,None,None,-0.017742,-0.111023,0.093281
027410.KS,2022-05-01,19,0,upgrade_large,0.01411,0.003181,0.010929,-0.021163,-0.042628,0.021465,None,None,None,-0.261904,-0.111023,-0.150881
047050.KS,2022-05-01,8,0,upgrade_large,-0.002037,0.003181,-0.005218,-0.010183,-0.042628,0.032444,None,None,None,-0.162933,-0.111023,-0.05191
185750.KS,2022-05-01,14,0,upgrade_large,0.003064,0.003181,-0.000117,-0.036772,-0.042628,0.005855,None,None,None,-0.097038,-0.111023,0.013985
120110.KS,2022-05-01,11,0,upgrade_large,0.006431,0.003181,0.00325,0.048231,-0.042628,0.090859,None,None,None,-0.133441,-0.111023,-0.022418
005930.KS,2022-05-01,36,0,upgrade_large,0.002972,0.003181,-0.000209,-0.017831,-0.042628,0.024797,None,None,None,-0.077542,-0.111023,0.033481
105560.KS,2022-05-01,28,0,upgrade_large,0.005146,0.003181,0.001965,0.010292,-0.042628,0.052919,None,None,None,-0.176921,-0.111023,-0.065898
138930.KS,2022-05-01,17,1,upgrade_large,0.0,0.003181,-0.003181,-0.002534,-0.042628,0.040094,None,None,None,-0.158428,-0.111023,-0.047405
