symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
TLW.L,2021-10-01,2,0,upgrade_small,0.019193,0.001814,0.017379,0.032119,0.012337,0.019782,-0.09342,0.046081,-0.139501,-0.090286,0.050798,-0.141084
MAB.L,2021-10-01,2,-1,upgrade_small,-0.051752,0.001814,-0.053566,-0.062102,0.012337,-0.074439,0.011943,0.046081,-0.034139,0.019108,0.050798,-0.03169
CEY.L,2021-10-01,2,0,upgrade_small,-0.014944,0.001814,-0.016758,0.001093,0.012337,-0.011243,-0.007533,0.046081,-0.053614,-0.060017,0.050798,-0.110815
ITV.L,2021-10-01,2,0,upgrade_small,-0.016051,0.001814,-0.017865,-0.038499,0.012337,-0.050835,-0.015568,0.046081,-0.06165,0.01231,0.050798,-0.038488
BDEV.L,2021-10-01,2,0,upgrade_small,-0.007034,0.001814,-0.008848,-0.028134,0.012337,-0.040471,-0.015582,0.046081,-0.061664,0.143739,0.050798,0.092941
GFTU.L,2022-07-01,5,0,upgrade_large,-0.085431,-0.029334,-0.056097,-0.023019,-0.024821,0.001803,0.023281,0.024821,-0.00154,-0.129647,-0.122979,-0.006669
VCP.L,2022-07-01,2,0,upgrade_small,0.029018,-0.029334,0.058352,0.051339,-0.024821,0.076161,-0.292411,0.024821,-0.317232,-0.011161,-0.122979,0.111818
WPP.L,2022-07-01,17,2,upgrade_large,-0.074819,-0.029334,-0.045485,-0.046157,-0.024821,-0.021336,0.068025,0.024821,0.043204,-0.088917,-0.122979,0.034061
ADM.L,2022-07-01,2,7,upgrade_small,-0.004026,-0.029334,0.025308,0.036707,-0.024821,0.061529,-0.141005,0.024821,-0.165826,-0.098406,-0.122979,0.024572
WG.L,2022-07-01,11,2,upgrade_large,-0.035239,-0.029334,-0.005905,0.006981,-0.024821,0.031803,0.001662,0.024821,-0.023159,-0.153258,-0.122979,-0.030279
CCL.L,2022-07-01,5,1,upgrade_large,-0.013703,-0.029334,0.015632,-0.024361,-0.024821,0.000461,0.0338,0.024821,0.008979,-0.11419,-0.122979,0.008789
COA.L,2022-07-01,4,0,upgrade_medium,-0.032184,-0.029334,-0.00285,0.011141,-0.024821,0.035962,0.13634,0.024821,0.111518,-0.183024,-0.122979,-0.060045
