symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
GOL,2019-03-01,3,0,upgrade_medium,-0.004304,-0.003637,-0.000667,0.008608,-0.02127,0.029878,-0.053085,0.023761,-0.076845,-0.015782,-0.014074,-0.001707
UMDD,2019-03-01,-6,4,downgrade_cluster,-0.017754,-0.003637,-0.014117,-0.100288,-0.02127,-0.079018,-0.012956,0.023761,-0.036716,-0.18714,-0.014074,-0.173066
PDD,2019-03-01,2,0,upgrade_small,0.038346,-0.003637,0.041983,-0.051017,-0.02127,-0.029747,-0.177392,0.023761,-0.201153,-0.352451,-0.014074,-0.338376
EQRR,2019-03-01,-6,3,downgrade_cluster,-0.017458,-0.003637,-0.01382,-0.049918,-0.02127,-0.028648,-0.010366,0.023761,-0.034126,-0.114021,-0.014074,-0.099946
ZTO,2019-03-01,3,-1,upgrade_medium,0.079625,-0.003637,0.083263,0.029859,-0.02127,0.051129,-0.045082,0.023761,-0.068843,-0.066159,-0.014074,-0.052085
FTCH,2019-03-01,2,0,upgrade_small,0.030187,-0.003637,0.033825,-0.037821,-0.02127,-0.016551,-0.064885,0.023761,-0.088646,-0.304303,-0.014074,-0.290228
NIO,2019-03-01,1,2,downgrade_cluster,-0.027833,-0.003637,-0.024196,-0.298211,-0.02127,-0.276941,-0.482107,0.023761,-0.505868,-0.696819,-0.014074,-0.682745
UAE,2019-03-01,2,0,upgrade_small,-0.013417,-0.003637,-0.00978,-0.038462,-0.02127,-0.017192,0.008945,0.023761,-0.014816,-0.039356,-0.014074,-0.025282
KHC,2019-03-01,-14,3,downgrade_cluster,0.025552,-0.003637,0.029189,0.003032,-0.02127,0.024301,0.015591,0.023761,-0.008169,-0.123863,-0.014074,-0.109789
TCOM,2019-03-01,4,0,upgrade_medium,0.018421,-0.003637,0.022058,0.188012,-0.02127,0.209282,0.315497,0.023761,0.291737,0.005848,-0.014074,0.019922
ALLO,2019-03-01,2,0,upgrade_small,0.019145,-0.003637,0.022782,-0.094448,-0.02127,-0.073178,-0.08328,0.023761,-0.107041,-0.16305,-0.014074,-0.148976
PGF,2019-03-01,0,4,downgrade_cluster,0.00399,-0.003637,0.007628,0.007183,-0.02127,0.028453,0.011971,0.023761,-0.011789,0.02075,-0.014074,0.034825
TLRY,2019-03-01,0,2,downgrade_cluster,-0.028424,-0.003637,-0.024787,-0.119608,-0.02127,-0.098338,-0.207521,0.023761,-0.231282,-0.521947,-0.014074,-0.507872
ETHO,2019-03-01,-8,3,downgrade_cluster,-0.006845,-0.003637,-0.003208,-0.02567,-0.02127,-0.0044,0.014832,0.023761,-0.008929,-0.023388,-0.014074,-0.009314
