symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
002727.SZ,2022-05-01,7,0,upgrade_large,0.034131,0.014411,0.01972,-0.009679,-0.09877,0.089091,0.034641,0.014763,0.019878,0.200713,-0.038313,0.239026
000001.SZ,2022-07-01,12,2,upgrade_large,-0.000806,-0.004806,0.004,-0.03062,-0.052227,0.021606,-0.164384,-0.123358,-0.041026,-0.192587,-0.238065,0.045478
600602.SS,2022-07-01,2,0,upgrade_small,-0.012839,-0.004806,-0.008033,0.0,-0.052227,0.052227,-0.024251,-0.123358,0.099107,-0.199715,-0.238065,0.03835
600617.SS,2022-07-01,2,0,upgrade_small,0.04717,-0.004806,0.051976,0.069182,-0.052227,0.121409,0.053459,-0.123358,0.176817,0.028302,-0.238065,0.266367
300033.SZ,2022-07-01,4,1,upgrade_medium,-0.023447,-0.004806,-0.018641,-0.054454,-0.052227,-0.002227,-0.137833,-0.123358,-0.014475,-0.185274,-0.238065,0.05279
300136.SZ,2022-07-01,15,0,upgrade_large,-0.01716,-0.004806,-0.012354,-0.033136,-0.052227,0.019091,-0.021302,-0.123358,0.102056,-0.171006,-0.238065,0.067059
300146.SZ,2022-07-01,2,0,upgrade_small,0.010802,-0.004806,0.015609,-0.046811,-0.052227,0.005416,-0.177469,-0.123358,-0.054111,-0.177984,-0.238065,0.060081
600062.SS,2022-07-01,10,0,upgrade_large,0.000798,-0.004806,0.005605,0.107385,-0.052227,0.159612,-0.265469,-0.123358,-0.142111,-0.339721,-0.238065,-0.101656
600195.SS,2022-07-01,8,0,upgrade_large,0.059676,-0.004806,0.064482,0.015345,-0.052227,0.067572,-0.104859,-0.123358,0.018499,0.083546,-0.238065,0.321611
600236.SS,2022-07-01,2,0,upgrade_small,0.019749,-0.004806,0.024555,0.10772,-0.052227,0.159947,-0.044883,-0.123358,0.078475,-0.05386,-0.238065,0.184205
600346.SS,2022-07-01,4,0,upgrade_medium,-0.003904,-0.004806,0.000902,-0.020498,-0.052227,0.031729,-0.117618,-0.123358,0.00574,-0.232308,-0.238065,0.005756
600351.SS,2022-07-01,2,0,upgrade_small,0.001631,-0.004806,0.006437,0.022839,-0.052227,0.075065,-0.104405,-0.123358,0.018953,-0.141925,-0.238065,0.09614
600362.SS,2022-07-01,7,3,upgrade_large,0.006192,-0.004806,0.010998,-0.04582,-0.052227,0.006406,-0.071827,-0.123358,0.051531,-0.139938,-0.238065,0.098127
600376.SS,2022-07-01,4,0,upgrade_medium,-0.057471,-0.004806,-0.052665,-0.09658,-0.052227,-0.044354,-0.159155,-0.123358,-0.035797,-0.143511,-0.238065,0.094553
600486.SS,2022-07-01,9,1,upgrade_large,0.002035,-0.004806,0.006841,-0.069285,-0.052227,-0.017058,-0.148031,-0.123358,-0.024673,-0.241327,-0.238065,-0.003262
600497.SS,2022-07-01,5,0,upgrade_large,0.042918,-0.004806,0.047725,0.008584,-0.052227,0.060811,0.053648,-0.123358,0.177006,0.034335,-0.238065,0.272399
600518.SS,2022-07-01,5,0,upgrade_large,-0.020747,-0.004806,-0.015941,0.020747,-0.052227,0.072974,-0.136929,-0.123358,-0.013572,-0.248963,-0.238065,-0.010898
600581.SS,2022-07-01,4,0,upgrade_medium,0.016043,-0.004806,0.020849,-0.060606,-0.052227,-0.008379,-0.196078,-0.123358,-0.072721,-0.30303,-0.238065,-0.064966
600584.SS,2022-07-01,6,3,upgrade_large,-0.022129,-0.004806,-0.017323,-0.051507,-0.052227,0.00072,-0.093094,-0.123358,0.030264,-0.193438,-0.238065,0.044627
600597.SS,2022-07-01,6,2,upgrade_large,-0.017827,-0.004806,-0.013021,-0.051783,-0.052227,0.000444,-0.028014,-0.123358,0.095344,-0.157046,-0.238065,0.081019
600598.SS,2022-07-01,6,0,upgrade_large,-0.002251,-0.004806,0.002556,-0.027007,-0.052227,0.02522,-0.030007,-0.123358,0.09335,-0.098275,-0.238065,0.13979
600616.SS,2022-07-01,2,0,upgrade_small,-0.015342,-0.004806,-0.010536,-0.062762,-0.052227,-0.010535,-0.147838,-0.123358,-0.02448,-0.209205,-0.238065,0.02886
600639.SS,2022-07-01,2,1,upgrade_small,-0.009557,-0.004806,-0.004751,-0.013901,-0.052227,0.038326,-0.128584,-0.123358,-0.005226,-0.187663,-0.238065,0.050402
600688.SS,2022-07-01,5,4,upgrade_large,0.003311,-0.004806,0.008117,-0.013245,-0.052227,0.038982,0.006623,-0.123358,0.12998,-0.019868,-0.238065,0.218197
600720.SS,2022-07-01,7,0,upgrade_large,-0.022472,-0.004806,-0.017666,-0.061366,-0.052227,-0.009139,-0.137424,-0.123358,-0.014066,-0.155575,-0.238065,0.08249
