symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
OGC.TO,2020-05-01,4,0,upgrade_medium,0.0,0.009461,-0.009461,0.133846,0.034532,0.099314,0.281538,0.100284,0.181255,0.573846,0.162252,0.411594
LAS-A.TO,2020-05-01,-8,4,downgrade_cluster,0.001333,0.009461,-0.008128,0.008998,0.034532,-0.025534,0.236857,0.100284,0.136574,0.216613,0.162252,0.054361
IMO.TO,2020-05-01,0,3,downgrade_cluster,0.0156,0.009461,0.006139,-0.02851,0.034532,-0.063042,0.045724,0.100284,-0.05456,-0.030662,0.162252,-0.192913
CG.TO,2020-05-01,2,-1,upgrade_small,0.068136,0.009461,0.058676,0.098196,0.034532,0.063665,0.145291,0.100284,0.045007,0.436874,0.162252,0.274622
TOU.TO,2020-05-01,2,0,upgrade_small,-0.035964,0.009461,-0.045425,0.017982,0.034532,-0.01655,0.044955,0.100284,-0.055329,-0.006993,0.162252,-0.169245
TRZ.TO,2020-05-01,3,0,upgrade_medium,-0.139676,0.009461,-0.149137,-0.159919,0.034532,-0.194451,-0.334008,0.100284,-0.434292,-0.458502,0.162252,-0.620754
AP-UN.TO,2020-05-01,3,0,upgrade_medium,-0.031813,0.009461,-0.041274,-0.033934,0.034532,-0.068466,-0.129021,0.100284,-0.229305,-0.069636,0.162252,-0.231888
TC.TO,2020-05-01,4,-5,upgrade_medium,0.004636,0.009461,-0.004825,0.079902,0.034532,0.04537,0.081265,0.100284,-0.019018,0.102263,0.162252,-0.059988
AR.TO,2021-05-01,3,1,upgrade_medium,-0.010714,-0.001839,-0.008875,0.014286,0.027897,-0.013611,0.132143,0.067137,0.065006,None,None,None
ERF.TO,2022-05-01,16,0,upgrade_large,0.05291,0.013703,0.039207,-0.041005,-0.042274,0.001269,0.23545,0.021574,0.213875,0.130291,-0.052478,0.182769
NPI.TO,2022-05-01,9,1,upgrade_large,0.002762,0.013703,-0.010941,-0.010433,-0.042274,0.031841,-0.026388,0.021574,-0.047963,0.103713,-0.052478,0.156191
NXE.TO,2022-05-01,9,0,upgrade_large,0.031148,0.013703,0.017445,-0.167213,-0.042274,-0.124939,-0.078689,0.021574,-0.100263,-0.108197,-0.052478,-0.055719
TOY.TO,2022-05-01,8,0,upgrade_large,0.015667,0.013703,0.001964,-0.062444,-0.042274,-0.02017,-0.044763,0.021574,-0.066337,0.005148,-0.052478,0.057626
WPM.TO,2022-05-01,9,0,upgrade_large,0.015418,0.013703,0.001716,-0.028267,-0.042274,0.014007,-0.076358,0.021574,-0.097933,-0.236968,-0.052478,-0.18449
CJ.TO,2022-05-01,8,0,upgrade_large,0.078224,0.013703,0.064521,0.0,-0.042274,0.042274,0.382664,0.021574,0.36109,0.391121,-0.052478,0.443599
FRU.TO,2022-05-01,9,0,upgrade_large,0.047491,0.013703,0.033788,-0.015233,-0.042274,0.027041,0.086022,0.021574,0.064447,-0.003584,-0.052478,0.048894
SSL.TO,2022-05-01,8,0,upgrade_large,0.043174,0.013703,0.029471,-0.071179,-0.042274,-0.028904,-0.05951,0.021574,-0.081084,-0.15986,-0.052478,-0.107382
LB.TO,2022-05-01,2,1,upgrade_small,0.01708,0.013703,0.003378,-0.019981,-0.042274,0.022293,0.091524,0.021574,0.06995,0.091202,-0.052478,0.14368
NFI.TO,2022-05-01,6,0,upgrade_large,-0.025755,0.013703,-0.039457,0.0746,-0.042274,0.116875,0.07016,0.021574,0.048586,0.185971,-0.052478,0.238449
WEF.TO,2022-05-01,3,0,upgrade_medium,0.031088,0.013703,0.017385,-0.036269,-0.042274,0.006005,-0.103627,0.021574,-0.125201,-0.300518,-0.052478,-0.24804
AAV.TO,2022-05-01,11,0,upgrade_large,0.047926,0.013703,0.034224,-0.072811,-0.042274,-0.030537,0.037788,0.021574,0.016214,-0.018433,-0.052478,0.034045
CCO.TO,2022-05-01,8,3,upgrade_large,0.009245,0.013703,-0.004458,-0.165794,-0.042274,-0.123519,-0.062558,0.021574,-0.084132,-0.012327,-0.052478,0.040151
GGD.TO,2022-05-01,2,0,upgrade_small,0.027668,0.013703,0.013965,-0.090909,-0.042274,-0.048635,-0.094862,0.021574,-0.116436,-0.150198,-0.052478,-0.097719
H.TO,2022-05-01,8,1,upgrade_large,0.000967,0.013703,-0.012736,0.03416,-0.042274,0.076435,0.02417,0.021574,0.002596,0.046084,-0.052478,0.098563
CGY.TO,2022-05-01,3,0,upgrade_medium,0.011427,0.013703,-0.002276,-0.013807,-0.042274,0.028467,0.007777,0.021574,-0.013798,-0.004285,-0.052478,0.048193
CJT.TO,2022-05-01,5,0,upgrade_large,-0.014244,0.013703,-0.027947,-0.02313,-0.042274,0.019144,-0.057519,0.021574,-0.079093,-0.016754,-0.052478,0.035724
MTY.TO,2022-05-01,3,0,upgrade_medium,0.014885,0.013703,0.001182,-0.048428,-0.042274,-0.006154,0.015933,0.021574,-0.005641,0.125786,-0.052478,0.178264
RY.TO,2022-05-01,7,2,upgrade_large,0.009789,0.013703,-0.003913,-0.015257,-0.042274,0.027017,0.021166,0.021574,-0.000408,-0.03219,-0.052478,0.020288
OSK.TO,2022-05-01,10,0,upgrade_large,0.033333,0.013703,0.019631,-0.071795,-0.042274,-0.029521,-0.041026,0.021574,-0.0626,-0.264103,-0.052478,-0.211624
BNS.TO,2022-05-01,13,0,upgrade_large,0.013656,0.013703,-4.6e-05,-0.003252,-0.042274,0.039023,0.046822,0.021574,0.025247,-0.034303,-0.052478,0.018175
GEI.TO,2022-05-01,6,0,upgrade_large,0.046389,0.013703,0.032686,0.051133,-0.042274,0.093407,0.122298,0.021574,0.100724,0.100158,-0.052478,0.152636
SIS.TO,2022-05-01,6,0,upgrade_large,-0.000727,0.013703,-0.01443,-0.045091,-0.042274,-0.002817,-0.073455,0.021574,-0.095029,-0.094545,-0.052478,-0.042067
WJX.TO,2022-05-01,2,0,upgrade_small,0.129456,0.013703,0.115753,0.065041,-0.042274,0.107315,0.223265,0.021574,0.20169,0.036273,-0.052478,0.088751
CCL-B.TO,2022-05-01,6,0,upgrade_large,0.020661,0.013703,0.006959,-0.025733,-0.042274,0.016542,0.091848,0.021574,0.070274,0.12716,-0.052478,0.179638
LIF.TO,2022-05-01,2,0,upgrade_small,-0.001563,0.013703,-0.015266,-0.128566,-0.042274,-0.086292,-0.058226,0.021574,-0.0798,-0.18601,-0.052478,-0.133532
MDI.TO,2022-05-01,2,0,upgrade_small,0.013736,0.013703,3.4e-05,-0.091575,-0.042274,-0.049301,-0.019231,0.021574,-0.040805,-0.108974,-0.052478,-0.056496
RUS.TO,2022-05-01,4,0,upgrade_medium,0.002795,0.013703,-0.010907,-0.07058,-0.042274,-0.028306,-0.040531,0.021574,-0.062105,-0.186583,-0.052478,-0.134105
MER.TO,2022-05-01,5,0,upgrade_large,0.03271,0.013703,0.019008,-0.042056,-0.042274,0.000218,0.070093,0.021574,0.048519,-0.037383,-0.052478,0.015095
QBR-B.TO,2022-05-01,15,0,upgrade_large,-0.010942,0.013703,-0.024644,-0.034779,-0.042274,0.007495,-0.021493,0.021574,-0.043067,-0.042204,-0.052478,0.010274
RSI.TO,2022-05-01,3,0,upgrade_medium,0.010288,0.013703,-0.003415,0.018519,-0.042274,0.060793,0.047325,0.021574,0.025751,0.072016,-0.052478,0.124495
ARX.TO,2022-05-01,16,0,upgrade_large,0.047619,0.013703,0.033916,-0.079794,-0.042274,-0.03752,0.121622,0.021574,0.100047,0.046332,-0.052478,0.09881
CRT-UN.TO,2022-05-01,2,0,upgrade_small,0.011586,0.013703,-0.002117,-0.020275,-0.042274,0.021999,0.016655,0.021574,-0.00492,-0.011586,-0.052478,0.040892
GUD.TO,2022-05-01,8,0,upgrade_large,0.016949,0.013703,0.003247,0.0,-0.042274,0.042274,0.022599,0.021574,0.001025,0.048964,-0.052478,0.101442
