symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
BAYN.DE,2021-10-01,-3,2,downgrade_cluster,0.001633,-0.007765,0.009398,0.026125,-0.006415,0.03254,0.063214,0.037812,0.025402,None,None,None
CBK.DE,2021-10-01,0,2,downgrade_cluster,0.01341,-0.007765,0.021175,0.114943,-0.006415,0.121357,0.1341,0.037812,0.096287,None,None,None
ADN1.DE,2021-10-01,2,0,upgrade_small,-0.027598,-0.007765,-0.019833,-0.075952,-0.006415,-0.069538,0.202559,0.037812,0.164747,None,None,None
MUV2.DE,2021-10-01,3,0,upgrade_medium,0.011574,-0.007765,0.019339,0.026336,-0.006415,0.032751,0.080088,0.037812,0.042276,None,None,None
B4B.DE,2021-10-01,2,0,upgrade_small,0.004902,-0.007765,0.012667,0.027451,-0.006415,0.033866,-0.009804,0.037812,-0.047616,None,None,None
FME.DE,2022-05-01,17,1,upgrade_large,0.026082,0.005096,0.020986,-0.022113,-0.040764,0.018651,-0.03969,0.04034,-0.08003,-0.372708,-0.078132,-0.294577
SZU.DE,2022-05-01,5,2,upgrade_large,-0.00566,0.005096,-0.010756,-0.048113,-0.040764,-0.007349,0.011321,0.04034,-0.029019,0.132075,-0.078132,0.210207
DRW3.DE,2022-05-01,2,2,upgrade_small,0.013758,0.005096,0.008663,-0.00344,-0.040764,0.037325,0.038065,0.04034,-0.002275,0.083926,-0.078132,0.162057
CWC.DE,2022-05-01,4,0,upgrade_medium,-0.004615,0.005096,-0.00971,-0.068966,-0.040764,-0.028201,0.016024,0.04034,-0.024316,-0.028842,-0.078132,0.049289
HNR1.DE,2022-05-01,5,5,upgrade_large,0.00651,0.005096,0.001415,-0.021257,-0.040764,0.019508,-0.012001,0.04034,-0.052341,-0.009805,-0.078132,0.068327
